Date,Open,High,Low,Close,Volume,OpenInt
2017-10-06,25.02,25.05,25.02,25.05,200,0
2017-10-09,25.05,25.05,25.05,25.05,0,0
2017-10-10,25.31,25.31,25.24,25.24,250,0
2017-10-11,25.24,25.24,25.24,25.24,0,0
2017-10-12,25.24,25.24,25.24,25.24,0,0
2017-10-13,25.24,25.24,25.24,25.24,20,0
2017-10-16,25.24,25.24,25.24,25.24,35,0
2017-10-17,25.24,25.24,25.24,25.24,0,0
2017-10-18,25.24,25.24,25.24,25.24,0,0
2017-10-19,25.24,25.24,25.24,25.24,4,0
2017-10-20,25.29,25.29,25.29,25.29,215,0
2017-10-23,25.1099,25.1099,25.1099,25.1099,440,0
2017-10-24,25.1099,25.1099,25.1099,25.1099,0,0
2017-10-25,25.15,25.15,25.15,25.15,100,0
2017-10-26,25.15,25.15,25.15,25.15,0,0
2017-10-27,25.33,25.33,25.33,25.33,395,0
2017-10-30,25.33,25.33,25.33,25.33,0,0
2017-10-31,25.33,25.33,25.33,25.33,101,0
2017-11-01,25.33,25.33,25.33,25.33,0,0
2017-11-02,25.33,25.33,25.33,25.33,0,0
2017-11-03,25.33,25.33,25.33,25.33,0,0
2017-11-06,25.56,25.56,25.56,25.56,12,0
2017-11-07,25.56,25.56,25.56,25.56,0,0
2017-11-08,25.56,25.56,25.56,25.56,0,0
2017-11-09,25.56,25.56,25.56,25.56,0,0
2017-11-10,25.56,25.56,25.56,25.56,0,0
2017-11-15,25.56,25.56,25.56,25.56,-,0
2017-11-16,25.56,25.56,25.56,25.56,-,0
2017-11-17,25.56,25.56,25.56,25.56,-,0
2017-11-20,25.56,25.56,25.56,25.56,-,0
2017-11-21,25.56,25.56,25.56,25.56,-,0
2017-11-22,25.56,25.56,25.56,25.56,-,0
2017-11-24,25.56,25.56,25.56,25.56,-,0
2017-11-27,25.56,25.56,25.56,25.56,-,0
2017-11-28,25.56,25.56,25.56,25.56,-,0
2017-11-29,25.56,25.56,25.56,25.56,-,0
2017-11-30,25.56,25.56,25.56,25.56,-,0
2017-12-01,25.56,25.56,25.56,25.56,-,0
2017-12-04,25.56,25.56,25.56,25.56,-,0
2017-12-05,25.56,25.56,25.56,25.56,-,0
2017-12-06,25.56,25.56,25.56,25.56,-,0
2017-12-07,25.56,25.56,25.56,25.56,100,0
2017-12-08,25.56,25.56,25.56,25.56,-,0
2017-12-11,25.56,25.56,25.56,25.56,-,0
2017-12-12,25.56,25.56,25.56,25.56,-,0
2017-12-13,25.56,25.56,25.56,25.56,-,0
2017-12-14,25.56,25.56,25.56,25.56,-,0
2017-12-15,25.56,25.56,25.56,25.56,-,0
2017-12-18,25.56,25.56,25.56,25.56,-,0
2017-12-19,25.12,25.12,25.12,25.12,100,0
2017-12-20,25.12,25.12,25.12,25.12,-,0
2017-12-21,25.12,25.12,25.12,25.12,-,0
2017-12-22,25.67,25.67,25.67,25.67,100,0
2017-12-26,25.67,25.67,25.67,25.67,-,0
2017-12-27,25.67,25.67,25.67,25.67,-,0
2017-12-28,25.93,25.93,25.93,25.93,100,0
2017-12-29,26.44,26.44,26.44,26.44,100,0
2018-01-02,26.50,26.60,26.50,26.60,300,0
2018-01-03,26.60,26.60,26.60,26.60,-,0
2018-01-04,26.60,26.60,26.60,26.60,-,0
2018-01-05,26.89,26.93,26.89,26.93,300,0
2018-01-08,26.93,26.93,26.93,26.93,100,0
2018-01-09,26.93,26.93,26.93,26.93,-,0
2018-01-10,26.93,26.93,26.93,26.93,-,0
2018-01-11,27.11,27.11,27.11,27.11,800,0
2018-01-12,27.11,27.11,27.11,27.11,-,0
2018-01-16,27.82,27.82,27.82,27.82,100,0
2018-01-17,27.96,27.96,27.96,27.96,100,0
2018-01-18,27.94,27.94,27.94,27.94,100,0
2018-01-19,27.97,27.97,27.97,27.97,100,0
2018-01-22,28.41,28.41,28.25,28.32,1000,0
2018-01-23,28.58,28.58,28.47,28.47,200,0
2018-01-24,28.70,28.70,28.70,28.70,400,0
2018-01-25,28.70,28.70,28.70,28.70,-,0
2018-01-26,28.84,28.84,28.84,28.84,200,0
2018-01-29,28.65,28.65,28.65,28.65,200,0
2018-01-30,28.25,28.26,28.25,28.26,700,0
2018-01-31,28.48,28.62,28.36,28.42,1600,0
2018-02-01,28.25,28.25,28.25,28.25,100,0
2018-02-02,27.90,27.90,27.90,27.90,1100,0
2018-02-05,27.50,27.50,26.72,26.78,900,0
2018-02-06,27.48,27.62,27.48,27.62,1200,0
2018-02-07,27.62,27.62,27.62,27.62,200,0
2018-02-08,27.06,27.06,26.00,26.00,500,0
2018-02-09,26.00,26.00,26.00,26.00,-,0
2018-02-12,26.38,26.38,26.38,26.38,100,0
2018-02-13,26.38,26.38,26.38,26.38,-,0
2018-02-14,26.38,26.38,26.38,26.38,-,0
2018-02-15,26.38,26.38,26.38,26.38,-,0
2018-02-16,27.65,27.65,27.65,27.65,100,0
2018-02-20,27.65,27.65,27.65,27.65,-,0
2018-02-21,27.65,27.65,27.65,27.65,-,0
2018-02-22,27.65,27.65,27.65,27.65,-,0
2018-02-23,27.65,27.65,27.65,27.65,-,0
2018-02-26,27.65,27.65,27.65,27.65,-,0
2018-02-27,27.65,27.65,27.65,27.65,-,0
2018-02-28,27.65,27.65,27.65,27.65,-,0
2018-03-01,27.65,27.65,27.65,27.65,-,0
2018-03-02,27.65,27.65,27.65,27.65,-,0
2018-03-05,27.65,27.65,27.65,27.65,-,0
2018-03-06,27.12,27.12,27.12,27.12,400,0
2018-03-07,27.12,27.12,27.12,27.12,-,0
2018-03-08,27.01,27.01,27.01,27.01,200,0
2018-03-09,27.54,27.65,27.54,27.62,1000,0
2018-03-12,27.62,27.62,27.62,27.62,-,0
2018-03-13,27.62,27.62,27.62,27.62,-,0
2018-03-14,27.62,27.62,27.62,27.62,-,0
2018-03-15,27.62,27.62,27.62,27.62,-,0
2018-03-16,27.62,27.62,27.62,27.62,-,0
2018-03-19,27.62,27.62,27.62,27.62,-,0
2018-03-20,27.58,27.58,27.58,27.58,-,0
2018-03-21,27.16,27.16,27.16,27.16,100,0
2018-03-22,27.16,27.16,27.16,27.16,-,0
2018-03-23,27.16,27.16,27.16,27.16,-,0
2018-03-26,27.16,27.16,27.16,27.16,-,0
2018-03-27,27.16,27.16,27.16,27.16,-,0
2018-03-28,27.16,27.16,27.16,27.16,-,0
2018-03-29,27.16,27.16,27.16,27.16,-,0
2018-04-02,26.79,26.79,26.79,26.79,100,0
2018-04-03,26.79,26.79,26.79,26.79,-,0
2018-04-04,26.30,26.30,26.30,26.30,-,0
2018-04-05,26.30,26.30,26.30,26.30,-,0
2018-04-06,26.11,26.30,26.11,26.30,900,0
2018-04-06,26.11,26.30,26.11,26.30,850,0
