Date,Open,High,Low,Close,Volume,OpenInt
2017-11-10,13.3,14.63,13.02,13.08,9881303,0
2017-11-13,13.43,13.68,13.09,13.15,2148100,0
2017-11-14,13.10,13.25,12.75,13.00,2226900,0
2017-11-15,13.00,13.04,12.70,12.70,917400,0
2017-11-16,12.78,12.96,12.61,12.93,940900,0
2017-11-17,12.93,13.08,12.72,13.00,869900,0
2017-11-20,13.00,13.09,12.50,12.56,437800,0
2017-11-21,10.80,11.50,10.02,10.80,2498500,0
2017-11-22,10.81,10.81,8.05,8.18,4301300,0
2017-11-24,7.83,9.80,7.83,9.45,2689800,0
2017-11-27,9.09,9.90,9.00,9.43,1096400,0
2017-11-28,9.32,10.27,9.30,10.07,882900,0
2017-11-29,10.11,10.25,9.30,9.31,840000,0
2017-11-30,9.32,9.75,9.30,9.60,653600,0
2017-12-01,8.99,9.45,8.60,8.80,1531200,0
2017-12-04,9.02,9.10,8.08,8.34,988600,0
2017-12-05,8.20,8.24,7.76,7.80,916400,0
2017-12-06,7.42,8.11,6.88,8.06,1993400,0
2017-12-07,7.90,7.91,6.95,7.16,3164600,0
2017-12-08,7.32,7.69,7.14,7.57,1406100,0
2017-12-11,7.55,8.07,7.50,8.00,1690600,0
2017-12-12,7.96,8.18,7.40,7.50,987600,0
2017-12-13,7.46,8.54,7.35,8.50,2085200,0
2017-12-14,8.46,8.72,7.99,8.09,1401800,0
2017-12-15,8.01,8.08,7.50,7.51,1004200,0
2017-12-18,7.60,7.86,7.21,7.26,1170700,0
2017-12-19,7.29,7.40,7.11,7.26,544600,0
2017-12-20,7.32,7.40,7.05,7.09,573300,0
2017-12-21,7.17,7.28,7.09,7.25,462000,0
2017-12-22,7.24,7.30,7.05,7.23,296400,0
2017-12-26,7.23,7.23,6.95,7.07,587400,0
2017-12-27,7.12,7.18,7.00,7.09,410400,0
2017-12-28,7.14,7.16,7.02,7.09,355800,0
2017-12-29,7.09,7.19,7.03,7.11,436600,0
2018-01-02,7.22,7.37,7.10,7.19,426000,0
2018-01-03,7.25,7.36,7.11,7.19,629200,0
2018-01-04,7.12,7.26,7.10,7.14,574300,0
2018-01-05,7.20,7.40,7.11,7.13,615300,0
2018-01-08,7.15,7.20,7.03,7.10,336600,0
2018-01-09,7.18,7.25,7.05,7.09,307800,0
2018-01-10,7.08,7.16,7.06,7.07,141400,0
2018-01-11,7.06,7.08,7.00,7.00,475600,0
2018-01-12,7.00,7.08,6.99,7.00,237800,0
2018-01-16,6.96,7.01,6.85,6.87,466500,0
2018-01-17,6.96,6.96,6.53,6.68,322100,0
2018-01-18,7.52,7.55,6.87,6.95,1895900,0
2018-01-19,7.04,7.08,6.73,6.77,479100,0
2018-01-22,6.71,6.85,6.69,6.79,549800,0
2018-01-23,6.76,7.10,6.75,7.00,376500,0
2018-01-24,7.06,7.55,7.02,7.50,1107800,0
2018-01-25,7.62,8.68,7.62,8.46,2254000,0
2018-01-26,8.32,8.55,8.08,8.46,1518400,0
2018-01-29,8.33,8.54,8.10,8.35,345600,0
2018-01-30,8.23,8.23,7.80,7.87,315200,0
2018-01-31,7.98,8.04,7.58,7.65,281800,0
2018-02-01,7.60,7.61,7.11,7.11,530700,0
2018-02-02,7.11,7.20,7.05,7.08,353000,0
2018-02-05,7.11,7.27,7.05,7.10,883700,0
2018-02-06,7.10,7.47,6.88,7.29,516200,0
2018-02-07,7.22,7.28,7.10,7.10,202600,0
2018-02-08,7.06,7.13,6.90,6.92,364700,0
2018-02-09,6.91,7.11,6.90,6.90,644100,0
2018-02-12,7.05,7.15,7.03,7.11,145900,0
2018-02-13,7.15,7.15,7.00,7.01,509300,0
2018-02-14,7.09,7.81,7.01,7.81,600200,0
2018-02-15,7.96,7.96,7.60,7.73,245100,0
2018-02-16,7.69,7.81,7.61,7.70,150000,0
2018-02-20,7.64,7.96,7.57,7.58,164700,0
2018-02-21,7.60,7.78,7.56,7.62,231300,0
2018-02-22,7.67,7.80,7.59,7.59,72200,0
2018-02-23,7.59,7.65,7.42,7.42,239200,0
2018-02-26,7.42,7.58,7.05,7.07,286700,0
2018-02-27,7.07,7.35,6.99,7.07,382700,0
2018-02-28,7.11,7.25,7.05,7.08,143200,0
2018-03-01,7.16,7.16,6.95,7.00,216700,0
2018-03-02,6.98,7.20,6.95,7.09,209600,0
2018-03-05,7.02,7.70,7.00,7.36,336900,0
2018-03-06,7.47,7.48,7.22,7.35,246500,0
2018-03-07,7.39,7.58,7.35,7.50,224100,0
2018-03-08,7.59,8.09,7.50,8.02,670000,0
2018-03-09,8.05,8.17,7.78,7.87,531300,0
2018-03-12,8.00,8.50,7.92,8.43,1031600,0
2018-03-13,8.56,8.56,7.89,7.95,643700,0
2018-03-14,8.03,8.10,7.81,7.84,286400,0
2018-03-15,7.82,7.82,7.51,7.60,906900,0
2018-03-16,7.67,7.78,7.61,7.67,231400,0
2018-03-19,7.70,7.94,7.56,7.68,337200,0
2018-03-20,7.66,7.79,7.51,7.69,366600,0
