Date,Open,High,Low,Close,Volume,OpenInt
2017-06-16,19.334,19.432,19.317,19.432,1425,0
2017-06-19,19.481,19.481,19.462,19.462,1017,0
2017-06-20,18.823,18.955,18.823,18.955,1730,0
2017-06-21,18.852,18.852,18.834,18.834,2543,0
2017-06-22,18.774,18.774,18.774,18.774,102,0
2017-06-23,19.255,19.432,19.255,19.432,1018,0
2017-06-26,19.491,19.491,19.491,19.491,2035,0
2017-06-27,19.855,19.855,19.853,19.853,1323,0
2017-06-28,19.845,20.838,19.776,20.052,29097,0
2017-06-30,20.396,20.396,20.185,20.219,1731,0
2017-07-03,20.553,20.553,20.553,20.553,203,0
2017-07-05,20.435,20.435,20.356,20.356,1730,0
2017-07-06,20.445,20.445,20.445,20.445,931,0
2017-07-07,19.932,19.932,19.932,19.932,102,0
2017-07-12,20.346,20.474,20.346,20.445,6994,0
2017-07-13,20.399,20.424,20.399,20.424,1809,0
2017-07-14,20.749,20.749,20.749,20.749,900,0
2017-07-18,20.681,20.72,20.681,20.72,305,0
2017-07-19,20.732,20.732,20.72,20.72,1949,0
2017-07-20,20.72,20.72,20.72,20.72,0,0
2017-07-21,20.887,20.892,20.887,20.892,1424,0
2017-07-26,20.494,20.494,20.455,20.455,903,0
2017-07-27,20.455,20.455,20.455,20.455,1017,0
2017-08-02,20.455,20.455,20.455,20.455,203,0
2017-08-04,20.101,20.101,20.101,20.101,203,0
2017-08-16,19.177,19.177,18.921,18.94,2238,0
2017-08-17,18.98,18.98,18.967,18.967,3052,0
2017-08-18,18.892,18.902,18.892,18.892,1323,0
2017-08-21,18.725,18.744,18.642,18.642,2340,0
2017-08-22,18.803,18.803,18.743,18.762,2035,0
2017-08-23,18.921,19.11,18.921,19.11,2136,0
2017-08-24,19.216,19.216,19.216,19.216,10237,0
2017-08-28,21.025,21.025,19.195,19.246,6168,0
2017-08-29,19.216,19.216,19.032,19.032,2645,0
2017-08-30,19.314,20.15,19.314,19.393,2562,0
2017-08-31,19.54,21.182,19.533,19.825,3247,0
2017-09-01,19.776,19.776,19.776,19.776,51174,0
2017-09-05,19.658,19.904,19.658,19.7,2082,0
2017-09-06,19.816,19.825,19.796,19.825,2325,0
2017-09-08,20.002,24.003,19.58,19.58,4118,0
2017-09-11,19.678,19.678,19.678,19.678,102,0
2017-09-12,19.776,19.776,19.742,19.757,6206,0
2017-09-13,19.924,19.973,19.924,19.973,2950,0
2017-09-14,20.15,20.15,20.021,20.061,1780,0
2017-09-15,19.934,19.934,19.894,19.894,1221,0
2017-09-18,20.042,20.042,20.022,20.022,458,0
2017-09-19,20.022,20.022,19.922,19.922,1373,0
