Date,Open,High,Low,Close,Volume,OpenInt
2017-09-29,17,17.44,16.5,17.25,10232692,0
2017-10-02,17.12,17.35,16.88,17.2,1431419,0
2017-10-03,17.1,17.39,16.82,17.22,1283120,0
2017-10-04,17.13,17.35,17,17.33,691260,0
2017-10-05,17.27,17.65,17.16,17.3,2271956,0
2017-10-06,17.25,17.48,17.22,17.3,184400,0
2017-10-09,17.41,17.53,17.35,17.45,501110,0
2017-10-10,17.45,17.48,17.25,17.3,507155,0
2017-10-11,17.37,17.48,17.29,17.39,614664,0
2017-10-12,17.4,17.4,17.25,17.36,332555,0
2017-10-13,17.41,17.42,17.25,17.39,359708,0
2017-10-16,17.39,17.39,17.1,17.25,845970,0
2017-10-17,17.11,17.25,17.08,17.2,297596,0
2017-10-18,17.2,17.24,17,17,840848,0
2017-10-19,16.97,17.14,16.85,17.04,1352583,0
2017-10-20,17.01,17.18,16.52,16.87,2032357,0
2017-10-23,16.92,16.99,16.45,16.67,2882486,0
2017-10-24,16.74,17,16.6,16.6,1224322,0
2017-10-25,16.52,16.79,16.16,16.4,599811,0
2017-10-26,16.01,17,15.89,16.92,1187257,0
2017-10-27,16.57,17,16.4,16.96,505605,0
2017-10-30,16.94,16.95,16.54,16.88,208608,0
2017-10-31,16.87,16.9,16.37,16.4,380523,0
2017-11-01,16.38,16.5,15.78,16.48,377774,0
2017-11-02,16.37,16.75,15.95,15.96,200081,0
2017-11-03,16.01,16.0176,15.56,15.84,277652,0
2017-11-06,15.86,15.89,15.45,15.64,209428,0
2017-11-07,15.7,15.815,15.55,15.7,203562,0
2017-11-08,15.74,16.19,15.35,16.11,187340,0
2017-11-09,16.06,16.15,15.73,15.83,296007,0
2017-11-10,15.74,15.99,15.5,15.57,390364,0
2017-11-13,15.51,15.59,15.36,15.51,269000,0
2017-11-14,15.58,16.21,15.55,15.77,646800,0
2017-11-15,15.86,15.86,15.49,15.62,311800,0
2017-11-16,15.68,15.68,15.33,15.40,343600,0
2017-11-17,15.50,15.59,14.85,15.47,216600,0
2017-11-20,15.47,15.47,14.65,14.96,548800,0
2017-11-21,15.02,15.40,14.93,15.19,520000,0
2017-11-22,15.27,15.40,15.16,15.32,452400,0
2017-11-24,15.42,15.48,15.05,15.36,45800,0
2017-11-27,15.35,15.56,15.28,15.49,376600,0
2017-11-28,15.41,15.55,15.28,15.49,265800,0
2017-11-29,15.63,15.73,15.49,15.60,292900,0
2017-11-30,15.75,16.61,15.63,16.50,646300,0
2017-12-01,16.45,16.78,16.45,16.59,346200,0
2017-12-04,16.66,16.70,16.42,16.58,389500,0
2017-12-05,16.62,16.67,16.48,16.58,289900,0
2017-12-06,16.50,16.59,16.00,16.20,170700,0
2017-12-07,16.11,16.33,16.11,16.23,147000,0
2017-12-08,16.25,16.50,16.25,16.42,255900,0
2017-12-11,16.33,16.61,16.32,16.50,420800,0
2017-12-12,16.22,16.51,16.22,16.27,948300,0
2017-12-13,16.35,16.57,16.04,16.08,503800,0
2017-12-14,15.96,16.35,15.96,16.19,581500,0
2017-12-15,16.21,16.51,15.92,16.31,5010300,0
2017-12-18,16.30,16.66,16.26,16.50,494700,0
2017-12-19,16.52,16.69,16.46,16.62,466600,0
2017-12-20,16.65,16.75,16.60,16.63,282300,0
2017-12-21,16.62,16.62,16.40,16.42,242700,0
2017-12-22,16.48,16.56,16.34,16.36,146700,0
2017-12-26,16.36,16.36,16.23,16.32,235100,0
2017-12-27,16.30,16.60,16.20,16.45,259300,0
2017-12-28,16.46,16.63,16.41,16.55,138300,0
2017-12-29,16.50,16.63,16.44,16.45,155200,0
2018-01-02,16.51,16.73,16.42,16.58,144900,0
2018-01-03,16.60,16.77,16.48,16.52,235900,0
2018-01-04,16.61,16.69,16.42,16.44,151200,0
2018-01-05,16.50,16.80,16.24,16.26,124900,0
2018-01-08,16.24,16.60,16.09,16.39,262200,0
2018-01-09,16.39,16.51,16.30,16.40,244400,0
2018-01-10,16.33,16.51,16.24,16.47,189800,0
2018-01-11,16.46,16.69,16.33,16.66,235300,0
2018-01-12,16.65,17.00,16.53,16.89,267300,0
2018-01-16,16.89,16.89,16.58,16.76,219000,0
2018-01-17,16.82,16.82,16.54,16.60,244800,0
2018-01-18,16.51,16.74,16.35,16.63,181100,0
2018-01-19,16.56,16.85,16.56,16.66,129700,0
2018-01-22,16.60,16.79,16.59,16.64,63100,0
2018-01-23,16.55,16.96,16.53,16.93,181900,0
2018-01-24,17.00,17.30,16.77,17.02,612500,0
2018-01-25,17.15,17.36,17.00,17.00,101700,0
2018-01-26,17.08,17.25,16.74,16.99,92200,0
2018-01-29,16.96,16.97,16.57,16.65,81800,0
2018-01-30,16.51,16.63,16.35,16.46,806100,0
2018-01-31,16.49,16.49,15.99,16.34,165800,0
2018-02-01,16.28,16.36,16.03,16.13,158500,0
2018-02-02,16.00,16.05,15.35,15.42,168800,0
2018-02-05,14.77,15.29,14.60,14.81,324900,0
2018-02-06,14.56,15.02,14.43,14.97,173600,0
2018-02-07,14.94,15.29,14.75,14.75,110500,0
2018-02-08,14.80,14.80,14.16,14.17,84600,0
2018-02-09,14.28,14.54,14.07,14.44,208700,0
2018-02-12,14.52,14.71,14.30,14.63,137300,0
2018-02-13,14.53,14.69,14.38,14.48,87600,0
2018-02-14,14.41,14.71,14.23,14.47,141800,0
2018-02-15,14.53,14.60,14.40,14.42,1112000,0
2018-02-16,14.35,14.73,14.35,14.42,122200,0
2018-02-20,14.32,14.58,14.17,14.31,78900,0
2018-02-21,14.37,14.65,14.37,14.46,107600,0
2018-02-22,14.56,14.68,14.37,14.40,117100,0
2018-02-23,14.45,14.63,14.30,14.52,116900,0
2018-02-26,14.54,14.62,14.20,14.27,125800,0
2018-02-27,14.30,14.54,13.99,14.12,141500,0
2018-02-28,14.18,14.19,13.40,13.40,214000,0
2018-03-01,13.35,13.48,13.10,13.24,172400,0
2018-03-02,13.16,13.30,12.88,13.12,141300,0
2018-03-05,13.06,13.29,12.95,13.25,112900,0
2018-03-06,13.38,13.83,13.38,13.56,160800,0
2018-03-07,13.50,13.85,13.50,13.76,60800,0
2018-03-08,13.77,14.00,13.61,13.79,71000,0
2018-03-09,13.88,14.32,13.65,14.16,125400,0
2018-03-12,14.15,14.47,14.08,14.31,73600,0
2018-03-13,14.37,14.44,13.95,13.99,104900,0
2018-03-14,14.05,14.27,13.65,14.00,179300,0
2018-03-15,14.07,14.23,13.64,13.67,174200,0
2018-03-16,13.67,14.00,13.51,13.97,282500,0
2018-03-19,13.96,14.06,13.69,13.80,179600,0
2018-03-20,13.78,13.98,13.30,13.54,220200,0
2018-03-21,14.89,14.99,14.01,14.27,702100,0
2018-03-22,14.11,14.44,13.75,14.02,240400,0
2018-03-23,14.39,14.87,13.54,13.65,379600,0
2018-03-26,13.91,14.09,13.52,14.09,217400,0
2018-03-27,14.06,14.11,13.67,13.73,215200,0
2018-03-28,14.57,15.21,13.55,13.66,594300,0
2018-03-29,13.75,14.13,13.69,13.97,221300,0
2018-04-02,13.95,14.37,13.54,13.81,252800,0
2018-04-03,13.89,14.18,13.75,14.08,125800,0
2018-04-04,13.85,14.18,13.85,14.16,138600,0
2018-04-05,14.19,14.54,14.12,14.44,170400,0
2018-04-06,14.30,14.37,13.70,13.80,113200,0
2018-04-09,13.86,13.94,13.53,13.75,92088,0
