Date,Open,High,Low,Close,Volume,OpenInt
2016-11-01,24.799,24.819,24.799,24.819,1179,0
2016-11-03,24.554,24.554,24.554,24.554,202,0
2016-11-15,25.257,25.292,25.257,25.292,3309,0
2016-12-15,26.113,26.113,26.113,26.113,259,0
2016-12-23,26.023,26.043,26.023,26.043,15183,0
2016-12-30,25.915,25.915,25.901,25.901,282,0
2017-01-03,25.988,25.988,25.988,25.988,100,0
2017-01-19,26.242,26.282,26.242,26.282,212,0
2017-02-10,26.906,26.946,26.887,26.946,2572,0
2017-03-15,27.78,27.78,27.78,27.78,504,0
2017-03-17,27.78,27.78,27.78,27.78,100,0
2017-03-20,27.809,27.809,27.809,27.809,100,0
2017-04-05,27.565,27.824,27.565,27.824,357,0
2017-04-07,27.376,27.386,27.296,27.326,6223,0
2017-04-17,27.346,27.346,27.346,27.346,1003,0
2017-04-18,27.446,27.446,27.446,27.446,401,0
2017-04-20,27.565,27.734,27.565,27.734,301,0
2017-04-21,27.754,27.754,27.754,27.754,149,0
2017-04-27,28.203,28.223,28.203,28.213,2659,0
2017-05-04,28.093,28.093,28.093,28.093,703,0
2017-05-19,28.263,28.279,28.263,28.279,401,0
2017-05-30,28.871,28.871,28.867,28.867,1132,0
2017-06-29,29.26,29.26,29.26,29.26,297,0
2017-07-27,29.241,29.241,29.241,29.241,301,0
2017-08-02,29.269,29.269,29.269,29.269,429,0
2017-08-03,29.33,29.33,29.297,29.3,853,0
2017-08-10,29.091,29.091,29.031,29.031,587,0
2017-08-17,29.212,29.212,29.212,29.212,410,0
2017-09-11,29.939,29.939,29.899,29.899,289,0
2017-09-14,29.759,29.759,29.72,29.739,4310,0
2017-09-15,29.819,29.829,29.789,29.809,5513,0
2017-09-26,29.859,29.859,29.859,29.859,1704,0
2017-09-27,29.829,29.829,29.829,29.829,1704,0
2017-09-29,30.059,30.069,30.05,30.059,57140,0
2017-10-03,30.1524,30.1524,30.1524,30.1524,153,0
2017-10-05,30.3991,30.3991,30.3991,30.3991,154,0
2017-10-06,30.3818,30.3818,30.3818,30.3818,100,0
2017-10-10,30.38,30.38,30.37,30.3701,8250,0
2017-10-19,30.55,30.65,30.55,30.65,8700,0
2017-10-23,30.82,30.82,30.82,30.82,200,0
2017-11-07,30.88,30.88,30.88,30.88,200,0
2017-11-15,31.10,31.10,31.10,31.10,-,0
2017-11-16,31.29,31.30,31.29,31.30,95500,0
2017-11-17,31.30,31.30,31.30,31.30,-,0
2017-11-20,31.30,31.30,31.30,31.30,-,0
2017-11-21,31.30,31.30,31.30,31.30,-,0
2017-11-22,31.30,31.30,31.30,31.30,-,0
2017-11-24,31.30,31.30,31.30,31.30,-,0
2017-11-27,31.30,31.30,31.30,31.30,-,0
2017-11-28,31.64,31.64,31.64,31.64,400,0
2017-11-29,31.64,31.64,31.64,31.64,-,0
2017-11-30,31.64,31.64,31.64,31.64,-,0
2017-12-01,31.64,31.64,31.64,31.64,-,0
2017-12-04,32.00,32.00,32.00,32.00,200,0
2017-12-05,32.00,32.00,32.00,32.00,-,0
2017-12-06,31.86,31.92,31.86,31.92,210100,0
2017-12-07,30.97,32.02,30.97,31.96,600,0
2017-12-08,31.96,31.96,31.96,31.96,-,0
2017-12-11,31.96,31.96,31.96,31.96,-,0
2017-12-12,32.19,32.19,32.12,32.17,1900,0
2017-12-13,32.22,32.22,32.22,32.22,100,0
2017-12-14,32.22,32.22,32.22,32.22,-,0
2017-12-15,32.22,32.22,32.22,32.22,-,0
2017-12-18,32.22,32.22,32.22,32.22,-,0
2017-12-19,32.22,32.22,32.22,32.22,-,0
2017-12-20,32.22,32.22,32.22,32.22,100,0
2017-12-21,32.22,32.22,32.22,32.22,200,0
2017-12-22,32.22,32.22,32.22,32.22,-,0
2017-12-26,32.22,32.22,32.22,32.22,-,0
2017-12-27,32.22,32.22,32.22,32.22,-,0
2017-12-28,32.22,32.22,32.22,32.22,-,0
2017-12-29,32.18,32.18,32.18,32.18,300,0
2018-01-02,32.18,32.18,32.18,32.18,-,0
2018-01-03,32.42,32.42,32.42,32.42,200,0
2018-01-04,32.63,33.00,32.63,33.00,300,0
2018-01-05,33.85,33.85,32.78,32.83,2300,0
2018-01-08,32.91,32.91,32.91,32.91,200,0
2018-01-09,33.02,33.05,32.99,33.03,1500,0
2018-01-10,32.86,32.87,32.83,32.87,1800,0
2018-01-11,33.28,33.28,32.98,32.98,500,0
2018-01-12,33.22,33.23,33.22,33.23,500,0
2018-01-16,33.23,33.23,33.23,33.23,-,0
2018-01-17,33.30,33.30,33.30,33.30,2000,0
2018-01-18,33.30,33.30,33.30,33.30,-,0
2018-01-19,33.65,33.65,33.63,33.63,44400,0
2018-01-22,33.96,33.96,33.96,33.96,7300,0
2018-01-23,33.96,34.18,33.96,34.04,29000,0
2018-01-24,34.21,34.21,34.19,34.19,300,0
2018-01-25,34.19,34.19,34.19,34.19,-,0
2018-01-26,34.25,34.46,34.24,34.46,20500,0
2018-01-29,34.44,34.44,34.31,34.31,500,0
2018-01-30,34.03,34.03,34.00,34.00,300,0
2018-01-31,34.13,34.26,33.91,33.96,9500,0
2018-02-01,34.02,34.06,33.86,33.95,8700,0
2018-02-02,33.95,33.95,33.95,33.95,-,0
2018-02-05,32.42,32.63,32.31,32.63,4600,0
2018-02-06,31.78,31.78,31.78,31.78,200,0
2018-02-07,32.65,32.76,32.50,32.50,24400,0
2018-02-08,32.50,32.50,32.50,32.50,-,0
2018-02-09,31.72,31.83,31.69,31.69,5000,0
2018-02-12,32.22,32.22,32.20,32.20,2600,0
2018-02-13,32.20,32.20,32.20,32.20,-,0
2018-02-14,32.20,32.20,32.20,32.20,-,0
2018-02-15,32.66,33.07,32.66,33.07,1000,0
2018-02-16,33.07,33.07,33.07,33.07,-,0
2018-02-20,33.42,33.42,32.90,32.90,2500,0
2018-02-21,32.90,32.90,32.90,32.90,-,0
2018-02-22,32.94,32.98,32.94,32.98,4100,0
2018-02-23,32.98,32.98,32.98,32.98,-,0
2018-02-26,32.98,32.98,32.98,32.98,-,0
2018-02-27,33.53,33.53,33.43,33.53,21500,0
2018-02-28,33.53,33.53,33.53,33.53,-,0
2018-03-01,33.53,33.53,33.53,33.53,-,0
2018-03-02,33.53,33.53,33.53,33.53,-,0
2018-03-05,32.98,32.98,32.98,32.98,200,0
2018-03-06,32.96,32.96,32.96,32.96,100,0
2018-03-07,32.96,32.96,32.96,32.96,-,0
2018-03-08,32.96,32.96,32.96,32.96,-,0
2018-03-09,33.76,33.84,33.75,33.84,18900,0
2018-03-12,33.84,33.84,33.84,33.84,-,0
2018-03-13,33.77,33.77,33.74,33.74,100200,0
2018-03-14,33.57,33.64,33.57,33.63,24000,0
2018-03-15,33.72,33.72,33.70,33.70,17000,0
2018-03-16,33.67,33.67,33.67,33.67,100,0
2018-03-19,33.67,33.67,33.67,33.67,-,0
2018-03-20,33.51,33.59,33.51,33.59,29700,0
2018-03-21,33.51,33.63,33.51,33.63,400,0
2018-03-22,33.63,33.63,33.63,33.63,-,0
2018-03-23,32.78,32.78,32.78,32.78,600,0
2018-03-26,32.78,32.78,32.78,32.78,-,0
2018-03-27,32.78,32.78,32.78,32.78,100,0
2018-03-28,32.78,32.78,32.78,32.78,-,0
2018-03-29,32.74,32.74,32.74,32.74,200,0
2018-04-02,32.74,32.74,32.74,32.74,-,0
2018-04-03,31.94,31.94,31.94,31.94,200,0
2018-04-04,31.94,31.94,31.94,31.94,-,0
2018-04-05,32.63,32.63,32.63,32.63,9300,0
2018-04-06,32.14,32.14,32.14,32.14,1700,0
2018-04-09,32.14,32.53,32.53,32.53,1,0
