Date,Open,High,Low,Close,Volume,OpenInt
2017-01-06,52,54,52,52.25,4165,0
2017-01-09,52,52,50.25,52,5248,0
2017-01-10,51,52.05,50.748,50.748,2741,0
2017-01-11,50.5996,53,50.5996,52,4695,0
2017-01-13,52,52.1125,50.7331,52,1600,0
2017-01-17,50.29,52.7,50.29,52,2978,0
2017-01-18,50.3,52,47.1,49.9,2427,0
2017-01-19,50.3225,52,50.01,51.8,6235,0
2017-01-20,51.17,52.575,50,51.73,7164,0
2017-01-23,51.9,52,50,51.94,3124,0
2017-01-24,51.75,51.75,50.9,50.98,4593,0
2017-01-25,50.5,51.8,50.5,51,2075,0
2017-01-26,51,51,48.177,50.36,5543,0
2017-01-27,49.25,51,49.1998,49.9,31814,0
2017-01-30,48.55,51,48.55,50.4,5032,0
2017-01-31,49,51,48,51,10142,0
2017-02-01,49.85,50,48.24,48.98,6158,0
2017-02-02,49.45,49.69,48.99,49,8269,0
2017-02-03,49.1,50.2,48.75,49,18643,0
2017-02-06,49.2,49.25,48.6305,49.25,9332,0
2017-02-07,48.99,49.5,46.0572,48.89,13050,0
2017-02-08,49.25,50,46.01,49,14663,0
2017-02-09,49.9,49.9,48.99,49.5,4923,0
2017-02-10,49.5,49.5,48.7,49,11464,0
2017-02-13,49.35,49.35,48.8,49,6752,0
2017-02-14,48.9,49.5,48.85,49.47,5525,0
2017-02-15,49.5,49.5,48.73,49.04,13129,0
2017-02-16,49,49,44.69,49,1527,0
2017-02-17,49,49.72,48.8271,49.72,3467,0
2017-02-21,49.16,49.16,48.89,48.98,19865,0
2017-02-22,48.9,49,48.7401,49,7902,0
2017-02-23,46.23,49.22,46.23,49.22,15065,0
2017-02-24,49,49.275,48.5262,49,15539,0
2017-02-27,49.7,49.74,48.834,49.19,11784,0
2017-02-28,49.99,49.99,48.51,49,17414,0
2017-03-01,49.2,49.2,48.75,49,7699,0
2017-03-02,49,49.4,48.6,48.82,5858,0
2017-03-03,49.3,49.3,48.79,49.08,3843,0
2017-03-06,49.95,49.95,48.99,49,2267,0
2017-03-07,49,49,48.67,48.67,1503,0
2017-03-08,48.77,50,48.69,49,9816,0
2017-03-09,49,49,47.5,47.695,13135,0
2017-03-10,47.9,48.54,44.14,47.27,15603,0
2017-03-13,46.3,47.2,43.4005,44.035,32946,0
2017-03-14,43.95,44.65,43.7,43.94,19520,0
2017-03-15,44.75,45.6,44.5,45.6,38406,0
2017-03-16,48.44,48.44,46.4,47.84,26308,0
2017-03-17,47.8,48.48,42.5,44.8,58888,0
2017-03-20,45,46.4,43.46,43.59,17607,0
2017-03-21,45.125,46.94,42.4,44,22078,0
2017-03-22,43.81,45.475,41.4001,43,18155,0
