Date,Open,High,Low,Close,Volume,OpenInt
2017-10-19,24.92,25.03,24.92,25.03,120703,0
2017-10-23,25.2,25.2,25.2,25.2,300,0
2017-11-14,24.98,24.98,24.98,24.98,200,0
2017-11-15,24.98,24.98,24.98,24.98,200,0
2017-11-16,25.45,25.45,25.45,25.45,100,0
2017-11-17,25.49,25.49,25.49,25.49,300,0
2017-11-20,25.49,25.49,25.49,25.49,-,0
2017-11-21,25.49,25.49,25.49,25.49,-,0
2017-11-22,25.49,25.49,25.49,25.49,-,0
2017-11-24,25.49,25.49,25.49,25.49,-,0
2017-11-27,25.49,25.49,25.49,25.49,-,0
2017-11-28,25.49,25.49,25.49,25.49,-,0
2017-11-29,25.49,25.49,25.49,25.49,-,0
2017-11-30,25.49,25.49,25.49,25.49,-,0
2017-12-01,25.49,25.49,25.49,25.49,-,0
2017-12-04,25.49,25.49,25.49,25.49,-,0
2017-12-05,25.49,25.49,25.49,25.49,-,0
2017-12-06,25.49,25.49,25.49,25.49,-,0
2017-12-07,25.49,25.49,25.49,25.49,-,0
2017-12-08,25.49,25.49,25.49,25.49,-,0
2017-12-11,25.49,25.49,25.49,25.49,-,0
2017-12-12,25.49,25.49,25.49,25.49,-,0
2017-12-13,25.49,25.49,25.49,25.49,-,0
2017-12-14,25.49,25.49,25.49,25.49,-,0
2017-12-15,25.49,25.49,25.49,25.49,-,0
2017-12-18,25.49,25.49,25.49,25.49,-,0
2017-12-19,25.49,25.49,25.49,25.49,-,0
2017-12-20,25.49,25.49,25.49,25.49,-,0
2017-12-21,25.49,25.49,25.49,25.49,-,0
2017-12-22,25.49,25.49,25.49,25.49,-,0
2017-12-26,25.49,25.49,25.49,25.49,-,0
2017-12-27,25.49,25.49,25.49,25.49,-,0
2017-12-28,25.49,25.49,25.49,25.49,-,0
2017-12-29,25.49,25.49,25.49,25.49,-,0
2018-01-02,25.49,25.49,25.49,25.49,-,0
2018-01-03,25.49,25.49,25.49,25.49,-,0
2018-01-04,25.49,25.49,25.49,25.49,-,0
2018-01-05,25.49,25.49,25.49,25.49,-,0
2018-01-08,25.49,25.49,25.49,25.49,-,0
2018-01-09,25.49,25.49,25.49,25.49,-,0
2018-01-10,25.49,25.49,25.49,25.49,-,0
2018-01-11,25.49,25.49,25.49,25.49,-,0
2018-01-12,25.49,25.49,25.49,25.49,-,0
2018-01-16,25.49,25.49,25.49,25.49,-,0
2018-01-17,25.49,25.49,25.49,25.49,-,0
2018-01-18,25.49,25.49,25.49,25.49,-,0
2018-01-19,25.49,25.49,25.49,25.49,-,0
2018-01-22,25.49,25.49,25.49,25.49,-,0
2018-01-23,25.49,25.49,25.49,25.49,-,0
2018-01-24,25.49,25.49,25.49,25.49,-,0
2018-01-25,25.49,25.49,25.49,25.49,-,0
2018-01-26,25.49,25.49,25.49,25.49,-,0
2018-01-29,25.49,25.49,25.49,25.49,-,0
2018-01-30,25.49,25.49,25.49,25.49,-,0
2018-01-31,25.49,25.49,25.49,25.49,-,0
2018-02-01,25.49,25.49,25.49,25.49,-,0
2018-02-02,26.97,26.97,26.97,26.97,200,0
2018-02-05,26.68,26.74,26.68,26.74,1900,0
2018-02-06,25.71,25.71,25.71,25.71,100,0
2018-02-07,25.71,25.71,25.71,25.71,-,0
2018-02-08,25.59,25.59,25.59,25.59,200,0
2018-02-09,25.59,25.59,25.59,25.59,-,0
2018-02-12,25.90,25.90,25.90,25.90,100,0
2018-02-13,25.79,25.79,25.79,25.79,300,0
2018-02-14,25.79,25.79,25.79,25.79,-,0
2018-02-15,25.79,25.79,25.79,25.79,-,0
2018-02-16,25.79,25.79,25.79,25.79,-,0
2018-02-20,25.79,25.79,25.79,25.79,-,0
2018-02-21,25.79,25.79,25.79,25.79,-,0
2018-02-22,25.79,25.79,25.79,25.79,-,0
2018-02-23,25.79,25.79,25.79,25.79,-,0
2018-02-26,25.79,25.79,25.79,25.79,-,0
2018-02-27,25.79,25.79,25.79,25.79,-,0
2018-02-28,25.79,25.79,25.79,25.79,-,0
2018-03-01,25.79,25.79,25.79,25.79,-,0
2018-03-02,25.79,25.79,25.79,25.79,-,0
2018-03-05,25.79,25.79,25.79,25.79,-,0
2018-03-06,25.79,25.79,25.79,25.79,-,0
2018-03-07,25.79,25.79,25.79,25.79,-,0
2018-03-08,25.79,25.79,25.79,25.79,-,0
2018-03-09,25.79,25.79,25.79,25.79,-,0
2018-03-12,25.79,25.79,25.79,25.79,-,0
2018-03-13,25.79,25.79,25.79,25.79,-,0
2018-03-14,25.79,25.79,25.79,25.79,-,0
2018-03-15,25.79,25.79,25.79,25.79,-,0
2018-03-16,26.72,26.73,26.72,26.73,800,0
2018-03-19,26.73,26.73,26.73,26.73,-,0
2018-03-20,26.40,26.40,26.40,26.40,9900,0
2018-03-21,26.40,26.40,26.40,26.40,-,0
2018-03-22,26.00,26.00,25.96,25.96,500,0
2018-03-23,25.96,25.96,25.96,25.96,-,0
2018-03-26,25.96,25.96,25.96,25.96,-,0
2018-03-27,25.96,25.96,25.96,25.96,-,0
2018-03-28,25.96,25.96,25.96,25.96,-,0
2018-03-29,25.96,25.96,25.96,25.96,-,0
2018-04-02,25.96,25.96,25.96,25.96,-,0
2018-04-03,25.96,25.96,25.96,25.96,-,0
2018-04-04,25.96,25.96,25.96,25.96,-,0
2018-04-05,25.96,25.96,25.96,25.96,-,0
2018-04-06,25.96,25.96,25.96,25.96,-,0
