Date,Open,High,Low,Close,Volume,OpenInt
2017-09-22,24.88,24.88,24.86,24.86,600,0
2017-09-25,24.93,24.93,24.93,24.93,28000,0
2017-09-27,24.88,24.88,24.88,24.88,300,0
2017-09-28,24.89,24.9133,24.89,24.9133,300,0
2017-09-29,24.95,24.95,24.95,24.95,100,0
2017-10-02,25.05,25.05,25.05,25.05,100,0
2017-10-03,25.1,25.11,25.1,25.11,200,0
2017-10-04,25.13,25.1999,25.13,25.1999,303,0
2017-10-05,25.2,25.2,25.2,25.2,3500,0
2017-10-06,25.2,25.2,25.2,25.2,2200,0
2017-10-09,25.12,25.12,25.12,25.12,700,0
2017-10-10,25.2,25.2,25.16,25.16,2503,0
2017-10-11,25.21,25.22,25.21,25.22,1400,0
2017-10-12,25.2,25.2,25.2,25.2,500,0
2017-10-13,25.28,25.28,25.28,25.28,200,0
2017-10-16,25.24,25.29,25.24,25.29,500,0
2017-10-17,25.24,25.24,25.24,25.24,200,0
2017-10-18,25.32,25.32,25.32,25.32,1000,0
2017-10-19,25.22,25.27,25.22,25.27,2300,0
2017-10-23,25.53,25.53,25.53,25.53,200,0
2017-10-24,25.37,25.37,25.37,25.37,200,0
2017-10-25,25.23,25.23,25.21,25.21,2400,0
2017-10-26,25.33,25.33,25.33,25.33,400,0
2017-10-27,25.27,25.27,25.27,25.27,2401,0
2017-10-30,25.32,25.32,25.32,25.32,100,0
2017-10-31,25.23,25.23,25.23,25.23,400,0
2017-11-01,25.38,25.38,25.38,25.38,200,0
2017-11-02,25.2,25.2,25.2,25.2,300,0
2017-11-03,25.32,25.32,25.32,25.32,3100,0
2017-11-06,25.28,25.28,25.28,25.28,300,0
2017-11-07,25.41,25.41,25.41,25.41,300,0
2017-11-08,25.38,25.38,25.38,25.38,305,0
2017-11-09,25.3,25.3,25.3,25.3,1400,0
2017-11-10,25.34,25.39,25.34,25.38,700,0
2017-11-13,25.33,25.35,25.31,25.31,300,0
2017-11-14,25.33,25.33,25.33,25.33,300,0
2017-11-15,25.28,25.28,25.28,25.28,100,0
2017-11-16,25.38,25.38,25.38,25.38,400,0
2017-11-17,25.49,25.49,25.49,25.49,400,0
2017-11-20,25.45,25.45,25.45,25.45,5500,0
2017-11-21,25.53,25.53,25.53,25.53,200,0
2017-11-22,25.55,25.55,25.55,25.55,200,0
2017-11-24,25.59,25.59,25.59,25.59,400,0
2017-11-27,25.58,25.58,25.58,25.58,100,0
2017-11-28,25.70,25.70,25.68,25.68,200,0
2017-11-29,25.94,25.94,25.92,25.92,200,0
2017-11-30,26.10,26.10,26.07,26.07,3700,0
2017-12-01,26.19,26.19,26.19,26.19,600,0
2017-12-04,26.32,26.32,26.32,26.32,1400,0
2017-12-05,26.16,26.20,26.15,26.18,1000,0
2017-12-06,26.01,26.01,25.93,25.93,10800,0
2017-12-07,26.05,26.47,25.88,26.07,1100,0
2017-12-08,26.13,26.13,26.13,26.13,200,0
2017-12-11,26.22,26.22,26.22,26.22,3100,0
2017-12-12,26.24,26.27,26.24,26.27,2200,0
2017-12-13,26.24,26.24,26.24,26.24,700,0
2017-12-14,26.20,26.20,26.15,26.15,6200,0
2017-12-15,26.21,26.37,26.21,26.32,2100,0
2017-12-18,26.39,26.39,26.39,26.39,3500,0
2017-12-19,26.39,26.39,26.39,26.39,-,0
2017-12-20,26.39,26.39,26.39,26.39,-,0
2017-12-21,26.39,26.39,26.39,26.39,-,0
2017-12-22,26.39,26.39,26.39,26.39,-,0
2017-12-26,26.39,26.39,26.39,26.39,-,0
2017-12-27,26.39,26.39,26.39,26.39,-,0
2017-12-28,26.39,26.39,26.39,26.39,-,0
2017-12-29,26.19,26.19,26.19,26.19,19100,0
2018-01-02,26.19,26.19,26.19,26.19,-,0
2018-01-03,26.22,26.23,26.20,26.23,3800,0
2018-01-04,26.23,26.23,26.23,26.23,-,0
2018-01-05,26.23,26.23,26.23,26.23,-,0
2018-01-08,26.23,26.23,26.23,26.23,-,0
2018-01-09,26.23,26.23,26.23,26.23,-,0
2018-01-10,26.35,26.35,26.34,26.34,7600,0
2018-01-11,26.34,26.34,26.34,26.34,-,0
2018-01-12,26.34,26.34,26.34,26.34,-,0
2018-01-16,26.34,26.34,26.34,26.34,-,0
2018-01-17,26.34,26.34,26.34,26.34,-,0
2018-01-18,26.34,26.34,26.34,26.34,-,0
2018-01-19,26.34,26.34,26.34,26.34,-,0
2018-01-22,26.34,26.34,26.34,26.34,-,0
2018-01-23,26.34,26.34,26.34,26.34,-,0
2018-01-24,27.19,27.19,27.19,27.19,7500,0
2018-01-25,27.18,27.18,27.18,27.18,5500,0
2018-01-26,27.18,27.18,27.18,27.18,-,0
2018-01-29,27.18,27.18,27.18,27.18,-,0
2018-01-30,27.18,27.18,27.18,27.18,-,0
2018-01-31,27.18,27.18,27.18,27.18,-,0
2018-02-01,27.18,27.18,27.18,27.18,-,0
2018-02-02,27.18,27.18,27.18,27.18,-,0
2018-02-05,27.18,27.18,27.18,27.18,-,0
2018-02-06,27.18,27.18,27.18,27.18,-,0
2018-02-07,27.18,27.18,27.18,27.18,-,0
2018-02-08,27.18,27.18,27.18,27.18,-,0
2018-02-09,25.69,25.69,24.83,24.83,600,0
2018-02-12,24.83,24.83,24.83,24.83,-,0
2018-02-13,25.54,25.71,25.54,25.71,26600,0
2018-02-14,25.71,25.71,25.71,25.71,-,0
2018-02-15,26.03,26.03,26.03,26.03,5800,0
2018-02-16,26.03,26.03,26.03,26.03,-,0
2018-02-20,26.17,26.18,26.17,26.18,400,0
2018-02-21,26.18,26.18,26.18,26.18,-,0
2018-02-22,26.18,26.18,26.18,26.18,-,0
2018-02-23,26.18,26.18,26.18,26.18,-,0
2018-02-26,26.18,26.18,26.18,26.18,-,0
2018-02-27,26.18,26.18,26.18,26.18,-,0
2018-02-28,26.18,26.18,26.18,26.18,-,0
2018-03-01,26.18,26.18,26.18,26.18,-,0
2018-03-02,26.18,26.18,26.18,26.18,-,0
2018-03-05,26.18,26.18,26.18,26.18,-,0
2018-03-06,26.18,26.18,26.18,26.18,-,0
2018-03-07,26.18,26.18,26.18,26.18,-,0
2018-03-08,26.18,26.18,26.18,26.18,-,0
2018-03-09,26.18,26.18,26.18,26.18,-,0
2018-03-12,26.18,26.18,26.18,26.18,-,0
2018-03-13,26.18,26.18,26.18,26.18,-,0
2018-03-14,26.18,26.18,26.18,26.18,-,0
2018-03-15,26.18,26.18,26.18,26.18,-,0
2018-03-16,26.18,26.18,26.18,26.18,-,0
2018-03-19,26.18,26.18,26.18,26.18,-,0
2018-03-20,26.18,26.18,26.18,26.18,-,0
2018-03-21,26.18,26.18,26.18,26.18,-,0
2018-03-22,26.18,26.18,26.18,26.18,-,0
2018-03-23,26.18,26.18,26.18,26.18,-,0
2018-03-26,26.18,26.18,26.18,26.18,-,0
2018-03-27,26.18,26.18,26.18,26.18,-,0
2018-03-28,26.18,26.18,26.18,26.18,-,0
2018-03-29,26.18,26.18,26.18,26.18,-,0
2018-04-02,25.40,25.42,25.40,25.42,4500,0
2018-04-03,25.45,25.45,25.45,25.45,21000,0
2018-04-04,25.45,25.45,25.45,25.45,-,0
2018-04-05,25.45,25.45,25.45,25.45,-,0
2018-04-06,25.45,25.45,25.45,25.45,-,0
