Date,Open,High,Low,Close,Volume,OpenInt
2017-03-16,2.75,2.75,2.67,2.75,153464,0
2017-03-17,2.75,2.9,2.7005,2.9,206449,0
2017-03-20,2.9,2.93,2.8,2.9,161168,0
2017-03-21,2.91,2.91,2.73,2.75,192875,0
2017-03-22,2.8,2.93,2.67,2.72,186965,0
2017-03-23,2.7,2.9,2.64,2.89,206580,0
2017-03-24,2.9,2.9001,2.75,2.83,147850,0
2017-03-27,2.83,2.9,2.75,2.9,203670,0
2017-03-28,2.86,2.89,2.79,2.85,151879,0
2017-03-29,2.89,2.9,2.86,2.89,172613,0
2017-03-30,2.9,3.05,2.86,2.98,608087,0
2017-03-31,3.04,3.13,2.99,3.09,519861,0
2017-04-03,3.1,3.1,3.02,3.08,159036,0
2017-04-04,3.1,3.1,3.03,3.1,104520,0
2017-04-05,3.15,3.24,3.08,3.16,89047,0
2017-04-06,3.1,3.419,3.1,3.21,387564,0
2017-04-07,3.21,3.27,3.1989,3.27,284518,0
2017-04-10,3.3,3.4,3.25,3.37,352431,0
2017-04-11,3.4,3.5,3.35,3.43,474861,0
2017-04-12,3.43,3.5,3.4,3.46,236210,0
2017-04-13,3.5,3.5,3.43,3.5,189413,0
2017-04-17,3.5,3.5,3.42,3.45,211665,0
2017-04-18,3.5,3.52,3.43,3.45,346368,0
2017-04-19,3.45,3.5153,3.435,3.48,268679,0
2017-04-20,3.5,3.6,3.4899,3.59,300066,0
2017-04-21,3.6,3.66,3.5,3.58,272780,0
2017-04-24,3.73,3.76,3.61,3.75,459448,0
2017-04-25,3.85,3.99,3.75,3.98,969234,0
2017-04-26,4,4,3.75,3.91,633283,0
2017-04-27,3.95,3.95,3.79,3.88,490960,0
2017-04-28,3.78,3.94,3.77,3.89,642342,0
2017-05-01,3.96,3.98,3.93,3.96,210866,0
2017-05-02,3.98,3.99,3.86,3.96,280711,0
2017-05-03,3.98,4,3.85,3.88,187491,0
2017-05-04,3.88,3.95,3.75,3.89,446731,0
2017-05-05,3.92,3.92,3.66,3.75,504294,0
