Date,Open,High,Low,Close,Volume,OpenInt
2017-10-20,16,17.86,16,16.61,11542997,0
2017-10-23,17.19,17.4972,14.71,15.14,2585772,0
2017-10-24,15.32,15.32,13.55,14.27,2165171,0
2017-10-25,14.33,14.65,11.1,12.21,3771782,0
2017-10-26,11.73,13.12,11.67,12.3,1731426,0
2017-10-27,12.4,13.94,12.36,13.74,1556188,0
2017-10-30,13.9699,14.39,13.7,14.36,873364,0
2017-10-31,14.35,14.49,14.05,14.14,658098,0
2017-11-01,14.03,14.36,12.26,12.92,1758904,0
2017-11-02,12.9,13.42,12.39,12.85,587611,0
2017-11-03,12.9,13.42,12.9,13.33,145125,0
2017-11-06,13.24,13.64,12.5,13.585,565282,0
2017-11-07,13.51,13.73,12.4,12.8,472525,0
2017-11-08,13.19,13.19,12.2,12.31,275748,0
2017-11-09,12.19,12.39,12.01,12.1,278362,0
2017-11-10,12.12,12.18,11.05,11.42,1004237,0
2017-11-13,11.42,11.42,10.63,10.81,842400,0
2017-11-14,11.11,11.18,10.21,10.32,694300,0
2017-11-15,10.23,10.23,9.60,9.72,790000,0
2017-11-16,9.91,10.30,9.60,9.89,1186900,0
2017-11-17,9.91,10.85,9.85,10.69,642300,0
2017-11-20,10.61,10.72,9.62,9.78,678800,0
2017-11-21,9.72,10.02,9.50,9.75,539900,0
2017-11-22,9.76,10.14,9.75,10.06,271500,0
2017-11-24,9.75,9.80,9.52,9.63,683300,0
2017-11-27,9.85,10.71,9.75,10.59,653500,0
2017-11-28,10.73,10.79,9.50,9.92,851000,0
2017-11-29,10.00,10.23,9.80,9.97,405000,0
2017-11-30,10.05,10.20,9.81,10.17,365700,0
2017-12-01,10.17,10.33,9.92,10.06,366400,0
2017-12-04,10.09,10.13,9.99,10.07,223200,0
2017-12-05,10.01,10.50,10.01,10.37,188100,0
2017-12-06,10.36,10.70,10.20,10.56,240300,0
2017-12-07,10.56,10.97,10.56,10.81,227800,0
2017-12-08,10.88,11.28,10.86,11.15,224400,0
2017-12-11,11.24,11.98,11.24,11.76,542500,0
2017-12-12,11.76,12.31,11.50,12.30,555900,0
2017-12-13,12.15,12.67,11.91,11.97,398600,0
2017-12-14,12.07,12.60,11.75,12.20,356600,0
2017-12-15,12.07,12.75,11.98,12.36,206700,0
2017-12-18,12.46,12.64,11.95,12.34,459200,0
2017-12-19,12.43,12.73,12.19,12.61,196900,0
2017-12-20,12.79,12.79,12.31,12.53,297900,0
2017-12-21,12.46,12.65,12.02,12.55,363400,0
2017-12-22,12.47,12.60,12.19,12.50,151500,0
2017-12-26,12.40,12.96,12.31,12.80,130700,0
2017-12-27,12.91,14.40,12.91,14.24,932800,0
2017-12-28,14.20,14.68,13.92,14.62,325700,0
2017-12-29,14.29,15.19,14.19,14.79,402000,0
2018-01-02,14.90,15.06,14.53,14.88,297900,0
2018-01-03,14.76,15.43,14.40,15.31,467700,0
2018-01-04,15.43,15.66,14.85,15.11,361000,0
2018-01-05,15.00,15.23,14.80,15.00,272400,0
2018-01-08,15.09,15.31,14.60,14.94,237300,0
2018-01-09,14.96,15.03,14.46,14.49,281500,0
2018-01-10,14.65,15.05,14.65,14.91,304600,0
2018-01-11,14.91,15.10,14.77,14.98,380900,0
2018-01-12,14.99,15.11,14.49,14.96,197200,0
2018-01-16,15.06,15.06,14.56,14.64,470700,0
2018-01-17,14.71,15.08,14.59,14.96,204200,0
2018-01-18,14.85,15.06,14.73,14.95,229200,0
2018-01-19,15.00,16.70,14.94,16.30,726100,0
2018-01-22,16.50,16.72,16.18,16.30,438400,0
2018-01-23,16.17,16.32,15.67,16.06,338800,0
2018-01-24,15.98,16.71,15.70,16.40,419800,0
2018-01-25,16.53,16.53,16.24,16.34,330300,0
2018-01-26,16.37,16.59,16.11,16.30,395300,0
2018-01-29,16.25,16.57,16.25,16.50,318500,0
2018-01-30,16.50,16.55,16.00,16.45,288900,0
2018-01-31,16.45,16.56,16.26,16.45,339100,0
2018-02-01,16.50,16.50,16.14,16.45,376000,0
2018-02-02,16.49,16.50,15.79,16.00,376900,0
2018-02-05,15.83,15.83,13.05,14.00,499800,0
2018-02-06,13.72,15.65,13.12,15.61,545800,0
2018-02-07,14.88,15.92,14.08,15.80,375500,0
2018-02-08,15.91,16.10,15.01,15.27,257000,0
2018-02-09,15.20,15.60,14.61,15.54,337000,0
2018-02-12,15.65,16.00,15.44,15.97,220300,0
2018-02-13,15.86,16.01,15.67,16.00,233000,0
2018-02-14,16.00,16.38,15.75,16.34,192500,0
2018-02-15,16.42,16.50,16.18,16.47,75900,0
2018-02-16,16.50,16.50,16.14,16.39,56800,0
2018-02-20,16.40,16.60,16.10,16.38,144600,0
2018-02-21,16.42,16.42,16.00,16.31,163400,0
2018-02-22,16.37,16.37,15.81,16.06,113800,0
2018-02-23,16.19,16.60,16.02,16.48,68900,0
2018-02-26,16.50,16.50,15.90,15.92,117600,0
2018-02-27,15.89,16.58,15.77,16.49,98300,0
2018-02-28,16.37,16.50,16.06,16.49,272000,0
2018-03-01,16.44,16.44,15.55,15.55,113200,0
2018-03-02,15.65,15.65,14.23,15.38,244600,0
2018-03-05,15.21,15.46,15.13,15.39,33500,0
2018-03-06,15.49,15.99,15.14,15.84,74400,0
2018-03-07,15.71,15.93,15.41,15.81,33000,0
2018-03-08,15.79,15.94,15.45,15.65,52000,0
2018-03-09,15.71,16.14,15.45,15.67,74000,0
2018-03-12,15.76,17.24,15.52,17.08,436400,0
2018-03-13,17.12,18.60,17.08,17.41,341700,0
2018-03-14,17.50,17.50,16.90,17.08,201600,0
2018-03-15,17.36,18.00,16.13,16.34,215200,0
2018-03-16,16.88,17.85,14.12,14.34,319400,0
2018-03-19,14.41,16.50,14.41,16.48,488200,0
2018-03-20,16.39,17.25,16.03,16.98,432500,0
2018-03-21,17.00,17.14,16.19,17.03,141100,0
2018-03-22,16.85,16.85,15.25,15.47,148700,0
2018-03-23,15.34,16.40,15.32,15.83,183600,0
2018-03-26,16.02,16.02,14.73,14.94,128700,0
2018-03-27,15.04,15.63,14.92,15.06,82100,0
2018-03-28,15.01,15.48,14.97,15.10,106300,0
2018-03-29,15.10,15.52,14.91,15.31,53400,0
2018-04-02,15.18,15.30,14.70,15.02,68800,0
2018-04-03,14.97,15.30,14.67,14.88,58500,0
2018-04-04,14.59,15.21,14.52,15.06,33200,0
2018-04-05,15.17,15.67,14.70,15.28,39200,0
2018-04-06,15.15,15.24,14.84,14.95,21600,0
2018-04-09,15.09,16.00,15.09,15.36,71663,0
