Date,Open,High,Low,Close,Volume,OpenInt
2017-07-19,26.313,26.313,26.304,26.304,502,0
2017-07-20,26.304,26.304,26.304,26.304,0,0
2017-07-21,26.304,26.304,26.304,26.304,0,0
2017-07-24,26.234,26.234,26.234,26.234,502,0
2017-07-25,26.263,26.263,26.263,26.263,473,0
2017-07-26,26.473,26.473,26.473,26.473,301,0
2017-07-27,26.473,26.473,26.473,26.473,0,0
2017-07-28,26.473,26.473,26.473,26.473,0,0
2017-07-31,26.473,26.473,26.473,26.473,0,0
2017-08-01,26.473,26.473,26.463,26.463,704,0
2017-08-02,26.463,26.463,26.463,26.463,0,0
2017-08-03,26.463,26.463,26.463,26.463,0,0
2017-08-04,26.463,26.463,26.463,26.463,0,0
2017-08-07,26.463,26.463,26.463,26.463,0,0
2017-08-08,26.463,26.463,26.463,26.463,0,0
2017-08-09,26.368,26.368,26.368,26.368,261,0
2017-08-10,26.368,26.368,26.368,26.368,0,0
2017-08-11,26.368,26.368,26.368,26.368,0,0
2017-08-14,26.104,26.104,26.104,26.104,3010,0
2017-08-15,26.104,26.104,26.104,26.104,0,0
2017-08-16,26.204,26.204,26.164,26.164,981,0
2017-08-17,25.964,25.964,25.964,25.964,176,0
2017-08-18,25.964,25.964,25.964,25.964,0,0
2017-08-21,25.964,25.964,25.964,25.964,0,0
2017-08-22,25.964,25.964,25.964,25.964,0,0
2017-08-23,25.964,25.964,25.964,25.964,0,0
2017-08-24,26.682,26.682,26.682,26.682,275,0
2017-08-25,26.682,26.682,26.682,26.682,0,0
2017-08-28,26.682,26.682,26.682,26.682,0,0
2017-08-29,26.682,26.682,26.682,26.682,0,0
2017-08-30,26.815,26.851,26.815,26.851,469,0
2017-08-31,26.892,26.892,26.892,26.892,513,0
2017-09-01,27.38,27.38,27.051,27.061,2178,0
2017-09-05,26.672,26.692,26.672,26.692,1295,0
2017-09-06,26.742,26.812,26.742,26.811,1150,0
2017-09-07,26.991,26.991,26.971,26.991,1648,0
2017-09-08,26.822,26.822,26.812,26.812,1765,0
2017-09-11,27.141,27.19,27.141,27.18,3158,0
2017-09-12,27.17,27.17,27.16,27.17,1651,0
2017-09-13,26.962,26.962,26.938,26.938,1695,0
2017-09-14,27.021,27.021,27.001,27.017,2701,0
2017-09-15,27.19,27.19,27.179,27.179,2443,0
2017-09-18,27.32,27.32,27.227,27.227,342,0
2017-09-19,27.17,27.2,27.17,27.19,3033,0
2017-09-20,27.19,27.19,27.19,27.19,0,0
2017-09-21,27.19,27.19,27.091,27.091,1756,0
2017-09-22,26.905,26.905,26.905,26.905,121,0
2017-09-25,26.62,26.62,26.413,26.493,1607,0
2017-09-26,26.602,26.602,26.542,26.542,1296,0
2017-09-27,26.373,26.373,26.353,26.353,976,0
2017-09-28,26.363,26.363,26.343,26.343,301,0
2017-09-29,26.582,26.682,26.582,26.682,201,0
2017-10-02,26.682,26.732,26.672,26.691,2487,0
2017-10-03,26.691,26.691,26.691,26.691,0,0
2017-10-04,26.9999,27.05,26.9999,27.0499,1174,0
2017-10-05,27.25,27.25,27.2499,27.2499,464,0
2017-10-06,27.0399,27.04,27.0399,27.04,702,0
2017-10-09,27.04,27.04,27.04,27.04,860,0
2017-10-10,27.27,27.27,27.22,27.2299,2077,0
2017-10-11,27.2299,27.2299,27.2299,27.2299,0,0
2017-10-12,27.39,27.39,27.38,27.38,862,0
2017-10-13,27.65,27.67,27.6499,27.67,526,0
2017-10-16,27.73,27.73,27.6399,27.6399,1082,0
2017-10-17,27.4899,27.515,27.4499,27.5,4791,0
2017-10-18,27.54,27.54,27.5399,27.5399,386,0
2017-10-19,27.32,27.35,27.295,27.295,3675,0
2017-10-20,27.4899,27.5,27.4899,27.4899,1086,0
2017-10-23,27.3299,27.33,27.3,27.3,951,0
2017-10-24,27.36,27.36,27.3583,27.3583,224,0
2017-10-25,27.27,27.27,27.2699,27.2699,602,0
2017-10-26,27.35,27.35,27.35,27.35,316,0
2017-10-27,27.3,27.6,27.3,27.6,3149,0
2017-10-30,27.3401,27.3401,27.3401,27.3401,110,0
2017-10-31,27.48,27.51,27.4799,27.51,1809,0
2017-11-01,27.7019,27.7019,27.7019,27.7019,180,0
2017-11-02,27.64,27.67,27.6399,27.64,2223,0
2017-11-03,27.4199,27.4199,27.4199,27.4199,381,0
2017-11-06,27.63,27.76,27.6299,27.76,3491,0
2017-11-07,27.55,27.55,27.55,27.55,0,0
2017-11-08,27.5701,27.5701,27.5701,27.5701,169,0
2017-11-09,27.5,27.5,27.5,27.5,209,0
2017-11-10,27.4,27.43,27.3899,27.43,3396,0
2017-11-14,27.28,27.28,27.28,27.28,100,0
2017-11-15,27.28,27.28,27.28,27.28,100,0
2017-11-16,27.27,27.39,27.27,27.39,6100,0
2017-11-17,27.37,27.46,27.37,27.45,3000,0
2017-11-20,27.35,27.35,27.35,27.35,500,0
2017-11-21,27.35,27.35,27.35,27.35,100,0
2017-11-22,27.35,27.35,27.35,27.35,100,0
2017-11-24,27.84,27.84,27.82,27.82,500,0
2017-11-27,27.48,27.48,27.47,27.47,700,0
2017-11-28,27.47,27.47,27.47,27.47,100,0
2017-11-29,27.39,27.39,27.39,27.39,600,0
2017-11-30,27.29,27.29,27.29,27.29,200,0
2017-12-01,27.23,27.23,26.97,26.97,600,0
2017-12-04,27.16,27.16,27.16,27.16,700,0
2017-12-05,27.27,27.27,27.27,27.27,100,0
2017-12-06,26.97,26.97,26.80,26.80,300,0
2017-12-07,26.69,26.83,26.69,26.80,1000,0
2017-12-08,26.92,26.97,26.84,26.95,5400,0
2017-12-11,27.07,27.07,27.07,27.07,100,0
2017-12-12,26.86,26.90,26.86,26.90,2600,0
2017-12-13,27.20,27.23,27.19,27.23,2200,0
2017-12-14,27.28,27.28,27.22,27.24,1300,0
2017-12-15,27.29,27.33,27.20,27.26,4500,0
2017-12-18,27.52,27.52,27.48,27.48,800,0
2017-12-19,27.38,27.38,27.36,27.36,500,0
2017-12-20,27.36,27.36,27.36,27.36,-,0
2017-12-21,27.36,27.36,27.36,27.36,-,0
2017-12-22,27.36,27.36,27.36,27.36,-,0
2017-12-26,27.66,27.75,27.66,27.75,1200,0
2017-12-27,27.81,27.81,27.80,27.80,400,0
2017-12-28,27.80,27.80,27.80,27.80,-,0
2017-12-29,27.80,27.80,27.80,27.80,-,0
2018-01-02,28.16,28.24,28.16,28.24,2500,0
2018-01-03,28.39,28.39,28.39,28.39,400,0
2018-01-04,28.60,28.60,28.60,28.60,400,0
2018-01-05,28.83,28.83,28.83,28.83,400,0
2018-01-08,28.80,28.91,28.80,28.91,3100,0
2018-01-09,28.82,28.82,28.81,28.81,700,0
2018-01-10,28.78,28.78,28.72,28.73,2100,0
2018-01-11,28.95,29.01,28.95,29.00,2700,0
2018-01-12,29.04,29.29,29.04,29.29,1400,0
2018-01-16,29.28,29.28,29.04,29.04,4700,0
2018-01-17,29.29,29.55,29.29,29.47,2000,0
2018-01-18,29.45,29.45,29.40,29.44,5300,0
2018-01-19,29.62,29.76,29.62,29.75,1400,0
2018-01-22,29.70,29.83,29.70,29.81,1700,0
2018-01-23,29.84,29.92,29.80,29.91,2700,0
2018-01-24,30.20,30.34,30.13,30.34,2000,0
2018-01-25,30.44,30.50,30.44,30.50,1100,0
2018-01-26,30.51,30.65,30.51,30.65,5100,0
2018-01-29,30.36,30.36,30.28,30.36,3400,0
2018-01-30,29.96,30.01,29.87,30.01,800,0
2018-01-31,30.31,30.31,30.11,30.16,500,0
2018-02-01,30.09,30.09,30.09,30.09,100,0
2018-02-02,29.72,29.72,29.45,29.45,1500,0
2018-02-05,29.33,29.33,28.50,28.50,1200,0
2018-02-06,28.38,29.30,28.38,29.22,1000,0
2018-02-07,29.22,29.22,29.22,29.22,100,0
2018-02-08,27.73,27.73,27.73,27.73,100,0
2018-02-09,27.70,27.70,27.69,27.69,700,0
2018-02-12,27.69,27.69,27.69,27.69,100,0
2018-02-13,27.98,27.98,27.98,27.98,200,0
2018-02-14,28.29,28.29,28.29,28.29,100,0
2018-02-15,29.00,29.00,29.00,29.00,200,0
2018-02-16,28.92,28.92,28.92,28.92,100,0
2018-02-20,28.68,28.68,28.54,28.54,800,0
2018-02-21,28.54,28.54,28.54,28.54,100,0
2018-02-22,28.80,28.81,28.79,28.79,1500,0
2018-02-23,29.23,29.23,29.23,29.23,100,0
2018-02-26,29.23,29.23,29.23,29.23,-,0
2018-02-27,29.00,29.01,29.00,29.01,500,0
2018-02-28,29.01,29.01,29.01,29.01,-,0
2018-03-01,29.01,29.01,29.01,29.01,100,0
2018-03-02,28.08,28.08,28.07,28.07,1400,0
2018-03-05,28.30,28.43,28.30,28.43,300,0
2018-03-06,28.43,28.43,28.43,28.43,100,0
2018-03-07,28.46,28.46,28.46,28.46,300,0
2018-03-08,28.46,28.46,28.46,28.46,-,0
2018-03-09,28.46,28.46,28.46,28.46,-,0
2018-03-12,29.11,29.11,29.11,29.11,200,0
2018-03-13,29.11,29.11,29.11,29.11,100,0
2018-03-14,29.11,29.11,29.11,29.11,-,0
2018-03-15,28.83,28.83,28.80,28.80,1300,0
2018-03-16,28.78,28.78,28.78,28.78,100,0
2018-03-19,28.78,28.78,28.78,28.78,100,0
2018-03-20,28.60,28.60,28.60,28.60,100,0
2018-03-21,28.60,28.60,28.60,28.60,-,0
2018-03-22,28.28,28.28,28.28,28.28,300,0
2018-03-23,28.28,28.28,28.28,28.28,-,0
2018-03-26,28.34,28.44,28.34,28.44,400,0
2018-03-27,28.28,28.28,28.28,28.28,300,0
2018-03-28,28.28,28.28,28.28,28.28,100,0
2018-03-29,28.19,28.59,28.19,28.59,200,0
2018-04-02,28.00,28.00,28.00,28.00,600,0
2018-04-03,28.00,28.00,28.00,28.00,-,0
2018-04-04,28.00,28.00,28.00,28.00,100,0
2018-04-05,28.00,28.00,28.00,28.00,-,0
2018-04-06,28.00,28.00,28.00,28.00,-,0
