Date,Open,High,Low,Close,Volume,OpenInt
2017-07-17,25.456,25.465,25.456,25.465,2416,0
2017-07-18,25.465,25.465,25.465,25.465,0,0
2017-07-19,25.465,25.465,25.465,25.465,0,0
2017-07-20,25.465,25.465,25.465,25.465,0,0
2017-07-21,25.465,25.465,25.465,25.465,0,0
2017-07-24,25.465,25.465,25.465,25.465,0,0
2017-07-25,25.564,25.565,25.564,25.565,234,0
2017-07-26,25.565,25.565,25.565,25.565,0,0
2017-07-27,25.565,25.565,25.565,25.565,0,0
2017-07-28,25.565,25.565,25.565,25.565,0,0
2017-07-31,25.565,25.565,25.565,25.565,0,0
2017-08-01,25.862,25.902,25.862,25.882,2533,0
2017-08-02,25.902,25.902,25.902,25.902,1396,0
2017-08-03,25.902,25.902,25.902,25.902,0,0
2017-08-04,25.902,25.902,25.902,25.902,0,0
2017-08-07,25.902,25.902,25.902,25.902,0,0
2017-08-08,25.912,25.912,25.912,25.912,117,0
2017-08-09,25.912,25.912,25.912,25.912,0,0
2017-08-10,25.912,25.912,25.912,25.912,0,0
2017-08-11,25.912,25.912,25.912,25.912,0,0
2017-08-14,25.912,25.912,25.912,25.912,0,0
2017-08-15,25.912,25.912,25.912,25.912,0,0
2017-08-16,25.694,25.694,25.694,25.694,631,0
2017-08-17,25.694,25.694,25.694,25.694,0,0
2017-08-18,25.694,25.694,25.694,25.694,0,0
2017-08-21,25.584,25.584,25.584,25.584,423,0
2017-08-22,25.584,25.584,25.584,25.584,0,0
2017-08-23,25.712,25.712,25.712,25.712,166,0
2017-08-24,25.712,25.712,25.712,25.712,2062,0
2017-08-25,25.712,25.712,25.712,25.712,0,0
2017-08-28,25.813,25.813,25.813,25.813,450,0
2017-08-29,25.813,25.813,25.813,25.813,0,0
2017-08-30,25.632,25.632,25.632,25.632,779,0
2017-08-31,25.714,25.714,25.714,25.714,166,0
2017-09-01,25.714,25.714,25.714,25.714,0,0
2017-09-05,25.664,25.664,25.664,25.664,836,0
2017-09-06,25.664,25.664,25.664,25.664,0,0
2017-09-07,26.101,26.101,26.101,26.101,16122,0
2017-09-08,26.101,26.101,26.101,26.101,0,0
2017-09-11,26.101,26.101,26.101,26.101,0,0
2017-09-12,26.299,26.299,26.299,26.299,0,0
2017-09-13,26.299,26.299,26.299,26.299,0,0
2017-09-14,26.27,26.271,26.27,26.271,1590,0
2017-09-15,26.271,26.271,26.271,26.271,0,0
2017-09-18,26.271,26.271,26.271,26.271,0,0
2017-09-19,26.517,26.527,26.517,26.527,3224,0
2017-09-20,26.506,26.537,26.506,26.537,980,0
2017-09-21,26.547,26.567,26.498,26.517,784,0
2017-09-22,26.567,26.577,26.567,26.567,8616,0
2017-09-25,26.567,26.567,26.567,26.567,0,0
2017-09-26,26.379,26.398,26.349,26.398,353,0
2017-09-27,26.398,26.398,26.398,26.398,0,0
2017-09-28,26.398,26.398,26.398,26.398,0,0
