Date,Open,High,Low,Close,Volume,OpenInt
2017-10-02,0.971,1.1,0.85,1,7798,0
2017-10-03,0.911,1,0.911,0.998,15820,0
2017-10-04,0.989,0.99,0.9098,0.9098,14575,0
2017-10-05,0.919,0.92,0.89,0.89,22077,0
2017-10-06,0.89,0.89,0.8501,0.89,30774,0
2017-10-09,0.87,0.8701,0.8319,0.8319,21845,0
2017-10-10,0.8699,0.88,0.85,0.85,13639,0
2017-10-11,0.8,0.88,0.68,0.85,16721,0
2017-10-12,0.88,0.88,0.78,0.8,13313,0
2017-10-13,0.8158,0.869,0.75,0.75,34497,0
2017-10-16,0.7373,0.75,0.7373,0.75,3469,0
2017-10-17,0.7423,0.8,0.74,0.74,4280,0
2017-10-18,0.75,0.7698,0.7,0.71,19764,0
2017-10-19,0.7,0.7,0.5,0.55,99482,0
2017-10-20,0.6,0.65,0.5201,0.569,21385,0
2017-10-23,0.58,0.76,0.4421,0.503,159525,0
2017-10-24,0.53,0.6,0.48,0.58,115883,0
2017-10-25,0.55,0.718,0.55,0.62,85940,0
2017-10-26,0.6,0.62,0.493,0.54,36187,0
2017-10-27,0.55,0.551,0.54,0.55,24196,0
2017-10-30,0.56,0.56,0.46,0.51,11650,0
2017-10-31,0.49,0.52,0.47,0.52,57637,0
2017-11-01,0.5126,0.515,0.48,0.48,19906,0
2017-11-02,0.44,0.75,0.413,0.75,72668,0
2017-11-03,0.59,0.59,0.4,0.43005,86909,0
2017-11-06,0.4515,0.4858,0.4,0.42,251533,0
2017-11-07,0.439,0.439,0.37,0.4,248071,0
2017-11-08,0.4,0.402,0.38,0.3986,114131,0
2017-11-09,0.402,0.4306,0.3829,0.4,202120,0
2017-11-10,0.32,0.35,0.3,0.3104,147248,0
2017-11-13,0.3260,0.3300,0.2850,0.3000,89900,0
2017-11-14,0.3020,0.3020,0.2030,0.2210,95600,0
2017-11-15,0.2400,0.3950,0.2280,0.2500,330300,0
2017-11-16,0.2900,0.2900,0.2310,0.2500,133700,0
2017-11-17,0.2600,0.2600,0.2200,0.2400,98300,0
2017-11-20,0.2490,0.2760,0.2490,0.2680,83500,0
2017-11-21,0.2800,0.2800,0.2600,0.2700,153700,0
2017-11-22,0.2730,0.2800,0.2500,0.2710,45400,0
2017-11-24,0.2800,0.2890,0.2800,0.2850,15300,0
2017-11-27,0.2800,0.2840,0.2500,0.2500,81600,0
2017-11-28,0.2630,0.2680,0.2300,0.2350,56400,0
2017-11-29,0.2300,0.2650,0.2300,0.2500,32000,0
2017-11-30,0.2700,0.2750,0.2500,0.2600,88300,0
2017-12-01,0.2600,0.2630,0.2400,0.2600,96200,0
2017-12-04,0.2400,0.2800,0.2400,0.2730,24200,0
2017-12-05,0.2400,0.2700,0.2400,0.2650,36900,0
2017-12-06,0.2550,0.2600,0.2410,0.2600,35800,0
2017-12-07,0.2560,0.2800,0.2350,0.2350,63400,0
2017-12-08,0.2420,0.2900,0.2350,0.2600,89000,0
2017-12-11,0.2300,0.2500,0.2300,0.2390,66200,0
2017-12-12,0.2350,0.2420,0.2300,0.2300,164900,0
2017-12-13,0.2310,0.2490,0.2030,0.2270,122500,0
2017-12-14,0.2270,0.2350,0.1990,0.2350,118000,0
2017-12-15,0.2150,0.2200,0.1640,0.2020,110500,0
2017-12-18,0.1800,0.2500,0.1700,0.2500,212300,0
2017-12-19,0.2500,0.2500,0.2010,0.2300,35300,0
2017-12-20,0.2400,0.2400,0.1900,0.2100,57700,0
2017-12-21,0.2100,0.2100,0.1990,0.2000,30700,0
2017-12-22,0.2000,0.2180,0.1800,0.2100,336400,0
2017-12-26,0.2100,0.2100,0.1900,0.1900,92900,0
2017-12-27,0.1900,0.2090,0.1630,0.1630,195000,0
2017-12-28,0.1720,0.2040,0.1600,0.1840,273800,0
2017-12-29,0.2000,0.2000,0.1700,0.1700,177600,0
2018-01-02,0.2000,0.2200,0.1790,0.1940,123000,0
2018-01-03,0.2200,0.2800,0.2060,0.2600,294300,0
2018-01-04,0.2730,0.2730,0.2150,0.2300,123800,0
2018-01-05,0.2420,0.2500,0.2050,0.2160,78000,0
2018-01-08,0.2160,0.2160,0.2060,0.2060,61700,0
2018-01-09,0.2160,0.2160,0.2060,0.2060,80500,0
2018-01-10,0.2000,0.2160,0.2000,0.2060,115200,0
2018-01-11,0.2160,0.4300,0.2160,0.4200,2586700,0
2018-01-12,0.4500,0.5000,0.3170,0.3440,1793500,0
2018-01-16,0.4200,0.4200,0.2700,0.3100,433000,0
2018-01-17,0.2980,0.3100,0.2810,0.2850,165600,0
2018-01-18,0.3800,0.3800,0.2750,0.2900,446300,0
2018-01-19,0.2500,0.3300,0.2500,0.2800,220000,0
2018-01-22,0.2610,0.2800,0.2550,0.2610,102700,0
2018-01-23,0.2300,0.2710,0.2260,0.2490,155100,0
2018-01-24,0.2390,0.2580,0.2100,0.2460,81000,0
2018-01-25,0.2360,0.2560,0.2230,0.2340,40000,0
