Date,Open,High,Low,Close,Volume,OpenInt
2017-01-09,3.5,3.5,3.5,3.5,500,0
2017-01-10,3.5,3.5,3.5,3.5,500,0
2017-01-26,3.75,3.75,3.75,3.75,100,0
2017-02-02,4.25,4.25,4.25,4.25,300,0
2017-02-28,4.1,4.1,4.1,4.1,1300,0
2017-03-09,3.9,3.9,3.9,3.9,1500,0
2017-03-10,3.4,3.4,3.4,3.4,2100,0
2017-03-14,4,4,4,4,2000,0
2017-03-15,4,4,4,4,2500,0
2017-03-16,5,5,5,5,250,0
2017-03-21,4.75,4.75,4.75,4.75,600,0
2017-03-30,3.5,3.5,3.5,3.5,1400,0
2017-03-31,3.5,3.5,3.5,3.5,600,0
2017-04-03,3.5,3.5,3.5,3.5,300,0
2017-04-04,3.5,3.5,3.5,3.5,1100,0
2017-04-05,3.5,3.5,3.5,3.5,875,0
2017-04-13,4,4,4,4,100,0
2017-04-18,3.5,3.5,3.5,3.5,2020,0
2017-04-19,3.5,3.5,3.5,3.5,520,0
2017-04-21,3.5,3.5,3.5,3.5,1100,0
2017-04-24,3.4,3.4,3.4,3.4,3100,0
2017-05-03,5,5,5,5,300,0
2017-05-11,5,5,5,5,500,0
2017-05-16,5.75,5.75,5.75,5.75,2000,0
2017-05-23,6.275,6.275,6.275,6.275,100,0
2017-05-30,6.55,6.55,6.55,6.55,100,0
2017-06-01,7,7,7,7,120,0
2017-06-06,7,7,7,7,100,0
2017-06-07,6.5,6.5,6.5,6.5,900,0
2017-06-19,7,7,7,7,685,0
2017-06-26,6.5,6.5,6.5,6.5,1200,0
2017-06-27,6.5,6.5,6.5,6.5,300,0
2017-07-14,6.5,6.5,6.5,6.5,100,0
2017-07-18,7,7,7,7,1000,0
2017-07-28,7,7,7,7,400,0
2017-07-31,7,7,7,7,100,0
2017-08-03,6.9,6.9,6.9,6.9,100,0
2017-08-10,7,7,7,7,800,0
2017-08-24,7.25,7.25,7.25,7.25,275,0
2017-09-12,7.49,7.49,7.49,7.49,100,0
2017-09-13,8,8,8,8,1167,0
2017-09-14,8,8,8,8,350,0
2017-09-15,8.5,8.5,8.5,8.5,650,0
2017-09-18,9,9,9,9,1000,0
2017-09-19,9.1,9.1,9.1,9.1,523,0
2017-09-21,9.5,9.5,9.5,9.5,220,0
2017-09-25,9.5,9.5,9.5,9.5,300,0
2017-09-26,9.49,9.49,9.49,9.49,100,0
2017-09-29,9,9,9,9,900,0
2017-10-02,9.95,9.95,9.95,9.95,700,0
2017-10-05,9.3,9.3,9.3,9.3,300,0
2017-10-09,9.3,9.3,9.3,9.3,430,0
2017-10-12,9.3,9.3,9.3,9.3,100,0
2017-10-13,9.5,9.5,9.5,9.5,470,0
2017-10-16,9.2999,9.2999,9.2999,9.2999,2434,0
2017-10-17,9,9,9,9,1530,0
2017-10-18,9.3,9.3,9.3,9.3,885,0
2017-10-19,5.5,5.5,4.8,5.09,632890,0
2017-10-20,5.04,5.15,4.99,5.15,143001,0
2017-10-23,5.14,5.14,4.57,4.61,184210,0
2017-10-24,4.99,4.99,4.5,4.5,58501,0
2017-10-25,4.75,4.9,4.5,4.72,79312,0
2017-10-26,4.78,4.78,4.05,4.51,73740,0
2017-10-27,4.55,4.5753,4.35,4.52,87441,0
2017-10-30,4.5,4.5329,4.25,4.42,52945,0
2017-10-31,4.5,4.735,4.4299,4.56,35736,0
2017-11-01,4.6908,4.89,4.657,4.89,39898,0
2017-11-02,4.8,4.99,4.8,4.905,33946,0
2017-11-03,4.9,4.95,4.76,4.92,22939,0
2017-11-06,4.71,5.32,4.71,5.13,42680,0
2017-11-07,4.93,5.5,4.93,5.28,69806,0
2017-11-08,5.1,5.35,5.1,5.3,63741,0
2017-11-09,5.07,5.2,5,5.18,113456,0
2017-11-10,5.1,5.18,5.05,5.05,24560,0
2017-11-13,5.06,5.11,5.00,5.04,69400,0
2017-11-14,5.01,5.10,4.47,5.05,32800,0
2017-11-15,4.88,5.45,4.88,5.08,37200,0
2017-11-16,5.02,5.20,5.02,5.07,10900,0
2017-11-17,5.20,5.40,5.06,5.40,14100,0
2017-11-20,5.19,5.57,5.10,5.40,34900,0
2017-11-21,5.25,5.48,5.25,5.48,6400,0
2017-11-22,5.34,5.55,5.33,5.42,16900,0
2017-11-24,5.38,5.50,5.38,5.41,21600,0
2017-11-27,5.40,5.70,5.40,5.50,42500,0
2017-11-28,5.50,5.50,5.40,5.42,24000,0
2017-11-29,5.43,5.50,5.36,5.44,21900,0
2017-11-30,5.28,5.50,5.20,5.50,29700,0
2017-12-01,5.50,5.55,5.30,5.50,35600,0
2017-12-04,5.50,5.53,4.83,5.44,46700,0
2017-12-05,5.50,5.54,5.25,5.40,41500,0
2017-12-06,5.35,5.40,5.25,5.36,23000,0
2017-12-07,5.40,5.49,5.40,5.48,12500,0
2017-12-08,5.47,5.48,5.20,5.45,13000,0
2017-12-11,5.48,5.48,5.31,5.35,18800,0
2017-12-12,5.33,5.40,5.21,5.38,11300,0
2017-12-13,5.48,5.48,5.11,5.36,10800,0
2017-12-14,5.36,5.40,5.22,5.30,37400,0
2017-12-15,5.60,5.60,5.11,5.15,70600,0
2017-12-18,5.13,5.36,5.13,5.31,16400,0
2017-12-19,5.23,5.25,5.05,5.05,11500,0
2017-12-20,4.85,5.25,4.82,5.24,18700,0
2017-12-21,5.29,5.29,4.87,5.15,17000,0
2017-12-22,4.90,5.57,4.85,5.30,24500,0
2017-12-26,5.44,5.44,4.76,5.19,30100,0
2017-12-27,5.19,5.21,5.02,5.02,9600,0
2017-12-28,5.36,5.40,5.12,5.29,11000,0
2017-12-29,5.25,5.30,5.15,5.20,19500,0
2018-01-02,5.15,5.29,5.15,5.24,7200,0
2018-01-03,5.26,5.26,5.25,5.25,24200,0
2018-01-04,5.37,5.37,5.26,5.37,2200,0
2018-01-05,5.35,5.35,5.35,5.35,100,0
2018-01-08,5.35,5.35,5.16,5.30,7900,0
2018-01-09,5.29,5.33,5.15,5.15,7700,0
2018-01-10,5.27,5.35,5.00,5.00,21600,0
2018-01-11,5.11,5.11,5.03,5.03,35300,0
2018-01-12,5.18,5.19,5.18,5.18,10300,0
2018-01-16,5.01,5.15,5.01,5.09,3600,0
2018-01-17,5.11,5.20,5.11,5.20,5700,0
2018-01-18,5.13,5.24,5.03,5.03,9000,0
2018-01-19,5.10,5.11,5.02,5.08,5700,0
2018-01-22,5.16,5.16,5.03,5.13,2600,0
2018-01-23,5.20,5.20,5.08,5.08,2800,0
2018-01-24,5.03,5.03,4.90,4.90,13900,0
2018-01-25,5.26,5.26,4.81,5.05,6700,0
2018-01-26,4.82,5.03,4.80,5.03,2300,0
2018-01-29,5.05,5.05,4.94,4.95,12100,0
2018-01-30,4.81,4.81,4.79,4.79,24600,0
2018-01-31,5.23,5.23,4.57,4.60,43900,0
2018-02-01,4.75,4.90,4.75,4.80,4300,0
2018-02-02,4.85,4.85,4.59,4.75,9700,0
2018-02-05,4.82,4.85,4.60,4.61,7100,0
2018-02-06,4.53,4.88,4.53,4.84,5100,0
2018-02-07,4.72,4.78,4.65,4.65,32200,0
2018-02-08,4.65,4.74,4.21,4.21,44900,0
2018-02-09,4.32,4.39,4.00,4.01,31800,0
2018-02-12,4.10,4.24,3.95,3.95,28400,0
2018-02-13,3.96,4.10,3.82,3.82,4200,0
2018-02-14,3.82,3.86,3.65,3.74,55000,0
2018-02-15,3.71,4.02,3.53,3.99,59200,0
2018-02-16,4.13,4.13,3.75,3.75,20400,0
2018-02-20,3.75,3.97,3.75,3.97,900,0
2018-02-21,4.03,4.30,4.03,4.25,28800,0
2018-02-22,4.28,4.28,4.10,4.10,1000,0
2018-02-23,4.22,4.51,4.18,4.22,20200,0
2018-02-26,4.35,4.52,3.94,4.03,350500,0
2018-02-27,4.51,4.67,3.92,3.93,138700,0
2018-02-28,4.50,4.97,4.01,4.24,17300,0
2018-03-01,4.22,4.96,4.15,4.26,67000,0
2018-03-02,4.26,4.47,4.20,4.35,29800,0
2018-03-05,4.34,4.48,4.15,4.30,60000,0
2018-03-06,4.35,4.53,4.00,4.05,59900,0
2018-03-07,4.07,4.36,4.00,4.25,51400,0
2018-03-08,4.25,4.40,4.00,4.38,74600,0
2018-03-09,4.40,4.40,4.20,4.32,10500,0
2018-03-12,4.31,4.46,4.30,4.43,46400,0
2018-03-13,4.51,4.74,4.20,4.62,81500,0
2018-03-14,4.33,4.59,4.31,4.46,20000,0
2018-03-15,4.50,4.51,4.04,4.38,142700,0
2018-03-16,4.37,4.85,4.35,4.85,12200,0
2018-03-19,4.74,4.75,4.52,4.70,13800,0
2018-03-20,4.74,4.74,4.11,4.47,91600,0
2018-03-21,4.61,4.61,4.11,4.14,41900,0
2018-03-22,4.19,4.41,4.17,4.27,22200,0
2018-03-23,4.69,4.69,4.19,4.27,20400,0
2018-03-26,4.28,4.35,4.14,4.20,13400,0
2018-03-27,4.26,4.47,4.25,4.40,33200,0
2018-03-28,4.53,4.53,4.00,4.00,53000,0
2018-03-29,4.12,4.19,4.10,4.14,4600,0
2018-04-02,4.14,4.14,3.60,4.00,38400,0
2018-04-03,3.87,4.14,3.76,4.11,22200,0
2018-04-04,4.11,4.60,3.86,4.60,28000,0
2018-04-05,4.56,4.58,4.27,4.37,13900,0
2018-04-06,4.39,4.71,4.39,4.46,24000,0
2018-04-09,4.26,4.50,4.12,4.13,22891,0
