Date,Open,High,Low,Close,Volume,OpenInt
2017-06-22,19.885,19.885,19.885,19.885,124,0
2017-06-23,19.924,19.924,19.915,19.915,876,0
2017-06-26,19.984,19.984,19.984,19.984,100,0
2017-06-27,19.984,19.984,19.984,19.984,1405,0
2017-06-30,19.825,19.825,19.825,19.825,739,0
2017-07-05,19.825,19.825,19.825,19.825,100,0
2017-07-06,19.616,19.616,19.616,19.616,151,0
2017-07-10,19.586,19.586,19.586,19.586,100,0
2017-07-11,19.536,19.536,19.536,19.536,100,0
2017-07-13,19.725,19.725,19.725,19.725,151,0
2017-07-21,19.925,19.925,19.925,19.925,1405,0
2017-07-28,19.765,19.765,19.765,19.765,6701,0
2017-07-31,19.825,19.845,19.795,19.845,6701,0
2017-08-01,19.78,19.78,19.78,19.78,3814,0
2017-08-04,19.789,19.805,19.789,19.805,903,0
2017-08-07,19.785,19.792,19.785,19.792,1022,0
2017-08-10,19.476,19.476,19.464,19.464,652,0
2017-08-11,19.421,19.421,19.421,19.421,270,0
2017-08-16,19.608,19.608,19.596,19.596,703,0
2017-08-18,19.227,19.227,19.227,19.227,119,0
2017-08-23,19.339,19.407,19.339,19.397,12028,0
2017-08-24,19.372,19.446,19.372,19.443,25718,0
2017-08-25,19.486,19.486,19.436,19.456,2120,0
2017-08-29,19.426,19.436,19.426,19.436,858,0
2017-08-30,19.387,19.516,19.387,19.513,15632,0
2017-08-31,19.616,19.636,19.59,19.613,6873,0
2017-09-01,19.734,19.745,19.72,19.745,1992,0
2017-09-05,19.566,19.626,19.561,19.626,5646,0
2017-09-06,19.795,19.795,19.792,19.792,4429,0
2017-09-07,19.795,19.845,19.785,19.845,1006,0
2017-09-08,19.885,19.885,19.805,19.805,6966,0
2017-09-11,19.954,20.004,19.92,19.982,14963,0
2017-09-12,20.094,20.104,20.086,20.104,2640,0
2017-09-13,20.144,20.151,20.113,20.143,2283,0
2017-09-14,20.164,20.213,20.164,20.213,3055,0
2017-09-15,20.228,20.228,20.225,20.225,3967,0
2017-09-18,20.323,20.323,20.227,20.237,17415,0
2017-09-19,20.243,20.243,20.194,20.213,32551,0
2017-09-20,20.233,20.233,20.154,20.233,5438,0
2017-09-21,20.2,20.2,20.184,20.184,609,0
2017-09-22,20.1865,20.1865,20.1865,20.1865,595,0
2017-09-25,20.295,20.3399,20.295,20.3399,9794,0
2017-09-26,20.42,20.42,20.335,20.37,26922,0
2017-09-27,20.2999,20.3099,20.2952,20.305,6356,0
2017-09-28,20.32,20.36,20.32,20.36,1877,0
2017-09-29,20.33,20.38,20.33,20.38,17161,0
2017-10-02,20.39,20.46,20.39,20.46,1371,0
2017-10-03,20.62,20.62,20.47,20.51,3722,0
2017-10-04,20.53,20.56,20.53,20.56,12157,0
2017-10-05,20.62,20.62,20.62,20.62,759,0
2017-10-09,20.53,20.5372,20.515,20.5204,1284,0
2017-10-10,20.61,20.61,20.593,20.593,489,0
2017-10-11,20.5999,20.6,20.5999,20.6,909,0
2017-10-13,20.72,20.729,20.68,20.68,16002,0
2017-10-16,20.68,20.68,20.62,20.62,444,0
2017-10-17,20.61,20.63,20.6,20.63,664,0
2017-10-18,20.692,20.7236,20.683,20.7164,886,0
2017-10-19,20.7,20.7158,20.684,20.7158,11148,0
2017-10-20,20.83,20.8331,20.815,20.815,822,0
2017-10-23,20.97,20.995,20.935,20.9473,10492,0
2017-10-24,20.91,20.91,20.85,20.85,5972,0
2017-10-25,20.63,20.6904,20.62,20.6904,2445,0
2017-10-26,20.71,20.71,20.694,20.694,660,0
2017-10-27,20.58,20.595,20.57,20.57,2569,0
2017-10-30,20.4028,20.44,20.395,20.4375,5194,0
2017-10-31,20.44,20.44,20.4264,20.4264,8079,0
2017-11-01,20.64,20.64,20.505,20.509,5110,0
2017-11-02,20.565,20.565,20.55,20.55,2813,0
2017-11-03,20.54,20.63,20.54,20.63,1882,0
2017-11-06,20.67,20.6999,20.6664,20.6999,3631,0
2017-11-07,20.68,20.68,20.675,20.675,3812,0
2017-11-09,20.79,20.8,20.7383,20.7383,20247,0
2017-11-10,20.74,20.79,20.74,20.79,5135,0
2017-11-15,20.6400,20.6600,20.6240,20.6400,9200,0
2017-11-16,20.8100,20.8500,20.6800,20.8300,10500,0
2017-11-17,20.8370,20.8700,20.8370,20.8600,9200,0
2017-11-20,20.8500,20.8700,20.8500,20.8550,9800,0
2017-11-21,20.9300,20.9360,20.9300,20.9360,200,0
2017-11-22,20.8740,20.9020,20.8740,20.9020,900,0
2017-11-24,20.9400,20.9500,20.9400,20.9400,1200,0
2017-11-27,20.9050,20.9100,20.8900,20.8910,1300,0
2017-11-28,20.9900,21.0900,20.9630,21.0740,5000,0
2017-11-29,21.2900,21.2900,21.2250,21.2250,13500,0
2017-11-30,21.4150,21.4400,21.3600,21.3600,26100,0
2017-12-01,21.3150,21.3700,21.1900,21.3700,17300,0
2017-12-04,21.6000,21.6000,21.4800,21.4900,12900,0
2017-12-05,21.4400,21.4600,21.3550,21.3550,4900,0
2017-12-06,21.2900,21.2950,21.2900,21.2900,8400,0
2017-12-07,21.3200,21.3700,21.3200,21.3600,15500,0
2017-12-08,21.3900,21.4900,21.3900,21.4880,7800,0
2017-12-11,21.4880,21.4880,21.4880,21.4880,-,0
2017-12-12,21.6700,21.6810,21.6670,21.6670,2300,0
2017-12-13,21.6840,21.6840,21.6840,21.6840,200,0
2017-12-14,21.6900,21.7000,21.5800,21.5900,16600,0
2017-12-15,21.7300,21.7500,21.7300,21.7500,2000,0
2017-12-18,21.9300,21.9340,21.9150,21.9200,13100,0
2017-12-19,21.8900,21.8900,21.8200,21.8220,5900,0
2017-12-20,21.9400,21.9400,21.7900,21.7900,16500,0
2017-12-21,21.6930,21.6930,21.6700,21.6700,2800,0
2017-12-22,21.6800,21.6800,21.6550,21.6600,3500,0
2017-12-26,21.7300,21.7700,21.7200,21.7300,11100,0
2017-12-27,21.8300,21.8300,21.8300,21.8300,3100,0
2017-12-28,21.7100,21.7250,21.6900,21.7250,3600,0
2017-12-29,21.7500,21.7750,21.6900,21.6900,5200,0
2018-01-02,21.7800,21.7800,21.7800,21.7800,300,0
2018-01-03,21.8050,21.8050,21.8050,21.8050,700,0
2018-01-04,21.7310,21.8100,21.6900,21.8100,124900,0
2018-01-05,21.7700,21.7800,21.7700,21.7800,38900,0
2018-01-08,21.8500,21.8930,21.8500,21.8930,700,0
2018-01-09,21.9900,21.9900,21.9580,21.9580,7700,0
2018-01-10,21.8500,21.9600,21.8500,21.9200,18900,0
2018-01-11,21.9500,22.1700,21.9500,22.1700,46200,0
2018-01-12,22.2400,22.3100,22.2400,22.2900,14900,0
2018-01-16,22.5230,22.5230,22.4200,22.4200,1600,0
2018-01-17,22.4400,22.4820,22.4400,22.4800,1700,0
2018-01-18,22.4700,22.4700,22.3800,22.4300,7700,0
