Date,Open,High,Low,Close,Volume,OpenInt
2017-09-27,25.9,27.14,25.9,25.9,7578801,0
2017-09-28,26.27,27.44,24.27,24.95,1952101,0
2017-09-29,24.75,28.5,24.41,28.5,903985,0
2017-10-02,28.05,31.22,27.4,31.14,1286763,0
2017-10-03,31.28,31.8,28.6,29.44,1175084,0
2017-10-04,29.41,30.48,29.01,29.2,400976,0
2017-10-05,29.16,29.74,26.88,26.96,613393,0
2017-10-06,27.7,29.49,27.26,27.94,661582,0
2017-10-09,26.9495,27.1,26.61,26.89,323328,0
2017-10-10,27.18,29.3,26.98,28.68,604812,0
2017-10-11,28.73,28.73,27.68,28.4,268472,0
2017-10-12,28.37,29.99,27.68,29.86,428742,0
2017-10-13,30.1,30.5,29.15,29.9,313128,0
2017-10-16,30,31.12,29.12,30.92,390530,0
2017-10-17,30.7,30.7,28.56,28.65,442614,0
2017-10-18,28.79,28.95,27.16,27.3,915068,0
2017-10-19,27.01,27.5,25.8,27.37,1177318,0
2017-10-20,27.5,27.674,26.5,27.37,374386,0
2017-10-23,27.49,27.49,25.96,26.01,657476,0
2017-10-24,26.1,27.13,25,26,703944,0
2017-10-25,26.09,26.75,23.23,23.97,1209007,0
2017-10-26,23.56,25.52,23.33,25,875401,0
2017-10-27,25.13,25.49,23.77,24.02,551273,0
2017-10-30,24,25,24,24.75,99591,0
2017-10-31,24.78,25.48,24.41,25.46,239912,0
2017-11-01,25.73,26.3999,25.21,25.75,192648,0
2017-11-02,25.61,26.1,25.43,25.59,65328,0
2017-11-03,25.74,25.97,25.42,25.68,114753,0
2017-11-06,25.81,26.46,25.69,26.4,186217,0
2017-11-07,26.31,26.61,25.94,26.46,214975,0
2017-11-08,26.34,26.6,26.02,26.52,91796,0
2017-11-09,26.4,29.8,26.23,29.34,708525,0
2017-11-10,29.34,30.47,28.5,28.57,410929,0
2017-11-13,28.59,29.89,28.59,29.46,166000,0
2017-11-14,29.30,30.50,29.18,30.01,222200,0
2017-11-15,29.81,29.81,28.08,28.13,183700,0
2017-11-16,28.18,28.94,26.93,26.99,148000,0
2017-11-17,27.56,27.56,26.08,26.16,228000,0
2017-11-20,26.59,27.65,26.50,27.19,267800,0
2017-11-21,27.64,28.50,27.50,27.81,152800,0
2017-11-22,27.69,28.08,26.42,26.71,76500,0
2017-11-24,15.62,17.70,15.56,16.45,11438100,0
2017-11-27,17.82,18.70,17.61,18.00,6402000,0
2017-11-28,20.56,22.56,19.06,22.20,11141000,0
2017-11-29,20.20,21.70,19.60,20.33,4483900,0
2017-11-30,20.50,20.73,16.34,17.70,6981600,0
2017-12-01,17.25,19.20,17.00,18.30,2780900,0
2017-12-04,18.57,18.75,17.03,17.77,1240100,0
2017-12-05,17.64,18.32,17.41,17.91,629400,0
2017-12-06,17.71,18.10,17.24,17.24,531700,0
2017-12-07,17.22,17.43,17.00,17.15,550200,0
2017-12-08,17.27,17.89,16.98,17.84,720500,0
2017-12-11,17.72,18.85,17.72,18.48,935300,0
2017-12-12,18.30,18.58,17.08,17.18,1008700,0
2017-12-13,17.44,17.68,17.09,17.11,616500,0
2017-12-14,17.14,17.26,16.77,16.93,731500,0
2017-12-15,16.96,17.07,16.62,16.78,627400,0
2017-12-18,16.95,16.99,16.20,16.36,813900,0
2017-12-19,16.36,16.47,15.90,16.13,677200,0
2017-12-20,16.03,16.28,15.60,15.95,598000,0
2017-12-21,15.89,15.98,15.50,15.69,502300,0
2017-12-22,15.68,16.36,15.58,16.25,509700,0
2017-12-26,16.50,16.87,16.27,16.78,326500,0
2017-12-27,16.59,17.28,16.50,17.19,494600,0
2017-12-28,17.10,17.44,16.60,16.83,404100,0
2017-12-29,16.99,17.09,16.72,16.88,316800,0
2018-01-02,17.09,17.38,16.88,17.00,500400,0
2018-01-03,17.15,17.20,16.77,16.80,312500,0
2018-01-04,16.80,17.16,16.51,16.96,616500,0
2018-01-05,16.90,17.06,16.80,16.94,352200,0
2018-01-08,16.79,17.00,16.60,16.77,381300,0
2018-01-09,16.61,16.77,16.43,16.59,294100,0
2018-01-10,16.60,16.85,16.46,16.70,201500,0
2018-01-11,16.70,16.81,16.60,16.80,119900,0
2018-01-12,16.82,17.34,16.79,16.85,511300,0
2018-01-16,17.21,17.99,16.98,17.75,715000,0
2018-01-17,17.84,19.50,17.84,19.30,1576300,0
2018-01-18,19.58,19.58,18.70,19.36,430500,0
2018-01-19,19.28,19.40,18.50,18.50,585100,0
2018-01-22,18.62,18.92,18.25,18.25,475200,0
2018-01-23,18.15,18.96,18.11,18.81,398500,0
2018-01-24,18.77,19.20,18.56,18.97,354200,0
2018-01-25,18.98,19.79,18.98,19.49,542800,0
2018-01-26,19.75,20.33,19.69,19.99,470900,0
2018-01-29,19.95,20.05,19.24,19.92,349700,0
2018-01-30,19.50,19.65,18.80,19.27,459600,0
2018-01-31,19.27,19.48,19.05,19.09,172600,0
2018-02-01,18.85,19.42,18.80,19.00,209700,0
2018-02-02,18.68,18.83,18.10,18.27,382800,0
2018-02-05,18.11,19.55,17.70,17.75,524900,0
2018-02-06,17.01,17.72,16.99,17.66,403400,0
2018-02-07,17.66,17.87,17.25,17.29,408600,0
2018-02-08,17.27,17.56,16.50,16.60,1109600,0
2018-02-09,16.65,17.34,16.61,17.23,495800,0
2018-02-12,17.43,18.10,17.43,17.81,344300,0
2018-02-13,17.73,18.68,17.71,18.57,385700,0
2018-02-14,18.49,19.49,18.26,19.40,492400,0
2018-02-15,19.50,19.90,19.29,19.47,266500,0
2018-02-16,19.45,19.45,19.03,19.18,163900,0
2018-02-20,18.98,19.64,18.98,19.30,312500,0
2018-02-21,19.41,19.52,19.04,19.45,248700,0
2018-02-22,19.40,19.41,18.85,19.13,218800,0
2018-02-23,19.22,19.48,19.15,19.25,197900,0
2018-02-26,19.15,19.43,19.06,19.11,221000,0
2018-02-27,19.40,19.45,19.00,19.20,220400,0
2018-02-28,19.01,19.13,18.13,18.13,486300,0
2018-03-01,18.02,18.29,17.76,17.95,361300,0
2018-03-02,17.82,18.70,17.80,18.70,196400,0
2018-03-05,18.35,19.56,18.06,19.44,320400,0
2018-03-06,19.56,19.70,19.12,19.49,347400,0
2018-03-07,19.22,19.50,19.19,19.31,180600,0
2018-03-08,19.20,19.41,19.01,19.08,195200,0
2018-03-09,19.17,19.51,19.14,19.25,184300,0
2018-03-12,19.23,19.48,19.23,19.34,143400,0
2018-03-13,19.52,20.55,19.38,19.94,757100,0
2018-03-14,20.20,20.89,20.03,20.43,359600,0
2018-03-15,20.50,20.50,17.50,17.50,822200,0
2018-03-16,18.01,18.52,17.66,17.78,563700,0
2018-03-19,17.75,17.80,17.17,17.21,393300,0
2018-03-20,17.29,17.65,16.81,17.50,302700,0
2018-03-21,17.50,18.05,17.50,17.51,215300,0
2018-03-22,17.30,17.44,16.71,16.86,485300,0
2018-03-23,16.70,17.33,16.70,17.05,204000,0
2018-03-26,17.35,17.73,16.80,17.10,305000,0
2018-03-27,17.00,17.53,17.00,17.30,179100,0
2018-03-28,17.23,17.46,16.16,16.36,377800,0
2018-03-29,16.40,16.98,16.13,16.66,130900,0
2018-04-02,16.51,17.43,16.31,17.40,230100,0
2018-04-03,17.40,17.45,17.05,17.39,97400,0
2018-04-04,16.95,17.62,16.88,17.55,119300,0
2018-04-05,17.70,17.86,17.41,17.55,111200,0
2018-04-06,17.38,17.72,17.33,17.58,121300,0
2018-04-09,17.63,17.69,17.31,17.31,75811,0
