Date,Open,High,Low,Close,Volume,OpenInt
2017-10-05,23.21,33.81,23.21,30.24,6972188,0
2017-10-06,30.2,30.55,23.82,25.25,2164740,0
2017-10-09,25.45,25.45,23.985,24.57,350978,0
2017-10-10,24.62,26.5,24.505,26.01,695874,0
2017-10-11,26.3,26.69,25.05,25.72,387889,0
2017-10-12,25.7,26.04,24.1607,25.07,387541,0
2017-10-13,24.5701,25.19,24.28,24.42,138758,0
2017-10-16,24.36,26.99,24.155,26.26,331644,0
2017-10-17,26.37,26.95,23.48,24.26,237862,0
2017-10-18,24.371,24.66,23.7,23.865,87780,0
2017-10-19,23.68,23.79,22.6,23.25,120107,0
2017-10-20,23.29,23.94,22.61,23.08,178501,0
2017-10-23,23.24,24.0999,22.74,23.94,106545,0
2017-10-24,23.7,24.5262,22.91,24.25,59362,0
2017-10-25,24.24,24.5,22.11,22.53,147263,0
2017-10-26,22.59,23.1083,21.375,22.96,90030,0
2017-10-27,23.01,23.85,22.1311,23.72,137971,0
2017-10-30,23.88,24.45,22.5,24.42,149310,0
2017-10-31,25.1,25.999,24.31,25.58,248884,0
2017-11-01,25.55,26.73,25.2,26.1,243215,0
2017-11-02,26.02,26.41,23.255,24.09,255706,0
2017-11-03,23.73,26,22.8801,25.89,118592,0
2017-11-06,25.22,25.6066,23.77,24.2,133787,0
2017-11-07,24.07,24.87,22.161,22.41,206217,0
2017-11-08,22.41,23.41,21.911,23.22,350696,0
2017-11-09,22.98,22.98,21.75,22,159314,0
2017-11-10,21.82,24.33,21.82,24.21,83404,0
2017-11-13,24.05,25.65,24.05,25.46,100300,0
2017-11-14,24.68,25.30,23.03,24.02,87200,0
2017-11-15,24.23,24.55,22.96,24.00,96400,0
2017-11-16,24.00,24.47,23.41,24.13,143400,0
2017-11-17,23.99,25.80,23.50,25.80,142100,0
2017-11-20,25.80,27.62,25.52,27.00,131600,0
2017-11-21,27.10,28.98,26.70,27.90,105100,0
2017-11-22,27.90,29.11,27.69,29.01,94700,0
2017-11-24,29.25,29.54,28.01,28.87,28800,0
2017-11-27,28.68,29.50,27.94,28.91,130100,0
2017-11-28,28.75,29.00,28.42,28.81,97300,0
2017-11-29,28.68,30.37,27.29,27.81,134800,0
2017-11-30,27.79,29.48,27.79,28.58,135300,0
2017-12-01,28.81,30.96,28.66,30.24,118900,0
2017-12-04,30.70,30.99,28.81,29.99,240400,0
2017-12-05,29.86,30.25,28.25,28.68,234300,0
2017-12-06,28.44,28.65,26.86,27.36,154900,0
2017-12-07,27.23,28.42,27.23,28.25,85000,0
2017-12-08,28.66,29.48,28.57,29.09,56100,0
2017-12-11,28.91,29.15,27.62,27.67,62800,0
2017-12-12,27.97,28.42,26.32,27.01,163800,0
2017-12-13,26.77,27.62,26.65,27.13,181200,0
2017-12-14,28.15,28.17,27.40,28.04,140400,0
2017-12-15,27.80,29.49,26.73,28.29,1356900,0
2017-12-18,28.24,30.71,27.69,30.51,237100,0
2017-12-19,30.31,31.63,27.96,29.90,198200,0
2017-12-20,29.77,31.28,28.52,29.86,143800,0
2017-12-21,29.67,30.84,28.37,28.95,91400,0
2017-12-22,28.99,29.21,26.94,27.87,138100,0
2017-12-26,27.59,29.52,27.58,29.27,132700,0
2017-12-27,29.47,29.64,28.20,29.04,73300,0
2017-12-28,28.90,29.29,27.38,29.23,127700,0
2017-12-29,29.30,29.37,28.71,29.06,78400,0
2018-01-02,28.94,28.94,27.64,28.00,164400,0
2018-01-03,28.09,29.50,28.01,29.34,71300,0
2018-01-04,29.31,29.31,28.00,28.13,52100,0
2018-01-05,28.07,28.94,27.75,27.94,93400,0
2018-01-08,27.82,28.00,27.51,27.83,41400,0
2018-01-09,27.72,27.99,25.90,26.29,101300,0
2018-01-10,26.28,26.80,25.17,26.69,85500,0
2018-01-11,26.75,27.75,26.34,26.95,41800,0
2018-01-12,26.95,27.71,26.53,27.40,31900,0
2018-01-16,27.72,27.75,26.37,26.91,80300,0
2018-01-17,26.92,28.19,26.57,27.33,122100,0
2018-01-18,27.50,27.60,26.74,27.30,71300,0
2018-01-19,27.21,27.90,26.91,27.89,115200,0
2018-01-22,28.00,29.21,28.00,29.04,73100,0
2018-01-23,28.91,29.36,28.08,29.14,24700,0
2018-01-24,29.03,30.62,28.75,30.03,106200,0
2018-01-25,30.20,31.50,29.92,30.66,54200,0
2018-01-26,31.36,32.00,30.81,31.87,45400,0
2018-01-29,31.68,32.26,30.34,32.25,104000,0
2018-01-30,32.32,32.35,31.30,31.99,119800,0
2018-01-31,31.99,31.99,31.25,31.57,105200,0
2018-02-01,30.13,31.34,30.12,31.05,76100,0
2018-02-02,30.32,30.92,29.50,29.54,63300,0
2018-02-05,29.19,29.24,28.10,28.24,80600,0
2018-02-06,27.75,29.84,27.75,29.11,71300,0
2018-02-07,29.16,29.68,28.11,28.42,33300,0
2018-02-08,29.04,29.04,25.50,25.71,101400,0
2018-02-09,26.06,26.13,24.06,25.76,82000,0
2018-02-12,25.87,26.07,24.66,25.57,50500,0
2018-02-13,25.45,25.95,25.02,25.14,42900,0
2018-02-14,25.04,25.93,24.26,25.79,95100,0
2018-02-15,25.93,26.77,25.10,26.35,104800,0
2018-02-16,26.38,26.91,25.81,26.26,68700,0
2018-02-20,26.15,26.58,25.66,25.92,25400,0
2018-02-21,26.04,27.00,25.61,26.05,52300,0
2018-02-22,26.22,26.86,25.69,26.06,27500,0
2018-02-23,26.18,27.61,26.07,27.61,41500,0
2018-02-26,27.91,28.00,27.50,27.74,14200,0
2018-02-27,27.81,28.38,26.41,26.55,29300,0
2018-02-28,26.75,26.75,25.22,25.85,78600,0
2018-03-01,24.51,26.45,24.08,25.37,26600,0
2018-03-02,25.13,26.99,25.13,26.46,28000,0
2018-03-05,25.96,26.96,25.58,25.99,95400,0
2018-03-06,25.95,26.22,24.25,24.52,187500,0
2018-03-07,24.84,26.42,24.77,25.68,28200,0
2018-03-08,25.90,27.19,25.90,26.75,44900,0
2018-03-09,27.62,27.72,26.51,27.28,16700,0
2018-03-12,26.42,27.49,26.42,27.34,23000,0
2018-03-13,27.88,29.60,27.08,29.15,64500,0
2018-03-14,29.34,29.45,26.08,26.44,281400,0
2018-03-15,27.30,27.49,23.04,23.56,284400,0
2018-03-16,23.54,23.93,22.70,22.82,214200,0
2018-03-19,22.65,22.65,21.12,21.88,111500,0
2018-03-20,22.00,22.77,22.00,22.35,184800,0
2018-03-21,22.35,23.11,22.20,22.95,88600,0
2018-03-22,22.61,23.00,21.16,21.60,77200,0
2018-03-23,21.79,21.79,20.82,20.90,62500,0
2018-03-26,21.29,21.29,19.25,21.09,105000,0
2018-03-27,21.10,21.69,19.72,20.08,64500,0
2018-03-28,20.09,20.98,19.96,20.23,52000,0
2018-03-29,20.40,20.53,19.75,19.90,49200,0
2018-04-02,19.91,20.03,16.80,17.02,202600,0
2018-04-03,17.11,18.17,17.09,17.96,151400,0
2018-04-04,17.70,20.20,17.70,19.80,123100,0
2018-04-05,20.00,20.52,19.51,20.19,59800,0
2018-04-06,19.94,20.51,18.97,19.46,87400,0
2018-04-09,19.75,21.48,19.33,20.39,88467,0
