Date,Open,High,Low,Close,Volume,OpenInt
2017-10-12,25.08,25.08,25.01,25.0299,1040620,0
2017-10-13,25.11,25.13,25.04,25.05,958044,0
2017-10-16,25.16,25.16,25.044,25.0899,699835,0
2017-10-17,25.1,25.11,25.06,25.1013,322243,0
2017-10-18,25.17,25.17,25.1,25.11,412127,0
2017-10-19,25.06,25.1218,24.9857,25.12,374479,0
2017-10-20,25.23,25.25,25.1856,25.25,257398,0
2017-10-23,25.39,25.39,25.15,25.16,322674,0
2017-10-24,25.23,25.23,25.15,25.2,177649,0
2017-10-25,25.17,25.18,24.949,25.079,236377,0
2017-10-26,25.2,25.2,25.105,25.12,160853,0
2017-10-27,25.29,25.32,25.1612,25.3,175496,0
2017-10-30,25.31,25.31,25.2,25.24,117607,0
2017-10-31,25.29,25.3,25.22,25.27,121903,0
2017-11-01,25.37,25.39,25.26,25.3,127525,0
2017-11-02,25.34,25.34,25.191,25.31,149617,0
2017-11-03,25.36,25.38,25.2724,25.38,146730,0
2017-11-06,25.4,25.45,25.38,25.43,206281,0
2017-11-07,25.46,25.4712,25.354,25.4,204539,0
2017-11-08,25.41,25.4512,25.351,25.43,92137,0
2017-11-09,25.34,25.3714,25.1748,25.33,193088,0
2017-11-10,25.33,25.36,25.2795,25.33,145984,0
2017-11-15,25.25,25.26,25.11,25.20,137900,0
2017-11-16,25.29,25.44,25.29,25.40,104300,0
2017-11-17,25.38,25.38,25.34,25.35,125000,0
2017-11-20,25.39,25.41,25.35,25.40,249600,0
2017-11-21,25.49,25.56,25.49,25.56,174600,0
2017-11-22,25.58,25.58,25.52,25.54,129600,0
2017-11-24,25.59,25.61,25.57,25.60,72900,0
2017-11-27,25.62,25.63,25.55,25.58,196100,0
2017-11-28,25.63,25.84,25.62,25.83,127100,0
2017-11-29,25.87,25.92,25.75,25.83,149100,0
2017-11-30,25.94,26.13,25.86,26.05,164400,0
2017-12-01,26.04,26.06,25.60,25.99,156200,0
2017-12-04,26.21,26.23,25.96,25.96,284400,0
2017-12-05,26.00,26.04,25.83,25.86,92300,0
2017-12-06,25.88,25.88,25.80,25.83,155900,0
2017-12-07,25.87,25.96,25.83,25.93,106500,0
2017-12-08,26.04,26.08,26.01,26.08,76700,0
2017-12-11,26.10,26.15,26.08,26.15,122600,0
2017-12-12,26.20,26.24,26.16,26.17,196900,0
2017-12-13,26.27,26.27,26.16,26.16,141500,0
2017-12-14,26.24,26.24,26.07,26.07,132800,0
2017-12-15,26.26,26.35,26.17,26.28,114500,0
2017-12-18,26.45,26.45,26.37,26.39,212600,0
2017-12-19,26.48,26.48,26.28,26.30,126500,0
2017-12-20,26.41,26.43,26.23,26.28,213200,0
2017-12-21,26.36,26.41,26.31,26.33,127200,0
2017-12-22,26.36,26.36,26.27,26.32,89700,0
2017-12-26,26.37,26.37,26.28,26.30,106100,0
2017-12-27,26.33,26.35,26.28,26.31,115200,0
2017-12-28,26.38,26.38,26.32,26.37,101200,0
