Date,Open,High,Low,Close,Volume,OpenInt
2017-11-03,19.94,19.94,19.91,19.91,401,0
2017-11-06,19.914,19.914,19.914,19.914,1000,0
2017-11-08,19.8,19.81,19.8,19.81,650,0
2017-11-09,19.74,19.74,19.62,19.74,1337,0
2017-11-10,19.77,19.77,19.7285,19.7432,1300,0
2017-11-15,19.74,19.75,19.71,19.71,1400,0
2017-11-16,19.71,19.71,19.71,19.71,-,0
2017-11-17,19.90,19.99,19.90,19.99,600,0
2017-11-20,20.08,20.10,20.06,20.10,13400,0
2017-11-21,20.10,20.10,20.10,20.10,-,0
2017-11-22,20.17,20.17,20.17,20.17,3600,0
2017-11-24,20.17,20.17,20.17,20.17,-,0
2017-11-27,20.17,20.17,20.17,20.17,-,0
2017-11-28,20.39,20.39,20.39,20.39,1200,0
2017-11-29,20.91,20.91,20.91,20.91,400,0
2017-11-30,20.96,20.96,20.96,20.96,100,0
2017-12-01,20.61,20.61,20.61,20.61,900,0
2017-12-04,20.61,20.61,20.61,20.61,-,0
2017-12-05,20.77,20.80,20.77,20.80,11300,0
2017-12-06,20.80,20.80,20.80,20.80,-,0
2017-12-07,20.80,20.80,20.80,20.80,-,0
2017-12-08,20.71,20.75,20.70,20.75,1200,0
2017-12-11,20.66,20.66,20.65,20.65,700,0
2017-12-12,20.73,20.76,20.73,20.76,3300,0
2017-12-13,20.76,20.76,20.76,20.76,-,0
2017-12-14,20.40,20.40,20.40,20.40,600,0
2017-12-15,20.40,20.40,20.40,20.40,-,0
2017-12-18,20.94,20.94,20.85,20.85,1700,0
2017-12-19,20.89,20.89,20.86,20.86,800,0
2017-12-20,20.86,20.86,20.86,20.86,-,0
2017-12-21,20.86,20.86,20.86,20.86,-,0
2017-12-22,20.86,20.86,20.86,20.86,-,0
2017-12-26,20.86,20.86,20.86,20.86,-,0
2017-12-27,20.86,20.86,20.86,20.86,-,0
2017-12-28,20.94,20.94,20.94,20.94,400,0
2017-12-29,20.97,21.00,20.97,21.00,200,0
2018-01-02,20.94,20.95,20.93,20.95,1200,0
2018-01-03,20.95,20.95,20.95,20.95,-,0
2018-01-04,21.12,21.13,21.11,21.11,13500,0
2018-01-05,21.08,21.19,21.08,21.19,2900,0
2018-01-08,21.19,21.19,21.19,21.19,-,0
2018-01-09,21.22,21.26,21.22,21.26,800,0
2018-01-10,21.26,21.26,21.26,21.26,-,0
2018-01-11,21.44,21.45,21.44,21.45,500,0
2018-01-12,21.67,21.70,21.67,21.67,2700,0
2018-01-16,21.81,21.81,21.50,21.50,1200,0
2018-01-17,21.50,21.50,21.50,21.50,-,0
2018-01-18,21.52,21.52,21.52,21.52,1000,0
2018-01-19,21.62,21.66,21.59,21.66,6000,0
2018-01-22,21.66,21.66,21.66,21.66,-,0
2018-01-23,22.04,22.04,21.83,21.94,5100,0
2018-01-24,21.94,21.94,21.94,21.94,-,0
2018-01-25,21.89,21.89,21.86,21.86,1500,0
2018-01-26,21.89,21.94,21.89,21.94,9400,0
2018-01-29,21.91,21.96,21.90,21.90,2200,0
2018-01-30,21.90,21.90,21.90,21.90,-,0
2018-01-31,21.59,21.59,21.59,21.59,300,0
2018-02-01,21.59,21.59,21.59,21.59,-,0
2018-02-02,21.30,21.30,21.30,21.30,1200,0
2018-02-05,21.16,21.16,20.56,20.56,3900,0
2018-02-06,20.56,20.56,20.56,20.56,-,0
2018-02-07,20.94,20.95,20.92,20.93,500,0
2018-02-08,20.75,20.75,20.39,20.39,1700,0
2018-02-09,20.17,20.17,20.17,20.17,11900,0
2018-02-12,20.72,20.75,20.69,20.71,8300,0
2018-02-13,20.60,20.70,20.60,20.70,500,0
2018-02-14,20.97,20.97,20.97,20.97,9500,0
2018-02-15,21.40,21.40,21.20,21.26,5200,0
2018-02-16,21.26,21.26,21.26,21.26,-,0
2018-02-20,21.26,21.26,21.26,21.26,-,0
2018-02-21,21.36,21.36,21.35,21.35,3000,0
2018-02-22,21.39,21.39,21.19,21.24,6400,0
2018-02-23,21.37,21.37,21.26,21.26,2000,0
2018-02-26,21.51,21.51,21.29,21.45,7900,0
2018-02-27,21.30,21.30,21.17,21.19,1500,0
2018-02-28,21.13,21.16,21.13,21.16,400,0
2018-03-01,20.79,20.79,20.79,20.79,400,0
2018-03-02,20.79,20.85,20.79,20.85,1700,0
2018-03-05,20.85,20.85,20.85,20.85,-,0
2018-03-06,21.13,21.13,21.13,21.13,3200,0
2018-03-07,21.13,21.13,21.13,21.13,-,0
2018-03-08,21.20,21.20,21.09,21.09,4600,0
2018-03-09,21.09,21.09,21.09,21.09,-,0
2018-03-12,21.09,21.09,21.09,21.09,-,0
2018-03-13,21.09,21.09,21.09,21.09,-,0
2018-03-14,21.49,21.49,21.47,21.47,200,0
2018-03-15,21.47,21.47,21.47,21.47,-,0
2018-03-16,21.47,21.47,21.47,21.47,-,0
2018-03-19,21.47,21.47,21.47,21.47,-,0
2018-03-20,21.47,21.47,21.47,21.47,-,0
2018-03-21,21.47,21.47,21.47,21.47,-,0
2018-03-22,21.18,21.18,21.18,21.18,400,0
2018-03-23,20.54,20.54,20.53,20.53,300,0
2018-03-26,20.50,20.50,20.50,20.50,200,0
2018-03-27,20.66,20.68,20.66,20.68,900,0
2018-03-28,20.48,20.48,20.48,20.48,100,0
2018-03-29,20.69,20.74,20.68,20.74,3300,0
2018-04-02,20.49,20.49,20.49,20.49,100,0
2018-04-03,20.49,20.49,20.49,20.49,-,0
2018-04-04,20.49,20.49,20.49,20.49,-,0
2018-04-05,20.49,20.49,20.49,20.49,-,0
2018-04-06,20.49,20.49,20.49,20.49,-,0
2018-04-09,20.49,20.47,20.40,20.40,1011,0
