Date,Open,High,Low,Close,Volume,OpenInt
2017-06-05,21.5,22.81,19.5101,20.59,948430,0
2017-06-06,20.08,20.38,19.44,19.67,752066,0
2017-06-07,19.41,19.71,17.03,17.36,506212,0
2017-06-08,17.2,17.815,16.19,17.59,678129,0
2017-06-09,17.73,18.26,17.67,17.84,774581,0
2017-06-12,18.1,19.5,18.1,19.1,407343,0
2017-06-13,19.49,19.98,18.99,19.96,262608,0
2017-06-14,19.71,19.9,19.11,19.4,141618,0
2017-06-15,19.22,19.95,19.15,19.71,284442,0
2017-06-16,19.51,20.29,19.18,20.26,557220,0
2017-06-19,20.26,20.3985,19.67,19.74,93804,0
2017-06-20,19.55,19.61,18.39,18.85,183266,0
2017-06-21,18.8,18.8,17.65,17.88,231568,0
2017-06-22,18.09,18.47,17.75,18.19,175866,0
2017-06-23,18.25,19.64,17.76,18.4,518925,0
2017-06-26,18.46,18.69,18,18.58,50424,0
2017-06-27,18.65,19.435,18.18,18.87,97666,0
2017-06-28,18.98,19.47,18.73,19.3,126076,0
2017-06-29,19.42,20.05,19.05,19.84,117283,0
2017-06-30,19.94,20.56,19.81,20.36,113130,0
2017-07-03,20.48,20.48,20.12,20.3,19463,0
2017-07-05,20.25,20.25,19.64,20.02,81904,0
2017-07-06,19.9,20.38,19.64,20.17,165002,0
2017-07-07,20,20,18.5,18.76,212534,0
2017-07-10,18.8,19.01,18.34,18.85,143700,0
2017-07-11,18.69,19,18.29,18.99,65675,0
2017-07-12,19.23,19.4,18.93,19,58785,0
2017-07-13,18.95,19.1,18.66,18.98,67591,0
2017-07-14,18.84,19.1196,18.4,18.6,66522,0
2017-07-17,18.96,19.04,18.46,18.6,98425,0
2017-07-18,18.45,18.88,18.16,18.62,46036,0
2017-07-19,18.4,18.77,18.06,18.13,98586,0
2017-07-20,17.99,18.29,17.65,17.88,150758,0
2017-07-21,18.13,18.21,17.415,17.68,169241,0
2017-07-24,17.62,17.85,15.94,16.63,176690,0
2017-07-25,16.73,17.18,15.7701,15.97,182786,0
2017-07-26,15.62,15.81,15.08,15.27,290594,0
2017-07-27,15.03,15.89,15,15.35,94559,0
2017-07-28,15.42,15.51,14.4,15,101691,0
2017-07-31,14.71,14.853,14.52,14.58,174109,0
2017-08-01,14.53,14.54,13.81,13.99,250968,0
2017-08-02,13.99,15.275,13.78,14.92,179090,0
2017-08-03,14.89,15.22,14.28,14.48,162775,0
2017-08-04,14.42,14.57,14.17,14.38,58130,0
2017-08-07,14.27,14.47,14.1,14.16,86448,0
2017-08-08,14.05,14.455,14,14.05,77826,0
2017-08-09,13.93,14.24,13.93,14.13,69758,0
2017-08-10,14,14.14,14,14.04,67959,0
2017-08-11,13.85,14.1,12.9,13.07,509825,0
2017-08-14,12.95,13.05,12.065,12.26,182635,0
2017-08-15,12.07,12.64,11.93,12.22,180301,0
2017-08-16,12.18,13.17,12.18,12.67,166986,0
2017-08-17,12.58,12.6,12.04,12.08,143679,0
2017-08-18,12.22,12.66,12.09,12.54,187570,0
2017-08-21,12.5,12.66,12.5,12.6,77253,0
2017-08-22,12.59,12.59,12.04,12.12,168926,0
2017-08-23,12.1,12.34,12.01,12.1,146999,0
2017-08-24,12.19,12.62,12.185,12.43,81245,0
2017-08-25,12.47,12.99,12.21,12.97,81882,0
2017-08-28,12.82,12.86,12.12,12.26,233373,0
2017-08-29,12.31,12.64,12.25,12.29,109636,0
2017-08-30,12.25,12.55,12.2,12.46,65730,0
2017-08-31,12.48,12.985,12.36,12.81,57427,0
2017-09-01,12.8,13.37,12.45,13.19,81618,0
2017-09-05,13.2,13.79,13.01,13.69,97755,0
2017-09-06,13.65,13.79,12.55,12.97,161118,0
2017-09-07,13.13,13.13,12.41,12.5,150934,0
2017-09-08,12.67,12.67,12,12.13,315999,0
2017-09-11,12.43,12.79,12,12.16,214525,0
2017-09-12,12.23,12.38,11.99,12.01,376415,0
2017-09-13,11.96,12.49,11.96,12.01,234587,0
2017-09-14,12.09,12.329,11.96,12.12,268476,0
2017-09-15,12.19,12.67,12.03,12.49,611981,0
2017-09-18,12.51,12.77,12.5,12.61,114772,0
2017-09-19,12.66,12.8,12.43,12.5,110181,0
2017-09-20,12.4,12.65,12.4,12.52,87032,0
2017-09-21,12.59,12.59,12.27,12.32,56328,0
2017-09-22,12.26,12.3399,11.98,12.05,121388,0
2017-09-25,12.07,12.5,12.07,12.47,50251,0
2017-09-26,12.47,13.44,12.44,13.34,159127,0
2017-09-27,13.32,14.32,13.18,14.28,158192,0
2017-09-28,14.27,15.14,14,15.07,185792,0
2017-09-29,14.93,15.82,14.71,15.64,179718,0
2017-10-02,15.7,15.82,15.3525,15.75,90932,0
2017-10-03,15.77,16.07,15.18,15.33,80672,0
2017-10-04,15.37,15.37,14.66,14.71,117906,0
2017-10-05,14.81,14.86,14.45,14.51,81860,0
2017-10-06,14.46,14.86,14.32,14.49,55288,0
2017-10-09,14.5,14.67,14.16,14.18,35575,0
2017-10-10,14.4,15.01,14.1,14.17,51611,0
2017-10-11,14.22,14.26,13.74,14.12,106656,0
2017-10-12,14.1,14.1,13.65,13.67,49025,0
2017-10-13,13.68,14.01,13.67,14,45235,0
2017-10-16,14.1,14.41,13.26,13.46,108501,0
2017-10-17,13.4,13.48,13.24,13.36,42954,0
2017-10-18,13.36,13.57,13.05,13.38,71223,0
2017-10-19,13.36,13.74,12.9,12.93,101740,0
2017-10-20,13.13,13.55,12.84,13.5,148129,0
2017-10-23,13.57,13.67,13.195,13.4,111775,0
2017-10-24,13.39,13.93,13.39,13.85,82639,0
2017-10-25,13.9,14.11,13.54,13.95,130325,0
2017-10-26,13.95,13.985,13.56,13.68,194773,0
2017-10-27,13.74,14.14,13.49,13.92,151346,0
2017-10-30,14.09,14.2,13.84,14.11,234963,0
