Date,Open,High,Low,Close,Volume,OpenInt
2017-07-17,40.377,40.377,40.116,40.116,4605,0
2017-07-18,40.047,40.047,39.948,40.038,10225,0
2017-07-19,40.038,40.038,40.038,40.038,0,0
2017-07-20,40.716,40.716,40.397,40.397,12172,0
2017-07-21,40.397,40.397,40.397,40.397,0,0
2017-07-24,40.317,40.337,40.317,40.337,680,0
2017-07-25,40.337,40.337,40.337,40.337,0,0
2017-07-26,40.516,40.516,40.506,40.506,1072,0
2017-07-27,40.46,40.46,40.46,40.46,281,0
2017-07-28,40.122,40.137,40.037,40.087,1539,0
2017-07-31,40.087,40.087,40.087,40.087,0,0
2017-08-01,40.087,40.087,40.087,40.087,0,0
2017-08-02,39.914,39.914,39.708,39.708,472,0
2017-08-03,39.728,39.728,39.576,39.576,1067,0
2017-08-04,39.576,39.576,39.576,39.576,0,0
2017-08-07,39.549,39.549,39.549,39.549,376,0
2017-08-08,40.028,40.028,39.854,39.854,2995,0
2017-08-09,39.42,39.509,39.419,39.427,10944,0
2017-08-10,38.9,38.933,38.9,38.933,227,0
2017-08-11,38.88,38.88,38.88,38.88,501,0
2017-08-14,39.279,39.339,39.279,39.339,281,0
2017-08-15,39.229,39.229,39.16,39.16,464,0
2017-08-16,39.279,39.329,39.279,39.329,501,0
2017-08-17,39.329,39.329,39.329,39.329,0,0
2017-08-18,39.329,39.329,39.329,39.329,0,0
2017-08-21,39.329,39.329,39.329,39.329,0,0
2017-08-22,38.771,38.771,38.771,38.771,238,0
2017-08-23,38.77,38.77,38.77,38.77,221,0
2017-08-24,38.77,38.77,38.77,38.77,0,0
2017-08-25,38.77,38.77,38.77,38.77,0,0
2017-08-28,38.77,38.77,38.77,38.77,0,0
2017-08-29,38.77,38.77,38.77,38.77,0,0
2017-08-30,39.09,39.11,39.09,39.11,201,0
2017-08-31,39.11,39.11,39.11,39.11,0,0
2017-09-01,39.11,39.11,39.11,39.11,0,0
2017-09-05,39.11,39.11,39.11,39.11,0,0
2017-09-06,39.11,39.11,39.11,39.11,0,0
2017-09-07,39.11,39.11,39.11,39.11,0,0
2017-09-08,39.509,39.509,39.509,39.509,310,0
2017-09-11,39.509,39.509,39.509,39.509,0,0
2017-09-12,40.094,40.094,40.094,40.094,702,0
2017-09-13,40.187,40.187,40.177,40.177,311,0
2017-09-14,40.177,40.177,40.177,40.177,0,0
2017-09-15,40.177,40.177,40.177,40.177,0,0
2017-09-18,40.516,40.516,40.516,40.516,1353,0
2017-09-19,40.516,40.516,40.516,40.516,0,0
2017-09-20,40.516,40.516,40.516,40.516,0,0
2017-09-21,40.516,40.516,40.516,40.516,0,0
2017-09-22,40.516,40.516,40.516,40.516,0,0
2017-09-25,40.516,40.516,40.516,40.516,0,0
2017-09-26,41.28,41.28,41.28,41.28,0,0
2017-09-27,41.34,41.34,41.34,41.34,1300,0
2017-09-28,41.34,41.34,41.34,41.34,0,0
2017-09-29,41.34,41.34,41.34,41.34,0,0
2017-10-02,41.34,41.34,41.34,41.34,0,0
2017-10-03,41.34,41.34,41.34,41.34,0,0
2017-10-04,41.94,41.94,41.9236,41.9236,250,0
2017-10-05,41.9236,41.9236,41.9236,41.9236,0,0
2017-10-06,41.9236,41.9236,41.9236,41.9236,0,0
2017-10-09,42.23,42.23,42.23,42.23,0,0
2017-10-10,41.9799,41.9799,41.91,41.91,1130,0
2017-10-11,42.42,42.42,42.42,42.42,166,0
2017-10-12,41.911,41.93,41.911,41.911,1245,0
2017-10-13,41.911,41.911,41.911,41.911,1300,0
2017-10-16,41.881,41.8999,41.87,41.8836,1970,0
2017-10-17,42.008,42.008,41.989,41.989,200,0
2017-10-18,41.989,41.989,41.989,41.989,0,0
2017-10-19,41.989,41.989,41.989,41.989,87,0
2017-10-20,42.3,42.6,42.2,42.21,6951,0
2017-10-23,42.21,42.21,42.21,42.21,0,0
2017-10-24,42.21,42.21,42.21,42.21,0,0
2017-10-25,42.52,42.52,42.52,42.52,2,0
2017-10-26,41.99,41.99,41.99,41.99,200,0
2017-10-27,42.06,42.12,42.0599,42.12,700,0
2017-10-30,42.12,42.12,42.12,42.12,0,0
2017-10-31,42.12,42.12,42.12,42.12,0,0
2017-11-01,41.93,41.93,41.93,41.93,100,0
2017-11-02,42.05,42.05,42.01,42.01,1248,0
2017-11-03,42.01,42.01,42.01,42.01,0,0
2017-11-06,42.01,42.01,42.01,42.01,25,0
2017-11-07,42.08,42.08,42.04,42.04,825,0
2017-11-08,42.04,42.04,42.04,42.04,856,0
2017-11-09,42.04,42.04,42.04,42.04,131,0
2017-11-10,41.8112,41.8112,41.77,41.77,1000,0
2017-11-15,41.63,41.63,41.63,41.63,100,0
2017-11-16,41.63,41.63,41.63,41.63,-,0
2017-11-17,41.63,41.63,41.63,41.63,-,0
2017-11-20,42.28,42.28,42.28,42.28,100,0
2017-11-21,42.71,42.77,42.71,42.77,2000,0
2017-11-22,43.01,43.01,42.95,43.01,900,0
2017-11-24,43.01,43.01,43.01,43.01,-,0
2017-11-27,42.80,42.80,42.79,42.79,500,0
2017-11-28,42.79,42.79,42.79,42.79,-,0
2017-11-29,42.79,42.79,42.79,42.79,100,0
2017-11-30,42.79,42.79,42.79,42.79,-,0
2017-12-01,43.31,43.31,43.31,43.31,200,0
2017-12-04,45.00,45.00,43.32,43.32,1100,0
2017-12-05,42.97,43.02,42.96,42.96,800,0
2017-12-06,42.96,42.96,42.96,42.96,-,0
2017-12-07,43.12,43.13,43.06,43.06,500,0
2017-12-08,43.31,43.33,43.25,43.25,900,0
2017-12-11,43.17,43.24,43.17,43.17,800,0
2017-12-12,43.19,43.19,43.19,43.19,200,0
2017-12-13,43.25,43.25,43.25,43.25,300,0
2017-12-14,43.11,43.11,43.11,43.11,200,0
2017-12-15,43.42,43.42,43.42,43.42,200,0
2017-12-18,43.69,43.69,43.67,43.67,700,0
2017-12-19,43.88,43.97,43.69,43.69,900,0
2017-12-20,43.87,43.87,43.87,43.87,200,0
2017-12-21,43.68,43.68,43.68,43.68,100,0
2017-12-22,43.50,43.51,43.47,43.47,800,0
2017-12-26,43.62,43.62,43.62,43.62,500,0
2017-12-27,43.62,43.62,43.62,43.62,200,0
2017-12-28,43.62,43.62,43.62,43.62,100,0
2017-12-29,43.68,43.68,43.68,43.68,300,0
2018-01-02,42.84,42.84,42.84,42.84,100,0
2018-01-03,42.84,42.84,42.84,42.84,100,0
2018-01-04,44.12,44.12,44.07,44.10,1400,0
2018-01-05,44.49,44.49,44.16,44.16,2900,0
2018-01-08,44.16,44.16,44.16,44.16,-,0
2018-01-09,44.16,44.16,44.16,44.16,-,0
2018-01-10,44.22,44.31,44.15,44.20,7500,0
2018-01-11,44.78,44.87,44.75,44.87,1000,0
2018-01-12,45.01,45.01,45.01,45.01,500,0
2018-01-16,45.09,45.09,45.09,45.09,200,0
2018-01-17,44.79,44.82,44.77,44.82,700,0
2018-01-18,44.82,44.82,44.82,44.82,10000,0
2018-01-19,44.82,45.00,44.56,44.98,6700,0
2018-01-22,45.29,45.29,45.29,45.29,100,0
2018-01-23,45.47,45.51,45.47,45.50,2500,0
2018-01-24,45.50,45.50,45.50,45.50,100,0
2018-01-25,45.50,45.50,45.50,45.50,-,0
2018-01-26,45.50,45.56,45.50,45.56,1200,0
