Date,Open,High,Low,Close,Volume,OpenInt
2017-11-09,13,14.7,13,13.5,42510594,0
2017-11-10,14.04,14.69,13.68,13.85,12571845,0
2017-11-13,14.00,14.07,13.66,13.82,4344900,0
2017-11-14,13.70,13.84,13.00,13.00,8635100,0
2017-11-15,12.88,13.00,12.50,12.69,6820800,0
2017-11-16,12.89,13.35,12.85,13.27,2799800,0
2017-11-17,13.30,13.60,13.19,13.19,3289000,0
2017-11-20,13.43,13.59,13.27,13.55,1716500,0
2017-11-21,13.65,13.77,13.56,13.70,2305800,0
2017-11-22,13.75,13.82,13.51,13.55,2094200,0
2017-11-24,13.67,13.67,12.82,13.05,2386000,0
2017-11-27,13.01,13.38,12.95,13.05,1575300,0
2017-11-28,13.05,13.23,12.86,12.92,1722000,0
2017-11-29,13.00,13.05,12.10,13.05,3824000,0
2017-11-30,12.69,12.79,12.22,12.30,3321200,0
2017-12-01,12.35,12.41,11.00,11.16,3688700,0
2017-12-04,11.67,11.68,10.85,11.00,3490500,0
2017-12-05,11.00,11.93,11.00,11.70,2113500,0
2017-12-06,11.53,11.56,11.30,11.43,1549600,0
2017-12-07,11.68,11.96,11.53,11.63,1377000,0
2017-12-08,11.70,11.88,11.57,11.65,644800,0
2017-12-11,11.99,12.10,11.72,11.94,1117700,0
2017-12-12,12.00,12.05,11.58,11.67,714100,0
2017-12-13,11.61,11.76,11.38,11.40,900900,0
2017-12-14,11.46,11.47,11.02,11.10,896700,0
2017-12-15,11.15,11.32,11.05,11.19,532800,0
2017-12-18,11.22,11.58,11.22,11.37,1026700,0
2017-12-19,11.68,11.87,11.50,11.72,1259800,0
2017-12-20,11.85,11.88,11.42,11.61,1102100,0
2017-12-21,11.70,11.80,11.45,11.60,866600,0
2017-12-22,11.64,11.79,11.46,11.66,619200,0
2017-12-26,11.70,11.88,11.66,11.72,464200,0
2017-12-27,11.72,12.00,11.71,11.81,659000,0
2017-12-28,11.80,11.84,11.61,11.74,379200,0
2017-12-29,11.70,11.72,11.49,11.57,1162200,0
2018-01-02,11.55,11.92,11.55,11.90,915600,0
2018-01-03,12.00,12.01,11.70,11.90,1221000,0
2018-01-04,12.00,12.28,11.98,12.17,2175400,0
2018-01-05,12.23,12.75,12.23,12.53,1946500,0
2018-01-08,12.67,13.00,12.66,12.82,2522200,0
2018-01-09,12.98,13.00,12.60,12.62,1786800,0
2018-01-10,12.55,12.73,12.26,12.61,1240400,0
2018-01-11,12.58,12.80,12.41,12.46,865300,0
2018-01-12,12.59,12.63,12.20,12.33,1041600,0
2018-01-16,12.40,12.53,12.04,12.16,1423000,0
2018-01-17,12.13,12.19,11.64,11.75,1918600,0
2018-01-18,11.74,11.78,11.45,11.47,1761600,0
2018-01-19,11.58,11.99,11.42,11.44,1500500,0
2018-01-22,11.48,11.51,11.10,11.18,2086200,0
2018-01-23,11.84,11.84,11.25,11.29,2114000,0
2018-01-24,11.43,11.85,11.42,11.62,1975900,0
2018-01-25,12.16,12.16,11.45,11.53,2119800,0
2018-01-26,11.62,12.40,11.61,12.32,2915100,0
2018-01-29,11.75,11.75,11.00,11.17,11371400,0
2018-01-30,11.15,11.30,10.64,10.65,5929500,0
2018-01-31,10.78,10.88,10.15,10.28,5394900,0
2018-02-01,10.16,10.40,10.02,10.28,2048800,0
2018-02-02,10.22,10.29,10.01,10.20,2003700,0
2018-02-05,9.93,9.99,9.50,9.53,3091800,0
2018-02-06,9.20,10.44,9.03,10.29,4061200,0
2018-02-07,10.47,10.47,9.38,9.47,5133500,0
2018-02-08,9.56,9.75,8.93,9.03,3426800,0
2018-02-09,9.09,9.24,8.08,8.74,4435100,0
2018-02-12,8.90,9.22,8.73,9.11,1798700,0
2018-02-13,9.19,9.88,9.16,9.78,3225400,0
2018-02-14,9.65,9.74,9.32,9.45,2362800,0
2018-02-15,9.50,9.68,9.31,9.48,1367500,0
2018-02-16,9.40,9.59,9.40,9.42,964100,0
2018-02-20,9.41,9.48,9.22,9.28,768200,0
2018-02-21,9.36,9.51,9.25,9.34,960200,0
2018-02-22,9.31,9.41,9.20,9.26,612200,0
2018-02-23,9.32,9.35,9.05,9.08,1143100,0
2018-02-26,9.10,9.20,9.10,9.14,720900,0
