Date,Open,High,Low,Close,Volume,OpenInt
2017-10-16,25.25,25.3,25.2,25.25,25234,0
2017-10-17,25.27,25.3,25.24,25.25,22623,0
2017-10-18,25.255,25.275,25.2221,25.2399,22430,0
2017-10-19,25.24,25.3,25.2,25.3,21190,0
2017-10-20,25.76,25.76,25.5,25.7,4615,0
2017-10-23,25.554,25.65,25.4789,25.4789,6900,0
2017-10-24,25.45,25.45,25.3763,25.3763,3615,0
2017-10-25,25.4,25.4,25.1605,25.24,9580,0
2017-10-26,25.25,25.25,25.22,25.24,8278,0
2017-10-27,25.35,25.4304,25.255,25.255,6451,0
2017-10-30,25.25,25.25,25.16,25.2,6108,0
2017-10-31,25.1743,25.2,25.1743,25.18,4703,0
2017-11-01,25.1826,25.2,25.18,25.2,5522,0
2017-11-02,25.25,25.34,24.9888,24.99,35920,0
2017-11-03,24.99,25.15,24.9,25.04,18310,0
2017-11-06,25.1,25.22,25.09,25.11,10898,0
2017-11-07,25.15,25.37,25.15,25.21,7392,0
2017-11-08,25.24,25.38,25.15,25.2,4472,0
2017-11-09,25.24,25.2409,25.1999,25.24,1525,0
2017-11-10,25.25,25.25,25.18,25.2,7650,0
2017-11-15,25.44,25.60,25.33,25.50,10400,0
2017-11-16,25.60,25.60,25.36,25.44,4000,0
2017-11-17,25.40,25.40,25.40,25.40,200,0
2017-11-20,25.50,25.50,25.40,25.40,4700,0
2017-11-21,25.36,25.36,25.36,25.36,300,0
2017-11-22,25.36,25.36,25.36,25.36,-,0
2017-11-24,25.36,25.36,25.36,25.36,100,0
2017-11-27,25.30,25.41,25.30,25.40,5200,0
2017-11-28,25.50,25.50,25.30,25.50,2100,0
2017-11-29,25.45,25.55,25.45,25.54,800,0
2017-11-30,25.59,25.60,25.40,25.40,3400,0
2017-12-01,25.44,25.50,25.44,25.50,1100,0
2017-12-04,25.48,25.50,25.46,25.50,600,0
2017-12-05,25.37,25.50,25.13,25.36,700,0
2017-12-06,25.35,25.35,25.20,25.20,5400,0
2017-12-07,25.26,25.26,25.25,25.25,300,0
2017-12-08,25.56,25.64,25.36,25.45,13800,0
2017-12-11,25.50,25.60,25.50,25.58,13100,0
2017-12-12,25.56,25.56,25.26,25.34,9900,0
2017-12-13,25.37,25.52,25.36,25.50,3300,0
2017-12-14,25.40,25.67,25.40,25.48,2700,0
2017-12-15,25.67,25.67,25.62,25.62,2300,0
2017-12-18,25.59,25.66,25.52,25.60,8500,0
2017-12-19,25.52,25.67,25.52,25.67,3600,0
2017-12-20,25.69,25.69,25.55,25.63,8200,0
2017-12-21,25.71,25.71,25.55,25.71,1400,0
2017-12-22,25.71,25.75,25.71,25.75,1800,0
2017-12-26,25.69,25.69,25.69,25.69,100,0
2017-12-27,25.74,25.74,25.56,25.56,2100,0
2017-12-28,25.43,25.43,25.36,25.40,4100,0
2017-12-29,25.31,25.40,25.30,25.35,1700,0
2018-01-02,25.45,25.45,25.45,25.45,300,0
2018-01-03,25.45,25.45,25.45,25.45,-,0
2018-01-04,25.40,25.41,25.40,25.41,900,0
2018-01-05,25.58,25.58,25.42,25.42,1000,0
2018-01-08,25.50,25.70,25.34,25.70,3600,0
2018-01-09,25.60,25.60,25.40,25.60,3200,0
2018-01-10,25.61,25.62,25.60,25.60,1300,0
2018-01-11,25.60,25.60,25.60,25.60,-,0
2018-01-12,25.34,25.34,25.33,25.33,400,0
2018-01-16,25.39,25.39,25.30,25.30,2200,0
2018-01-17,25.27,25.27,25.27,25.27,1100,0
2018-01-18,25.44,25.44,25.28,25.35,1800,0
2018-01-19,25.35,25.35,25.35,25.35,-,0
2018-01-22,25.60,25.75,25.60,25.70,1500,0
2018-01-23,25.52,25.52,25.32,25.32,5700,0
2018-01-24,25.58,25.58,25.16,25.20,7100,0
2018-01-25,25.17,25.17,25.06,25.10,7100,0
2018-01-26,25.24,25.37,25.15,25.25,7800,0
2018-01-29,25.40,25.40,25.01,25.01,5600,0
2018-01-30,25.12,25.13,25.00,25.00,2600,0
2018-01-31,25.20,25.21,24.98,24.99,3300,0
2018-02-01,25.00,25.00,25.00,25.00,1100,0
2018-02-02,24.95,25.01,24.95,25.01,2900,0
2018-02-05,25.00,25.19,24.82,25.00,2700,0
2018-02-06,24.85,25.10,24.82,25.10,6000,0
2018-02-07,25.08,25.08,24.96,24.99,4000,0
2018-02-08,24.72,24.88,24.57,24.57,11200,0
2018-02-09,24.67,24.76,24.55,24.76,7300,0
2018-02-12,24.66,24.88,24.66,24.79,4000,0
2018-02-13,24.87,25.08,24.86,25.08,4600,0
2018-02-14,24.77,25.02,24.75,25.02,600,0
2018-02-15,25.02,25.02,25.02,25.02,-,0
2018-02-16,25.08,25.09,25.02,25.02,500,0
2018-02-20,25.20,25.25,24.50,24.76,10000,0
2018-02-21,25.10,25.15,24.89,24.97,4800,0
2018-02-22,25.00,25.00,24.89,24.90,5100,0
2018-02-23,25.00,25.10,24.75,24.91,6400,0
2018-02-26,24.91,25.00,24.67,24.67,4700,0
2018-02-27,24.93,25.00,24.80,25.00,3400,0
2018-02-28,24.95,24.95,24.92,24.92,400,0
2018-03-01,24.99,25.00,24.88,24.88,2900,0
2018-03-02,24.99,25.50,24.99,25.08,2200,0
2018-03-05,25.10,25.10,25.02,25.02,2300,0
2018-03-06,25.06,25.30,25.06,25.30,1400,0
2018-03-07,25.30,25.30,25.30,25.30,-,0
2018-03-08,25.10,25.45,25.10,25.45,4700,0
2018-03-09,25.29,25.31,25.03,25.05,5000,0
2018-03-12,25.01,25.10,25.00,25.10,2200,0
2018-03-13,25.15,25.15,25.15,25.15,600,0
2018-03-14,25.16,25.25,25.15,25.25,700,0
2018-03-15,25.25,25.25,25.25,25.25,-,0
2018-03-16,25.25,25.25,25.00,25.23,2600,0
2018-03-19,25.04,25.39,25.04,25.15,13000,0
2018-03-20,25.29,25.29,25.15,25.15,1500,0
2018-03-21,25.10,25.15,25.02,25.03,3300,0
2018-03-22,25.26,25.26,25.10,25.24,5000,0
2018-03-23,25.25,25.25,25.08,25.08,400,0
2018-03-26,25.20,25.22,25.17,25.17,2200,0
2018-03-27,25.17,25.24,25.17,25.21,3600,0
2018-03-28,25.03,25.03,24.82,24.82,5400,0
2018-03-29,24.85,25.10,24.85,25.00,2400,0
2018-04-02,25.00,25.00,25.00,25.00,-,0
2018-04-03,25.00,25.10,24.90,25.04,3600,0
2018-04-04,25.00,25.06,25.00,25.03,1100,0
2018-04-05,24.92,24.92,24.92,24.92,600,0
2018-04-06,24.81,24.85,24.80,24.80,3000,0
2018-04-09,24.99,24.80,24.51,24.54,5965,0
