Date,Open,High,Low,Close,Volume,OpenInt
2017-11-02,13.25,13.63,10.83,11.5,2224706,0
2017-11-03,11.4,11.6999,11.1,11.56,209905,0
2017-11-06,11.35,12.05,11.35,12,136246,0
2017-11-07,12.03,12.42,11.9,12.4,120109,0
2017-11-08,12.52,12.72,12.4,12.6,69619,0
2017-11-09,12.93,13.25,12.5,13.25,114625,0
2017-11-10,13.14,15,13.05,14.11,119745,0
2017-11-13,14.85,15.40,14.25,14.75,151600,0
2017-11-14,14.83,14.98,13.40,14.29,52200,0
2017-11-15,13.76,14.45,13.17,13.36,27800,0
2017-11-16,14.00,14.74,13.00,13.43,68800,0
2017-11-17,13.25,14.50,12.00,14.49,69700,0
2017-11-20,14.30,14.30,12.33,12.72,70900,0
2017-11-21,12.53,13.71,12.53,13.40,38100,0
2017-11-22,13.40,13.98,13.40,13.70,39700,0
2017-11-24,13.05,14.00,13.00,13.86,13300,0
2017-11-27,14.26,15.00,13.75,14.07,143000,0
2017-11-28,14.04,14.25,13.29,13.63,31400,0
2017-11-29,13.83,13.83,12.53,12.78,51200,0
2017-11-30,12.60,13.03,11.90,11.95,69200,0
2017-12-01,12.05,12.82,11.96,12.14,80600,0
2017-12-04,12.18,12.90,12.01,12.28,21900,0
2017-12-05,12.30,13.40,11.23,11.27,102800,0
2017-12-06,11.30,12.20,11.25,11.44,31900,0
2017-12-07,11.50,11.60,9.85,10.51,84300,0
2017-12-08,10.45,11.00,10.45,10.50,70600,0
2017-12-11,10.69,11.15,10.51,10.79,102500,0
2017-12-12,10.86,11.31,10.48,10.96,79300,0
2017-12-13,11.03,12.08,10.74,11.63,70000,0
2017-12-14,12.07,12.07,10.91,11.43,74400,0
2017-12-15,11.22,12.18,10.43,10.82,566900,0
2017-12-18,10.82,11.49,10.30,10.43,113400,0
2017-12-19,10.43,11.24,10.34,10.70,79400,0
2017-12-20,10.77,11.85,10.40,11.46,24200,0
2017-12-21,10.89,12.18,10.89,12.08,30300,0
2017-12-22,12.08,12.22,10.90,11.88,39500,0
2017-12-26,11.65,11.66,11.40,11.41,9200,0
2017-12-27,11.45,12.05,11.45,12.00,21200,0
2017-12-28,12.01,12.10,11.32,11.61,59300,0
2017-12-29,11.69,12.02,11.50,11.75,36600,0
2018-01-02,11.82,12.15,11.30,12.14,28500,0
2018-01-03,12.11,12.29,11.17,12.26,52600,0
2018-01-04,12.26,12.26,11.53,12.14,115700,0
2018-01-05,12.16,12.16,11.35,11.59,15700,0
2018-01-08,11.90,11.90,11.49,11.59,8000,0
2018-01-09,11.55,11.76,11.23,11.41,39300,0
2018-01-10,11.42,12.00,11.42,11.99,15900,0
2018-01-11,11.96,12.49,11.80,12.35,44300,0
2018-01-12,12.20,12.41,11.79,12.25,18900,0
2018-01-16,12.30,12.99,12.13,12.25,38400,0
2018-01-17,12.24,12.41,12.03,12.10,11500,0
2018-01-18,12.05,12.48,11.55,11.59,71600,0
2018-01-19,11.58,12.30,11.58,12.06,35800,0
2018-01-22,12.73,12.73,12.11,12.20,6500,0
2018-01-23,12.49,12.49,12.00,12.30,63800,0
2018-01-24,12.24,12.31,12.03,12.03,4800,0
2018-01-25,12.44,12.44,12.02,12.10,4600,0
2018-01-26,12.01,12.34,12.00,12.23,5000,0
2018-01-29,12.20,12.50,12.20,12.29,34100,0
2018-01-30,12.44,12.66,12.25,12.40,22200,0
2018-01-31,12.50,12.50,12.10,12.10,13600,0
2018-02-01,12.07,13.00,12.07,12.55,7700,0
2018-02-02,12.38,12.65,12.09,12.09,13000,0
2018-02-05,12.00,12.04,11.76,11.79,9600,0
2018-02-06,11.61,11.99,11.50,11.99,14300,0
2018-02-07,11.91,12.04,11.80,11.81,5200,0
2018-02-08,11.85,12.09,11.75,11.97,11800,0
2018-02-09,12.08,12.86,11.50,11.88,17100,0
2018-02-12,11.32,12.64,11.32,11.56,14200,0
2018-02-13,11.47,11.79,10.32,11.20,15700,0
2018-02-14,11.04,11.04,9.66,10.00,65700,0
2018-02-15,10.07,10.48,9.85,9.96,23100,0
2018-02-16,9.95,10.20,9.95,10.04,24200,0
2018-02-20,10.01,10.08,9.77,10.03,10900,0
2018-02-21,10.10,10.28,9.88,10.00,12600,0
2018-02-22,10.00,10.16,9.90,9.98,20000,0
2018-02-23,9.90,10.90,9.85,10.51,30500,0
2018-02-26,10.41,10.67,10.31,10.49,4000,0
2018-02-27,10.12,11.58,10.12,11.26,11500,0
2018-02-28,11.14,11.55,10.51,10.58,24000,0
2018-03-01,10.65,11.35,10.63,10.74,17300,0
2018-03-02,10.63,11.60,10.55,11.55,15500,0
2018-03-05,11.15,12.00,10.66,11.77,111600,0
2018-03-06,10.81,11.88,10.81,11.81,39800,0
2018-03-07,11.81,11.88,11.47,11.47,54000,0
2018-03-08,11.59,12.00,11.55,11.75,41500,0
2018-03-09,11.99,12.00,11.80,12.00,26000,0
2018-03-12,11.90,12.62,11.90,12.52,173600,0
2018-03-13,11.90,12.69,11.90,12.69,18700,0
2018-03-14,12.97,13.75,12.97,13.65,18800,0
2018-03-15,13.63,14.45,13.57,14.20,31500,0
2018-03-16,14.10,14.61,13.52,14.61,91200,0
2018-03-19,14.50,14.55,13.82,14.50,25500,0
2018-03-20,14.52,14.55,14.13,14.23,14600,0
2018-03-21,14.08,14.38,14.08,14.29,9800,0
2018-03-22,14.27,14.50,14.13,14.35,56400,0
2018-03-23,13.31,14.40,13.31,13.75,21200,0
2018-03-26,13.92,14.38,13.20,14.35,23900,0
2018-03-27,14.34,14.34,13.84,14.07,7700,0
2018-03-28,14.03,14.20,13.30,14.19,33700,0
2018-03-29,14.18,14.29,13.30,14.25,35300,0
2018-04-02,14.45,14.45,14.00,14.20,8300,0
2018-04-03,14.07,14.31,13.65,13.90,52200,0
2018-04-04,13.76,14.48,13.76,14.30,49800,0
2018-04-05,14.20,14.30,13.65,14.26,72600,0
2018-04-06,14.26,14.71,13.08,13.86,83600,0
2018-04-09,14.00,14.90,12.86,14.76,22735,0
