Date,Open,High,Low,Close,Volume,OpenInt
2017-03-09,47.229,47.27,47.229,47.27,469,0
2017-03-10,47.416,47.429,47.408,47.429,503,0
2017-03-17,47.678,47.678,47.678,47.678,100,0
2017-03-20,47.678,47.678,47.678,47.678,0,0
2017-03-31,47.738,47.738,47.707,47.707,1401,0
2017-04-03,47.599,47.599,47.599,47.599,129,0
2017-04-07,47.679,47.679,47.679,47.679,415,0
2017-04-19,47.49,47.49,47.49,47.49,100,0
2017-04-24,48.086,48.086,47.818,47.818,308,0
2017-04-26,48.244,48.244,48.244,48.244,202,0
2017-04-27,48.303,48.323,48.303,48.323,403,0
2017-05-01,48.323,48.323,48.323,48.323,212,0
2017-05-08,48.522,48.522,48.522,48.522,144,0
2017-05-10,48.452,48.452,48.452,48.452,133,0
2017-05-16,48.671,48.671,48.671,48.671,145,0
2017-05-25,49.013,49.013,49.013,49.013,100,0
2017-06-08,49.404,49.444,49.402,49.402,532,0
2017-06-13,49.286,49.286,49.286,49.286,100,0
2017-06-14,49.384,49.504,49.384,49.504,792,0
2017-06-16,49.136,49.136,49.136,49.136,123,0
2017-06-19,49.384,49.384,49.384,49.384,100,0
2017-06-28,49.418,49.418,49.418,49.418,100,0
2017-07-11,49.136,49.136,49.136,49.136,104,0
2017-07-14,49.654,49.654,49.654,49.654,236,0
2017-07-18,49.823,49.823,49.766,49.766,201,0
2017-07-19,50.015,50.015,50.015,50.015,1006,0
2017-07-21,50.112,50.112,50.112,50.112,300,0
2017-07-27,50.335,50.335,50.318,50.318,404,0
2017-08-03,49.933,49.974,49.933,49.974,732,0
2017-08-21,49.126,49.179,49.126,49.179,1005,0
2017-09-14,50.788,50.788,50.778,50.778,259,0
2017-10-02,51.15,51.1896,51.15,51.1896,424,0
2017-10-10,51.57,51.685,51.57,51.685,416,0
2017-10-16,51.855,51.855,51.855,51.855,460,0
2017-10-20,52.2,52.22,52.2,52.22,461,0
2017-10-24,52.08,52.08,51.95,52.0046,1200,0
2017-11-03,52.5,52.5,52.5,52.5,1000,0
2017-11-08,52.773,52.773,52.72,52.72,440,0
2017-11-15,52.42,52.42,52.42,52.42,-,0
2017-11-16,52.43,52.65,52.43,52.58,9800,0
2017-11-17,52.52,52.52,52.46,52.49,400,0
2017-11-20,52.49,52.49,52.49,52.49,-,0
2017-11-21,52.49,52.49,52.49,52.49,-,0
2017-11-22,52.49,52.49,52.49,52.49,-,0
2017-11-24,52.49,52.49,52.49,52.49,-,0
2017-11-27,52.49,52.49,52.49,52.49,-,0
2017-11-28,52.49,52.49,52.49,52.49,-,0
2017-11-29,52.49,52.49,52.49,52.49,-,0
2017-11-30,52.49,52.49,52.49,52.49,-,0
2017-12-01,52.49,52.49,52.49,52.49,-,0
2017-12-04,52.49,52.49,52.49,52.49,-,0
