Date,Open,High,Low,Close,Volume,OpenInt
2017-10-06,21.7,24.9,20.35,20.84,44425629,0
2017-10-09,19.8,19.83,19,19.01,9557383,0
2017-10-10,19.33,20,19.17,19.96,3458589,0
2017-10-11,20.2,20.21,18.82,19.08,3346080,0
2017-10-12,19.05,19.71,19.03,19.71,3536951,0
2017-10-13,19.72,19.86,19.4818,19.72,1641275,0
2017-10-16,19.76,19.95,19.5,19.88,1159155,0
2017-10-17,19.95,19.95,19.51,19.65,1065824,0
2017-10-18,19.65,19.69,19.1208,19.15,1210390,0
2017-10-19,19,19,18.57,18.58,1845348,0
2017-10-20,18.51,19.34,18.51,19.3,1719024,0
2017-10-23,19.32,19.44,18.65,18.74,1167432,0
2017-10-24,18.74,18.91,18.55,18.68,594725,0
2017-10-25,18.63,19.03,18.61,18.99,1010530,0
2017-10-26,18.92,18.999,18.57,18.62,635317,0
2017-10-27,18.67,19.04,18.61,18.99,567749,0
2017-10-30,18.88,19.5,18.8,19.35,767406,0
2017-10-31,19,19.2,18.84,19.13,1284646,0
2017-11-01,19.16,19.73,18.88,19,753265,0
2017-11-02,18.88,19.09,18.8,18.9,692755,0
2017-11-03,18.8,18.97,18.15,18.22,761181,0
2017-11-06,18.26,18.39,18.26,18.26,759600,0
2017-11-07,18.18,18.49,18.01,18.31,737377,0
2017-11-08,18.2,18.4,18.0439,18.35,795168,0
2017-11-09,18.26,18.77,18.225,18.46,1366046,0
2017-11-10,18.37,19.2,18.26,18.95,1069409,0
2017-11-14,18.39,19.47,18.16,18.95,3729400,0
2017-11-15,18.89,19.02,18.43,18.96,957100,0
2017-11-16,19.01,19.49,18.80,18.99,952600,0
2017-11-17,18.90,19.00,18.33,18.44,911600,0
2017-11-20,18.43,18.59,18.27,18.30,638300,0
2017-11-21,18.30,18.57,18.03,18.07,790800,0
2017-11-22,18.05,18.15,17.65,17.95,1070400,0
2017-11-24,17.93,18.04,17.75,17.87,194100,0
2017-11-27,17.86,17.96,17.30,17.63,1254900,0
2017-11-28,17.63,18.09,17.55,17.68,734000,0
2017-11-29,17.60,17.65,17.00,17.12,1467800,0
2017-11-30,17.13,17.48,17.05,17.14,1136700,0
2017-12-01,17.27,17.30,16.63,16.71,1024400,0
2017-12-04,16.84,16.96,16.23,16.25,989300,0
2017-12-05,16.30,16.47,15.77,16.30,1222600,0
2017-12-06,16.21,16.89,15.91,16.85,917600,0
2017-12-07,16.77,17.14,16.24,17.00,646200,0
2017-12-08,17.00,17.47,17.00,17.45,812600,0
2017-12-11,17.46,17.72,17.21,17.30,766700,0
2017-12-12,17.23,17.52,16.93,17.07,700600,0
2017-12-13,17.18,17.39,16.99,17.07,652300,0
2017-12-14,17.01,17.38,16.64,16.71,1035100,0
2017-12-15,16.70,17.22,16.70,17.10,3956200,0
2017-12-18,17.15,17.16,16.61,16.81,902400,0
2017-12-19,16.73,17.27,16.65,17.01,1184500,0
2017-12-20,16.75,17.59,16.70,17.10,1155900,0
2017-12-21,17.11,17.59,17.11,17.57,878600,0
2017-12-22,17.51,18.18,17.51,18.10,892400,0
2017-12-26,18.05,18.31,17.68,17.84,1336200,0
2017-12-27,17.85,18.43,17.70,18.01,1055000,0
2017-12-28,17.99,18.34,17.72,18.12,954100,0
2017-12-29,18.25,18.57,18.01,18.19,1942000,0
2018-01-02,18.25,18.32,17.15,17.16,2064300,0
2018-01-03,17.15,17.51,16.73,17.28,1214300,0
2018-01-04,17.24,17.49,17.12,17.27,460800,0
2018-01-05,17.23,17.59,17.17,17.57,486300,0
2018-01-08,17.70,18.10,17.70,17.99,515500,0
