Date,Open,High,Low,Close,Volume,OpenInt
2017-06-29,10,10,10,10,1078,0
2017-06-30,10.25,10.25,10.05,10.06,3270,0
2017-07-07,9.9765,9.9765,9.7,9.84,1350,0
2017-07-13,9.85,9.85,9.85,9.85,200,0
2017-07-17,9.9,9.9,9.9,9.9,1000,0
2017-07-20,9.8,9.95,9.8,9.9,47500,0
2017-07-21,9.9,9.9,9.9,9.9,9307,0
2017-08-07,9.88,9.88,9.88,9.88,300,0
2017-08-15,9.8,9.8,9.7,9.7,2950,0
2017-08-16,9.76,9.82,9.7599,9.8,131702,0
2017-08-17,9.8,9.8,9.8,9.8,100000,0
2017-08-18,9.7999,9.8,9.7999,9.8,15000,0
2017-08-21,9.8,9.8,9.8,9.8,2100,0
2017-08-23,9.8,9.8,9.7903,9.7999,3500,0
2017-08-24,9.8,9.8,9.77,9.8,227972,0
2017-08-28,9.83,9.85,9.7778,9.7778,1000,0
2017-08-31,9.85,9.85,9.8353,9.8353,1000,0
2017-09-01,9.85,9.85,9.8092,9.8092,360,0
2017-09-05,9.85,9.85,9.8066,9.85,28100,0
2017-09-06,9.85,9.85,9.815,9.815,26650,0
2017-09-07,9.85,9.85,9.84,9.85,25801,0
2017-09-08,9.85,9.85,9.8,9.85,27236,0
2017-09-12,9.8,9.85,9.79,9.795,23663,0
2017-09-13,9.85,9.85,9.8,9.8,5470,0
2017-09-14,9.8,9.8,9.8,9.8,55554,0
2017-09-15,9.7,9.84,9.7,9.8,2600,0
2017-09-19,9.71,9.83,9.7,9.83,1863,0
2017-09-21,9.83,9.84,9.8009,9.8109,420,0
2017-09-26,9.7073,9.7722,9.7073,9.7722,860,0
2017-10-03,9.7001,9.7001,9.7001,9.7001,500,0
2017-10-05,9.7,9.84,9.7,9.83,571400,0
2017-10-06,9.85,10.0683,9.83,9.86,213100,0
2017-10-11,9.86,9.86,9.75,9.859,21950,0
2017-10-16,9.9,9.9,9.9,9.9,12867,0
2017-10-17,9.8,9.8,9.8,9.8,100000,0
2017-10-18,10.04,10.04,9.9,9.9,400,0
2017-10-19,10.06,10.06,9.72,9.83,2500,0
2017-10-23,9.93,9.93,9.9,9.9,1250,0
2017-10-24,10.055,10.055,9.8,9.8,113500,0
2017-10-26,9.77,9.805,9.77,9.77,112218,0
2017-10-31,9.77,9.77,9.75,9.76,128693,0
2017-11-01,9.74,9.758,9.74,9.758,1100,0
2017-11-06,9.73,9.73,9.73,9.73,300000,0
2017-11-10,9.72,9.72,9.72,9.72,30400,0
2017-11-13,9.72,9.72,9.72,9.72,-,0
2017-11-14,9.85,9.85,9.72,9.72,208000,0
2017-11-15,9.72,9.72,9.72,9.72,-,0
2017-11-16,9.85,9.85,9.85,9.85,400,0
2017-11-17,9.70,9.70,9.70,9.70,400100,0
2017-11-20,9.70,9.70,9.70,9.70,50000,0
2017-11-21,9.72,9.72,9.72,9.72,2500,0
2017-11-22,9.72,9.72,9.72,9.72,-,0
2017-11-24,9.72,9.72,9.72,9.72,-,0
2017-11-27,9.72,9.72,9.72,9.72,-,0
2017-11-28,9.69,9.69,9.69,9.69,700,0
2017-11-29,9.69,9.69,9.69,9.69,-,0
2017-11-30,9.68,9.68,9.68,9.68,4300,0
2017-12-01,9.68,9.72,9.66,9.72,3949500,0
2017-12-04,9.74,9.75,9.74,9.74,2800,0
2017-12-05,9.74,9.74,9.74,9.74,-,0
2017-12-06,9.74,9.74,9.74,9.74,100,0
2017-12-07,9.75,9.75,9.70,9.72,27800,0
2017-12-08,9.72,9.72,9.72,9.72,-,0
2017-12-11,9.68,9.72,9.68,9.72,25900,0
2017-12-12,9.73,9.74,9.73,9.74,45100,0
2017-12-13,9.74,9.74,9.73,9.74,35200,0
2017-12-14,9.75,9.75,9.75,9.75,77200,0
2017-12-15,9.75,9.75,9.75,9.75,1000,0
2017-12-18,9.74,9.75,9.74,9.75,14700,0
2017-12-19,9.74,9.74,9.69,9.74,7600,0
2017-12-20,9.76,9.77,9.73,9.73,19000,0
2017-12-21,9.73,9.73,9.73,9.73,-,0
2017-12-22,9.73,9.73,9.73,9.73,-,0
2017-12-26,9.73,9.73,9.73,9.73,-,0
2017-12-27,9.73,9.73,9.73,9.73,-,0
2017-12-28,9.73,9.73,9.73,9.73,-,0
2017-12-29,9.75,9.75,9.74,9.74,500,0
2018-01-02,9.74,9.74,9.74,9.74,-,0
2018-01-03,9.74,9.74,9.67,9.73,169700,0
2018-01-04,9.77,9.80,9.76,9.80,4100,0
2018-01-05,9.78,9.78,9.76,9.76,400,0
2018-01-08,9.76,9.76,9.76,9.76,225000,0
2018-01-09,9.73,9.78,9.73,9.77,294900,0
2018-01-10,9.77,9.77,9.77,9.77,-,0
2018-01-11,9.77,9.77,9.77,9.77,-,0
2018-01-12,9.77,9.77,9.75,9.75,6000,0
2018-01-16,9.76,9.78,9.76,9.78,88000,0
2018-01-17,9.77,9.77,9.73,9.74,8000,0
2018-01-18,9.74,9.74,9.74,9.74,-,0
2018-01-19,9.77,9.77,9.76,9.76,500,0
2018-01-22,9.80,9.80,9.73,9.73,8200,0
2018-01-23,9.73,9.73,9.73,9.73,-,0
2018-01-24,9.73,9.74,9.73,9.73,25200,0
2018-01-25,9.73,9.73,9.73,9.73,-,0
2018-01-26,9.75,9.75,9.73,9.73,600,0
2018-01-29,9.73,9.73,9.73,9.73,-,0
2018-01-30,9.73,9.73,9.73,9.73,-,0
2018-01-31,9.73,9.73,9.73,9.73,-,0
2018-02-01,9.73,9.73,9.73,9.73,-,0
2018-02-02,9.75,9.75,9.73,9.75,7400,0
2018-02-05,9.75,9.75,9.75,9.75,100,0
2018-02-06,9.73,9.76,9.72,9.73,701700,0
2018-02-07,9.73,9.73,9.73,9.73,-,0
2018-02-08,9.70,9.70,9.70,9.70,8400,0
2018-02-09,9.70,9.75,9.70,9.70,9800,0
2018-02-12,9.71,9.73,9.71,9.71,5500,0
2018-02-13,9.70,9.72,9.70,9.70,7800,0
2018-02-14,9.70,9.75,9.70,9.70,2000,0
2018-02-15,9.71,9.71,9.69,9.69,3800,0
2018-02-16,9.69,9.69,9.69,9.69,-,0
2018-02-20,9.69,9.69,9.69,9.69,-,0
2018-02-21,9.71,9.73,9.70,9.72,11100,0
2018-02-22,9.72,9.72,9.72,9.72,-,0
2018-02-23,9.72,9.72,9.72,9.72,-,0
2018-02-26,9.76,9.78,9.70,9.72,25100,0
2018-02-27,9.72,9.72,9.72,9.72,11100,0
2018-02-28,9.75,9.75,9.74,9.74,200,0
2018-03-01,9.75,9.75,9.75,9.75,200,0
2018-03-02,9.75,9.75,9.75,9.75,-,0
2018-03-05,9.75,9.75,9.75,9.75,-,0
2018-03-06,9.75,9.75,9.75,9.75,-,0
2018-03-07,9.75,9.75,9.75,9.75,-,0
2018-03-08,9.75,9.75,9.75,9.75,-,0
2018-03-09,9.75,9.75,9.75,9.75,-,0
2018-03-12,9.75,9.75,9.75,9.75,-,0
2018-03-13,9.75,9.75,9.75,9.75,-,0
2018-03-14,9.75,9.75,9.75,9.75,-,0
2018-03-15,9.75,9.75,9.75,9.75,-,0
2018-03-16,9.75,9.75,9.75,9.75,-,0
2018-03-19,9.76,9.78,9.73,9.73,400,0
2018-03-20,10.20,10.30,10.15,10.16,9395400,0
2018-03-21,10.24,10.24,10.16,10.18,813500,0
2018-03-22,10.20,10.20,10.14,10.15,459000,0
2018-03-23,10.15,10.18,10.11,10.13,457300,0
2018-03-26,10.13,10.15,10.13,10.15,209900,0
2018-03-27,10.18,10.18,10.11,10.12,121800,0
2018-03-28,10.13,10.15,10.05,10.09,436400,0
2018-03-29,10.06,10.12,10.05,10.11,394100,0
2018-04-02,10.05,10.11,10.05,10.10,7700,0
2018-04-03,10.09,10.10,10.07,10.07,2700,0
2018-04-04,10.08,10.10,10.08,10.09,55200,0
2018-04-05,10.07,10.08,10.07,10.08,800,0
2018-04-06,10.06,10.06,10.06,10.06,300,0
2018-04-09,10.10,10.10,10.07,10.10,112764,0
