Date,Open,High,Low,Close,Volume,OpenInt
2017-09-14,17.75,17.94,16.6,17.29,1450084,0
2017-09-15,17.22,17.3725,16.28,16.4,230524,0
2017-09-18,16.4,16.72,16.21,16.51,172233,0
2017-09-19,16.49,16.65,16.35,16.56,64018,0
2017-09-20,16.52,17.1,16.35,16.87,86918,0
2017-09-21,16.71,17.0999,16.45,16.95,60798,0
2017-09-22,17,17,16.521,16.61,26217,0
2017-09-25,16.65,16.7,16.4,16.61,45329,0
2017-09-26,16.6,16.65,16.5,16.56,24477,0
2017-09-27,16.5,16.9299,16.5,16.57,60759,0
2017-09-28,16.53,16.726,16.26,16.3,62503,0
2017-09-29,16.3,16.78,16.12,16.7,35589,0
2017-10-02,16.7,16.89,16.55,16.55,16140,0
2017-10-03,16.5,16.624,16.15,16.4,49008,0
2017-10-04,16.27,16.46,15.9,16.21,74139,0
2017-10-05,16.27,16.44,16.02,16.44,37642,0
2017-10-06,16.1478,16.6899,15.7,16.55,96680,0
2017-10-09,16.06,16.4975,16.04,16.11,13110,0
2017-10-10,16.34,16.55,15.86,16.31,123300,0
2017-10-11,16.74,16.74,16.14,16.45,63213,0
2017-10-12,16.52,17.28,16.5,16.91,150380,0
2017-10-13,17.28,17.28,16.2,16.95,64948,0
2017-10-16,16.86,17,16.73,17,45581,0
2017-10-17,16.7701,17.09,16.77,16.83,47901,0
2017-10-18,16.55,16.95,16.5,16.6,32657,0
2017-10-19,17.03,17.03,16.5,16.5,32920,0
2017-10-20,16.55,16.8874,16.5,16.64,26349,0
2017-10-23,16.9,16.94,16.62,16.64,7866,0
2017-10-24,16.55,16.89,16.38,16.61,26480,0
2017-10-25,16.36,16.88,15.85,16.29,45849,0
2017-10-26,16.49,16.64,16.07,16.1,17086,0
2017-10-27,16.1,16.233,15.7815,15.96,25372,0
2017-10-30,16.44,16.59,16.194,16.398,10715,0
2017-10-31,16.3,16.48,16.3,16.39,10792,0
2017-11-01,16.59,16.59,15.97,16.01,33200,0
2017-11-02,15.95,16.27,15.95,16.24,17118,0
2017-11-03,16.43,16.43,15.75,15.9,18997,0
2017-11-06,16.39,16.39,15.75,16.24,8397,0
2017-11-07,15.83,16.15,15.83,15.83,21138,0
2017-11-08,16,16.24,15.8582,16.24,17204,0
2017-11-09,16,16.19,16,16.01,9680,0
2017-11-10,16.01,16.15,15.85,15.9,4817,0
2017-11-13,15.86,16.25,15.85,15.87,6600,0
2017-11-14,16.03,16.04,15.56,15.56,27600,0
2017-11-15,15.55,16.02,15.55,16.02,23700,0
2017-11-16,15.80,16.00,15.65,15.96,2600,0
2017-11-17,15.66,16.00,15.60,15.77,25500,0
2017-11-20,15.78,15.80,15.65,15.79,5000,0
2017-11-21,15.65,15.99,15.50,15.91,30200,0
2017-11-22,15.60,15.95,15.54,15.62,10100,0
2017-11-24,16.00,16.14,15.68,15.85,2400,0
2017-11-27,16.02,16.02,15.55,15.55,14900,0
2017-11-28,15.65,15.70,15.02,15.48,49500,0
2017-11-29,15.90,15.90,15.11,15.34,11300,0
2017-11-30,15.20,15.44,15.00,15.24,28200,0
2017-12-01,15.04,15.34,14.95,15.24,52400,0
2017-12-04,15.10,15.25,15.00,15.09,34900,0
2017-12-05,15.00,15.21,14.90,15.13,36600,0
2017-12-06,15.00,15.22,15.00,15.03,14100,0
2017-12-07,15.03,15.19,14.80,15.01,45200,0
2017-12-08,15.10,15.28,14.75,14.95,55300,0
2017-12-11,15.03,15.44,14.90,15.44,58300,0
2017-12-12,15.41,15.43,14.84,14.95,33800,0
2017-12-13,15.05,15.05,14.40,14.98,92900,0
2017-12-14,14.90,15.49,14.75,14.89,95300,0
2017-12-15,14.90,15.05,14.51,14.65,106500,0
2017-12-18,14.70,14.87,14.50,14.62,105000,0
2017-12-19,14.71,14.80,14.50,14.76,41700,0
2017-12-20,14.60,14.75,14.55,14.68,23000,0
2017-12-21,14.60,14.88,14.60,14.88,45300,0
2017-12-22,14.67,15.00,14.60,14.70,35100,0
2017-12-26,14.80,14.82,14.50,14.82,16000,0
2017-12-27,14.65,14.90,14.58,14.65,17700,0
2017-12-28,14.60,14.98,14.59,14.87,27000,0
2017-12-29,14.81,14.98,14.50,14.69,45100,0
2018-01-02,14.69,14.80,14.45,14.46,20200,0
2018-01-03,14.63,14.63,14.23,14.46,31700,0
2018-01-04,14.33,14.60,14.33,14.57,26300,0
2018-01-05,14.51,14.80,14.34,14.80,15500,0
2018-01-08,15.00,15.00,14.60,14.70,6900,0
2018-01-09,14.72,14.88,14.55,14.85,8200,0
2018-01-10,14.86,15.00,14.72,14.93,11100,0
2018-01-11,14.98,15.00,14.65,14.99,19800,0
2018-01-12,15.00,15.05,14.67,14.73,22000,0
2018-01-16,15.01,15.29,14.82,15.14,12600,0
2018-01-17,15.02,15.69,14.84,15.50,13500,0
2018-01-18,15.15,15.50,14.97,15.02,15000,0
2018-01-19,14.90,15.32,14.53,14.70,16800,0
2018-01-22,15.00,15.00,14.75,14.79,2200,0
2018-01-23,14.75,15.17,14.75,15.17,6100,0
2018-01-24,15.00,15.16,15.00,15.16,5600,0
2018-01-25,15.13,15.39,15.08,15.39,1900,0
2018-01-26,15.05,15.20,14.76,14.94,17200,0
2018-01-29,14.75,15.05,14.50,14.68,5400,0
2018-01-30,14.50,14.95,14.47,14.49,9000,0
2018-01-31,14.39,15.07,14.35,15.07,2900,0
2018-02-01,14.76,15.08,14.72,15.08,9700,0
2018-02-02,14.64,15.43,14.62,15.43,3600,0
2018-02-05,15.75,15.75,14.85,14.99,3800,0
2018-02-06,15.08,15.10,14.39,14.53,15600,0
2018-02-07,15.05,15.05,14.80,14.95,2200,0
2018-02-08,14.81,14.81,14.43,14.43,9600,0
2018-02-09,14.90,14.92,14.30,14.35,15000,0
2018-02-12,14.32,14.32,14.10,14.20,11600,0
2018-02-13,14.22,14.81,13.94,14.81,26400,0
2018-02-14,14.48,14.48,13.91,14.02,11100,0
2018-02-15,13.98,14.93,13.84,14.93,42600,0
2018-02-16,14.58,14.82,14.02,14.56,8100,0
2018-02-20,14.56,14.56,14.56,14.56,-,0
2018-02-21,14.44,14.70,14.42,14.68,2900,0
2018-02-22,13.97,14.41,13.23,13.55,89400,0
2018-02-23,13.10,13.85,13.10,13.62,20700,0
2018-02-26,13.97,13.97,13.25,13.25,18400,0
2018-02-27,13.40,13.40,13.25,13.25,4200,0
2018-02-28,13.53,13.57,13.10,13.10,8700,0
2018-03-01,13.35,13.55,13.10,13.50,13000,0
2018-03-02,13.51,13.63,13.23,13.50,6100,0
2018-03-05,13.23,13.50,13.23,13.47,13600,0
2018-03-06,13.37,13.49,13.35,13.35,11300,0
2018-03-07,13.45,13.50,13.22,13.22,16500,0
2018-03-08,13.27,13.49,13.02,13.42,16400,0
2018-03-09,13.39,13.39,13.07,13.31,7900,0
2018-03-12,13.50,13.50,12.75,13.30,44300,0
2018-03-13,13.50,13.50,13.15,13.39,44600,0
2018-03-14,13.20,13.43,12.55,12.99,15300,0
2018-03-15,13.13,13.45,13.06,13.36,27200,0
2018-03-16,13.99,13.99,13.99,13.99,2400,0
2018-03-19,13.61,13.68,13.05,13.16,4000,0
2018-03-20,13.15,13.85,13.15,13.59,4700,0
2018-03-21,13.14,13.14,13.14,13.14,200,0
2018-03-22,13.14,13.14,13.14,13.14,-,0
2018-03-23,13.11,13.11,13.11,13.11,500,0
2018-03-26,13.10,13.40,13.03,13.29,2700,0
2018-03-27,13.00,13.34,12.77,13.02,29500,0
2018-03-28,12.82,13.29,12.60,13.29,24600,0
2018-03-29,13.29,13.88,13.03,13.14,16200,0
2018-04-02,13.49,13.49,12.76,13.00,10800,0
2018-04-03,12.98,13.04,12.92,12.92,1500,0
2018-04-04,13.03,13.03,12.81,12.97,5700,0
2018-04-05,12.85,13.00,12.60,12.92,14100,0
2018-04-06,12.93,12.93,12.76,12.80,6600,0
2018-04-09,12.77,12.98,12.77,12.98,7201,0
