Date,Open,High,Low,Close,Volume,OpenInt
2017-10-27,50.07,50.29,50.07,50.25,3532,0
2017-10-30,49.89,49.92,49.73,49.77,54062,0
2017-10-31,50.23,50.25,50.18,50.22,10400,0
2017-11-01,50.55,50.55,50.34,50.34,150504,0
2017-11-02,50.3048,50.47,50.27,50.41,6489,0
2017-11-03,50.27,50.27,49.989,50.16,18768,0
2017-11-06,50.27,50.53,50.27,50.529,14623,0
2017-11-07,50.43,50.43,50.08,50.09,12879,0
2017-11-08,50.36,50.41,50.32,50.41,3740,0
2017-11-09,50.14,50.21,50,50.21,3332,0
2017-11-10,50.11,50.11,49.969,50.048,1386,0
2017-11-15,49.47,49.47,49.35,49.35,3300,0
2017-11-16,49.99,50.16,49.99,50.02,2800,0
2017-11-17,50.00,50.07,49.92,49.99,3000,0
2017-11-20,49.85,50.05,49.85,50.02,14500,0
2017-11-21,50.45,50.64,50.45,50.56,4200,0
2017-11-22,50.76,50.89,50.75,50.89,2400,0
2017-11-24,50.76,50.85,50.76,50.83,1100,0
2017-11-27,50.42,50.42,50.16,50.16,53000,0
2017-11-28,50.48,50.53,50.48,50.50,2100,0
2017-11-29,50.51,50.51,50.02,50.03,5800,0
2017-11-30,49.80,49.99,49.80,49.85,3600,0
2017-12-01,49.83,49.83,49.47,49.66,4500,0
2017-12-04,50.03,50.03,49.78,49.78,3200,0
2017-12-05,49.98,50.08,49.89,49.90,2900,0
2017-12-06,49.12,49.20,49.03,49.12,37700,0
2017-12-07,48.99,49.20,48.97,49.07,31500,0
2017-12-08,49.50,49.50,49.50,49.50,251000,0
2017-12-11,49.62,49.78,49.62,49.74,3500,0
2017-12-12,49.37,49.50,49.31,49.46,3500,0
2017-12-13,50.04,50.25,50.04,50.25,2600,0
2017-12-14,50.15,50.21,50.06,50.08,3200,0
2017-12-15,50.34,50.34,50.18,50.22,6600,0
2017-12-18,50.28,50.45,50.28,50.42,3100,0
2017-12-19,50.34,50.34,49.99,50.06,8200,0
2017-12-20,50.44,50.49,50.37,50.39,4600,0
2017-12-21,50.47,50.65,50.47,50.54,3600,0
2017-12-22,50.51,50.68,50.50,50.68,4500,0
2017-12-26,50.66,50.79,50.66,50.73,3100,0
2017-12-27,50.68,50.69,50.53,50.59,74800,0
2017-12-28,51.20,51.29,51.17,51.17,4000,0
2017-12-29,51.58,51.58,51.37,51.37,3400,0
2018-01-02,52.31,52.39,52.19,52.39,5400,0
2018-01-03,52.55,52.89,52.55,52.76,7900,0
2018-01-04,52.82,52.94,52.78,52.87,11200,0
2018-01-05,53.08,53.34,53.05,53.32,10400,0
2018-01-08,53.43,53.55,53.39,53.51,15300,0
2018-01-09,53.39,53.41,53.24,53.31,5700,0
2018-01-10,53.16,53.30,53.13,53.14,15200,0
2018-01-11,53.34,53.71,53.34,53.68,582500,0
2018-01-12,53.72,54.17,53.72,54.17,10200,0
2018-01-16,54.10,54.10,53.50,53.61,21200,0
2018-01-17,53.89,54.32,53.86,54.19,7600,0
2018-01-18,54.02,54.08,53.91,53.98,6400,0
2018-01-19,54.54,54.71,54.43,54.70,22500,0
2018-01-22,54.55,54.97,54.55,54.97,10000,0
2018-01-23,54.96,55.11,54.96,55.08,9300,0
2018-01-24,55.49,55.65,55.25,55.52,17700,0
2018-01-25,55.59,55.84,55.39,55.48,24500,0
2018-01-26,55.87,56.13,55.79,56.13,56100,0
2018-01-29,55.59,55.59,55.44,55.49,39600,0
2018-01-30,55.16,55.16,54.81,54.94,41700,0
2018-01-31,55.55,55.55,54.94,55.08,30400,0
2018-02-01,55.07,55.16,54.83,54.91,23200,0
2018-02-02,54.29,54.29,53.66,53.66,28600,0
2018-02-05,53.77,54.02,52.16,52.16,25000,0
2018-02-06,52.20,53.58,52.20,53.27,55200,0
2018-02-07,52.16,52.46,51.89,51.89,8100,0
2018-02-08,51.79,51.79,49.66,49.68,14400,0
2018-02-09,50.32,50.86,49.10,50.45,62400,0
2018-02-12,51.02,51.43,50.78,51.16,19700,0
2018-02-13,50.91,51.30,50.91,51.30,36200,0
2018-02-14,50.97,52.32,50.97,52.29,14100,0
2018-02-15,53.10,53.22,52.64,53.16,12500,0
2018-02-16,53.08,53.49,53.08,53.26,13800,0
2018-02-20,52.39,52.51,52.32,52.48,4800,0
2018-02-21,52.54,52.56,52.54,52.56,434000,0
2018-02-22,52.64,52.91,52.62,52.62,1900,0
2018-02-23,53.14,53.50,53.13,53.50,32400,0
2018-02-26,53.73,54.00,53.58,54.00,6800,0
2018-02-27,53.29,53.33,52.54,52.54,8000,0
2018-02-28,52.71,52.71,52.07,52.07,1100,0
2018-03-01,52.25,52.31,51.40,51.90,47800,0
2018-03-02,51.30,52.01,51.30,51.97,3800,0
2018-03-05,51.44,52.01,51.36,52.01,1600,0
2018-03-06,52.43,52.56,52.33,52.34,9400,0
2018-03-07,51.83,52.11,51.71,52.11,3600,0
2018-03-08,52.05,52.08,51.92,51.98,23600,0
2018-03-09,52.54,53.13,52.54,53.08,4300,0
2018-03-12,53.27,53.34,53.15,53.30,7800,0
2018-03-13,53.40,53.40,52.66,52.70,4200,0
2018-03-14,53.17,53.17,52.61,52.77,32100,0
2018-03-15,52.88,52.88,52.52,52.60,12300,0
2018-03-16,52.60,52.73,52.60,52.71,8800,0
2018-03-19,52.20,52.21,51.75,51.89,5000,0
2018-03-20,52.47,52.65,52.47,52.53,3600,0
2018-03-21,52.49,52.81,52.49,52.81,3400,0
2018-03-22,51.92,52.07,51.46,51.46,6900,0
2018-03-23,51.34,51.34,50.47,50.47,1100,0
2018-03-26,51.57,51.93,51.37,51.90,46400,0
2018-03-27,52.08,52.08,51.83,52.00,2300,0
2018-03-28,51.26,51.53,51.14,51.21,7600,0
2018-03-29,51.74,52.30,51.74,52.07,16900,0
2018-04-02,51.82,51.82,50.80,51.14,18100,0
2018-04-03,51.89,52.07,51.60,52.07,199700,0
2018-04-04,51.07,52.15,51.07,52.06,201400,0
2018-04-05,51.96,52.21,51.96,52.03,3500,0
2018-04-06,51.62,51.83,51.00,51.00,1500,0
2018-04-09,51.44,51.65,51.18,51.18,23921,0
