Date,Open,High,Low,Close,Volume,OpenInt
2017-10-27,49.99,50.01,49.98,50.01,3960,0
2017-10-30,50.1,50.16,50.08,50.14,4627,0
2017-10-31,50.17,50.17,50.12,50.13,5357,0
2017-11-01,50.18,50.23,50.18,50.23,251374,0
2017-11-02,50.2299,50.25,50.19,50.23,4781,0
2017-11-03,50.25,50.28,50.21,50.25,19705,0
2017-11-06,50.26,50.29,50.239,50.26,8898,0
2017-11-07,50.26,50.27,50.24,50.24,3869,0
2017-11-08,50.23,50.23,50.17,50.19,4464,0
2017-11-09,50.14,50.16,50.1307,50.16,2812,0
2017-11-10,50.07,50.07,50,50,1682,0
2017-11-20,50.11,50.11,50.08,50.10,2300,0
2017-11-21,50.17,50.17,50.13,50.17,2600,0
2017-11-22,50.07,50.16,50.07,50.16,2000,0
2017-11-24,50.19,50.20,50.16,50.17,1700,0
2017-11-27,50.20,50.20,50.16,50.19,2300,0
2017-11-28,50.29,50.29,50.25,50.25,4100,0
2017-11-29,50.13,50.14,50.11,50.13,3100,0
2017-11-30,50.14,50.14,50.02,50.06,4400,0
2017-12-01,50.11,50.19,50.10,50.15,3000,0
2017-12-04,50.11,50.16,50.10,50.16,14900,0
2017-12-05,50.12,50.20,50.12,50.19,12300,0
2017-12-06,50.27,50.28,50.26,50.26,2200,0
2017-12-07,50.28,50.28,50.18,50.21,53600,0
2017-12-08,50.21,50.21,50.15,50.18,233700,0
2017-12-11,50.23,50.24,50.19,50.19,2500,0
2017-12-12,50.15,50.16,50.12,50.14,2300,0
2017-12-13,50.21,50.28,50.14,50.28,4800,0
2017-12-14,50.23,50.30,50.23,50.27,6700,0
2017-12-15,50.25,50.29,50.19,50.28,3100,0
2017-12-18,50.22,50.22,50.14,50.14,3800,0
2017-12-19,50.06,50.06,49.93,49.97,7700,0
2017-12-20,50.00,50.01,50.00,50.01,2100,0
2017-12-21,50.02,50.05,49.98,50.04,3400,0
2017-12-22,50.02,50.02,49.99,50.01,2500,0
2017-12-26,49.96,50.07,49.96,50.06,2800,0
2017-12-27,50.10,50.17,50.10,50.17,4700,0
2017-12-28,50.16,50.17,50.12,50.12,3500,0
2017-12-29,50.13,50.21,50.13,50.19,3100,0
2018-01-02,50.17,50.17,50.04,50.11,5100,0
2018-01-03,50.15,50.18,50.14,50.18,10500,0
2018-01-04,50.12,50.18,50.09,50.18,8400,0
2018-01-05,50.02,50.02,49.96,49.98,4300,0
2018-01-08,50.02,50.02,49.94,49.97,9200,0
2018-01-09,49.93,49.93,49.82,49.82,104500,0
2018-01-10,49.73,49.82,49.73,49.82,3600,0
2018-01-11,49.82,49.89,49.82,49.87,4500,0
2018-01-12,49.79,49.85,49.79,49.84,4200,0
2018-01-16,49.92,49.92,49.83,49.87,3200,0
2018-01-17,49.79,49.82,49.77,49.77,7800,0
2018-01-18,49.68,49.70,49.66,49.67,104300,0
2018-01-19,49.61,49.64,49.54,49.54,2900,0
2018-01-22,49.59,49.63,49.56,49.57,5500,0
2018-01-23,49.68,49.73,49.68,49.73,2600,0
2018-01-24,49.65,49.65,49.61,49.62,104800,0
2018-01-25,49.62,49.72,49.59,49.72,5900,0
2018-01-26,49.63,49.63,49.62,49.63,2200,0
2018-01-29,49.52,49.57,49.49,49.56,8100,0
2018-01-30,49.52,49.53,49.46,49.46,103200,0
2018-01-31,49.55,49.59,49.52,49.52,2400,0
2018-02-01,49.48,49.48,49.38,49.39,2800,0
2018-02-02,49.26,49.29,49.19,49.19,3200,0
2018-02-05,49.12,49.34,49.12,49.34,2500,0
2018-02-06,49.21,49.24,49.17,49.23,110400,0
2018-02-07,49.29,49.29,49.03,49.03,1300,0
2018-02-08,49.00,49.06,48.98,48.99,14900,0
2018-02-09,48.91,49.00,48.91,48.99,2200,0
2018-02-12,49.01,49.02,48.91,49.01,11100,0
2018-02-13,48.96,49.01,48.95,49.01,104100,0
2018-02-14,48.79,48.87,48.76,48.79,5700,0
2018-02-15,48.87,48.91,48.87,48.89,29900,0
2018-02-16,48.94,49.05,48.94,49.02,8500,0
2018-02-20,48.95,48.95,48.87,48.87,102200,0
2018-02-21,48.87,48.87,48.75,48.75,4600,0
2018-02-22,48.80,48.80,48.80,48.80,200,0
2018-02-23,48.85,48.98,48.83,48.97,42300,0
2018-02-26,49.05,49.08,48.99,49.01,2700,0
2018-02-27,49.03,49.03,48.78,48.88,5300,0
2018-02-28,48.92,48.95,48.92,48.95,400,0
2018-03-01,48.94,49.04,48.94,49.03,131400,0
2018-03-02,48.90,48.90,48.90,48.90,1200,0
2018-03-05,48.90,48.90,48.90,48.90,-,0
