Date,Open,High,Low,Close,Volume,OpenInt
2017-10-27,50.14,50.26,50.13,50.24,4309,0
2017-10-30,50.28,50.34,50.24,50.34,5088,0
2017-10-31,50.39,50.499,50.3732,50.499,50412,0
2017-11-01,50.89,50.89,50.74,50.78,110210,0
2017-11-02,50.7548,50.89,50.7548,50.89,55866,0
2017-11-03,50.82,50.895,50.655,50.75,63200,0
2017-11-06,50.6,50.74,50.6,50.72,15366,0
2017-11-07,50.72,50.72,50.59,50.59,13307,0
2017-11-08,50.67,50.73,50.61,50.72,53509,0
2017-11-09,50.36,50.44,50.17,50.44,4546,0
2017-11-10,50.27,50.279,50.2,50.27,1401,0
2017-11-15,49.35,49.59,49.30,49.53,4200,0
2017-11-16,49.85,50.02,49.85,49.94,3800,0
2017-11-17,49.76,49.90,49.75,49.81,3000,0
2017-11-20,49.88,49.89,49.86,49.86,3800,0
2017-11-21,50.18,50.24,50.18,50.20,2200,0
2017-11-22,50.37,50.43,50.21,50.34,4000,0
2017-11-24,50.76,50.77,50.69,50.72,1800,0
2017-11-27,50.58,50.58,50.38,50.39,447800,0
2017-11-28,50.52,50.56,50.51,50.56,2100,0
2017-11-29,50.69,50.69,50.51,50.52,2800,0
2017-11-30,50.90,50.90,50.62,50.65,201400,0
2017-12-01,50.53,50.53,50.40,50.50,4000,0
2017-12-04,50.55,50.55,50.31,50.31,85200,0
2017-12-05,50.33,50.39,50.24,50.26,52600,0
2017-12-06,49.95,50.05,49.95,49.99,7500,0
2017-12-07,50.08,50.22,50.08,50.14,10400,0
2017-12-08,50.14,50.14,50.14,50.14,-,0
2017-12-11,50.62,50.64,50.61,50.61,2300,0
2017-12-12,50.57,50.72,50.57,50.71,3400,0
2017-12-13,50.71,50.81,50.67,50.80,2400,0
2017-12-14,50.63,50.65,50.51,50.53,4800,0
2017-12-15,50.43,50.53,50.43,50.48,52500,0
2017-12-18,50.96,51.11,50.96,50.99,7400,0
2017-12-19,51.08,51.08,50.89,50.99,7800,0
2017-12-20,51.10,51.11,50.97,51.00,54800,0
2017-12-21,51.12,51.23,51.12,51.15,182900,0
2017-12-22,51.13,51.23,51.08,51.23,2700,0
2017-12-26,51.21,51.32,51.21,51.25,4000,0
2017-12-27,51.42,51.43,51.29,51.29,40600,0
2017-12-28,51.62,51.62,51.43,51.43,3500,0
2017-12-29,51.62,51.62,51.44,51.44,4200,0
2018-01-02,51.78,51.95,51.78,51.95,4500,0
2018-01-03,52.17,52.41,52.16,52.41,3600,0
2018-01-04,53.00,53.03,52.92,52.99,58800,0
2018-01-05,53.23,53.33,53.18,53.33,8300,0
2018-01-08,53.41,53.41,53.25,53.31,6300,0
2018-01-09,53.38,53.44,53.34,53.44,4700,0
2018-01-10,53.53,53.60,53.46,53.46,24200,0
2018-01-11,53.75,53.88,53.75,53.88,583100,0
2018-01-12,54.11,54.40,54.11,54.40,6900,0
2018-01-16,54.59,54.59,54.27,54.32,315400,0
2018-01-17,54.40,54.72,54.32,54.59,6100,0
2018-01-18,54.35,54.45,54.29,54.38,48100,0
2018-01-19,54.73,54.76,54.60,54.69,21300,0
2018-01-22,54.81,55.06,54.81,55.06,5800,0
2018-01-23,55.05,55.15,55.01,55.10,8700,0
2018-01-24,55.45,55.48,55.10,55.31,17700,0
2018-01-25,55.47,55.47,55.05,55.16,20200,0
2018-01-26,55.34,55.54,55.34,55.50,34000,0
