Date,Open,High,Low,Close,Volume,OpenInt
2017-10-27,49.93,50.29,49.93,50.28,12752,0
2017-10-30,50.28,50.28,50.066,50.16,63463,0
2017-10-31,50.17,50.24,50.16,50.19,433542,0
2017-11-01,50.48,50.48,50.18,50.18,100387,0
2017-11-02,50.33,50.35,50.108,50.24,55572,0
2017-11-03,50.34,50.34,50.145,50.27,37695,0
2017-11-06,50.74,50.74,50.4,50.55,52702,0
2017-11-07,50.69,50.69,50.4,50.46,103369,0
2017-11-08,50.54,50.6,50.3905,50.56,6415,0
2017-11-09,50.3,50.395,50.1987,50.36,3033,0
2017-11-10,50.34,50.37,50.32,50.37,401563,0
2017-11-16,50.46,50.78,50.46,50.62,8700,0
2017-11-17,50.65,50.75,50.65,50.71,53000,0
2017-11-20,50.78,50.89,50.73,50.87,3900,0
2017-11-21,51.08,51.18,51.08,51.13,3700,0
2017-11-22,51.20,51.20,50.96,50.96,8700,0
2017-11-24,51.16,51.16,51.08,51.08,5400,0
2017-11-27,51.15,51.15,51.07,51.07,57000,0
2017-11-28,51.16,51.62,51.13,51.60,3000,0
2017-11-29,51.83,51.83,51.59,51.62,5900,0
2017-11-30,51.86,52.08,51.86,51.87,333300,0
2017-12-01,52.10,52.10,51.13,51.76,5000,0
2017-12-04,52.09,52.09,51.56,51.57,97600,0
2017-12-05,51.57,51.57,51.27,51.29,4300,0
2017-12-06,51.21,51.27,51.20,51.21,13900,0
2017-12-07,51.20,51.63,51.20,51.48,57300,0
2017-12-08,51.72,51.81,51.62,51.79,3300,0
2017-12-11,51.93,51.95,51.83,51.95,7400,0
2017-12-12,52.03,52.03,51.84,51.84,6300,0
2017-12-13,51.93,51.97,51.73,51.73,2800,0
2017-12-14,51.84,51.84,51.43,51.45,6000,0
2017-12-15,51.58,51.96,51.58,51.83,5000,0
2017-12-18,52.07,52.18,52.07,52.16,10100,0
2017-12-19,52.30,52.30,51.96,51.96,12700,0
2017-12-20,52.22,52.22,52.01,52.01,9700,0
2017-12-21,52.21,52.21,52.03,52.03,258200,0
2017-12-22,51.93,52.02,51.90,52.01,3400,0
2017-12-26,52.00,52.11,51.97,52.05,5400,0
2017-12-27,52.10,52.16,52.04,52.09,6500,0
2017-12-28,52.23,52.28,52.10,52.28,6200,0
2017-12-29,52.49,52.49,52.00,52.00,8200,0
2018-01-02,52.25,52.34,52.11,52.34,16800,0
2018-01-03,52.70,52.70,52.44,52.64,17600,0
2018-01-04,52.79,52.87,52.75,52.78,10000,0
2018-01-05,52.94,53.10,52.87,53.04,9000,0
2018-01-08,53.30,53.31,53.01,53.30,13300,0
2018-01-09,53.43,53.59,53.35,53.35,8800,0
2018-01-10,53.34,53.34,53.13,53.25,7200,0
2018-01-11,53.47,53.77,53.45,53.73,130800,0
2018-01-12,53.96,54.13,53.85,54.08,8100,0
2018-01-16,54.41,54.41,53.64,53.77,21700,0
2018-01-17,53.99,54.51,53.92,54.40,666300,0
2018-01-18,54.48,54.48,54.18,54.26,16200,0
2018-01-19,54.39,54.66,54.38,54.66,31400,0
2018-01-22,54.80,54.85,54.71,54.85,7000,0
2018-01-23,55.04,55.06,54.85,55.02,7800,0
2018-01-24,55.16,55.16,54.61,54.83,4600,0
2018-01-25,55.07,55.07,54.61,54.75,30500,0
2018-01-26,55.02,55.24,54.86,55.24,33400,0
2018-01-29,55.20,55.20,54.70,54.70,55900,0
2018-01-30,54.41,54.41,53.98,54.16,30100,0
2018-01-31,54.33,54.33,53.99,54.14,36000,0
2018-02-01,53.97,54.20,53.90,54.02,30200,0
2018-02-02,53.92,53.92,52.91,52.91,49300,0
2018-02-05,52.53,52.88,51.15,51.25,38500,0
2018-02-06,50.11,51.87,49.79,51.65,15500,0
2018-02-07,51.65,52.15,51.56,52.00,14200,0
2018-02-08,51.65,52.29,49.52,49.52,8300,0
2018-02-09,50.18,50.49,48.81,50.49,10700,0
2018-02-12,50.56,51.15,50.33,50.85,25500,0
2018-02-13,50.77,51.09,50.62,51.06,18300,0
2018-02-14,51.70,51.90,51.70,51.90,15100,0
2018-02-15,51.91,52.22,51.73,52.22,40600,0
2018-02-16,52.30,53.85,52.30,52.49,8700,0
2018-02-20,52.27,52.27,51.98,52.10,2900,0
2018-02-21,52.44,52.44,51.80,51.80,6800,0
2018-02-22,51.95,52.26,51.68,51.76,7800,0
2018-02-23,52.12,52.53,51.99,52.53,64200,0
2018-02-26,52.57,52.90,52.49,52.84,5800,0
2018-02-27,52.94,52.94,52.29,52.29,65000,0
2018-02-28,52.45,52.45,51.64,51.72,2000,0
2018-03-01,51.56,51.56,50.67,51.01,25900,0
2018-03-02,50.63,51.07,50.48,51.07,65200,0
2018-03-05,50.87,51.67,50.87,51.67,2900,0
2018-03-06,51.79,52.11,51.74,52.10,5700,0
2018-03-07,51.80,52.11,51.68,52.10,4300,0
2018-03-08,52.19,52.23,52.15,52.20,50500,0
2018-03-09,52.52,53.06,52.46,53.06,6300,0
2018-03-12,53.06,53.15,52.98,53.07,32400,0
2018-03-13,53.33,53.43,52.86,52.97,8400,0
2018-03-14,53.00,53.04,52.50,52.61,32700,0
2018-03-15,52.69,52.69,52.40,52.50,59500,0
2018-03-16,52.50,52.83,52.50,52.77,20400,0
2018-03-19,52.60,52.60,51.96,52.29,5800,0
2018-03-20,52.45,52.53,52.36,52.42,5700,0
2018-03-21,52.49,52.75,52.38,52.39,4900,0
2018-03-22,52.57,52.57,51.18,51.21,14500,0
2018-03-23,51.34,51.34,50.12,50.13,3400,0
2018-03-26,50.83,51.38,50.63,51.33,26900,0
2018-03-27,51.56,51.56,50.35,50.35,38900,0
2018-03-28,50.77,50.77,50.46,50.49,4900,0
2018-03-29,50.72,51.42,50.72,51.17,30300,0
