Date,Open,High,Low,Close,Volume,OpenInt
2017-07-14,25.283,25.283,25.273,25.273,1767042,0
2017-07-17,25.254,25.263,25.254,25.263,7670,0
2017-07-18,25.204,25.204,25.204,25.204,8060,0
2017-07-19,25.293,25.343,25.293,25.315,18181,0
2017-07-20,25.503,25.503,25.338,25.373,23092,0
2017-07-21,25.313,25.353,25.293,25.353,14587,0
2017-07-24,25.353,25.383,25.353,25.383,9217,0
2017-07-25,25.493,25.503,25.443,25.493,9172,0
2017-07-26,25.461,25.461,25.381,25.381,1623,0
2017-07-27,25.533,25.533,25.214,25.219,10670,0
2017-07-28,25.443,25.443,25.202,25.224,15929,0
2017-07-31,25.313,25.313,25.303,25.313,15554,0
2017-08-01,25.363,25.363,25.313,25.363,11707,0
2017-08-02,25.279,25.279,25.273,25.273,215,0
2017-08-03,25.283,25.283,25.283,25.283,2269,0
2017-08-04,25.323,25.333,25.283,25.303,9047,0
2017-08-07,25.303,25.303,25.303,25.303,0,0
2017-08-08,25.323,25.333,25.323,25.323,2429,0
2017-08-09,25.184,25.194,25.184,25.189,6186,0
2017-08-10,24.944,25.064,24.944,25.064,22767,0
2017-08-11,24.954,24.954,24.844,24.864,19716,0
2017-08-14,24.864,24.864,24.864,24.864,0,0
2017-08-15,24.864,24.864,24.864,24.864,0,0
2017-08-16,25.174,25.194,25.174,25.174,3887,0
2017-08-17,25.112,25.112,25.054,25.074,20853,0
2017-08-18,25.074,25.074,25.074,25.074,0,0
2017-08-21,24.645,24.655,24.645,24.65,18659,0
2017-08-22,24.844,24.904,24.844,24.904,12027,0
2017-08-23,24.814,24.894,24.814,24.894,5861,0
2017-08-24,24.874,24.874,24.854,24.854,2850,0
2017-08-25,24.974,24.974,24.924,24.954,39478,0
2017-08-28,24.954,24.964,24.834,24.834,24856,0
2017-08-29,24.824,24.834,24.804,24.824,27390,0
2017-08-30,24.924,24.924,24.924,24.924,2219,0
2017-08-31,25.144,25.204,25.124,25.204,15844,0
