Date,Open,High,Low,Close,Volume,OpenInt
2017-10-13,25,25.0136,24.9848,25.0136,3547,0
2017-10-16,25.43,25.43,24.9964,24.9964,1811,0
2017-10-17,25.0386,25.05,25.0349,25.05,340,0
2017-10-18,25.12,26.36,25.12,25.14,31189,0
2017-10-19,25.31,25.31,25.05,25.11,6032,0
2017-10-20,25.13,25.18,25.12,25.17,1117,0
2017-10-23,25.2,25.2,25.1424,25.1424,2495,0
2017-10-24,25.12,25.14,25.12,25.13,3296,0
2017-10-25,25.11,25.11,24.97,25.05,4202798,0
2017-10-30,25.04,25.04,25.04,25.04,1607,0
2017-10-31,25.0943,25.13,25.0943,25.11,2866,0
2017-11-01,25.2017,25.21,25.19,25.19,1427,0
2017-11-03,25.1774,25.23,25.1774,25.23,3352,0
2017-11-07,25.27,25.27,25.27,25.27,853,0
2017-11-08,25.27,25.3396,25.27,25.3396,1657,0
2017-11-09,25.2222,25.2222,25.2222,25.2222,4050247,0
2017-11-10,25.1904,25.1904,25.1904,25.1904,205,0
2017-11-14,25.160,25.160,25.160,25.160,300,0
2017-11-15,25.110,25.110,25.110,25.110,2000400,0
2017-11-16,25.320,25.320,25.320,25.320,2000200,0
2017-11-17,25.210,25.210,25.190,25.190,2201100,0
2017-11-20,25.190,25.190,25.190,25.190,-,0
2017-11-21,25.230,25.386,25.230,25.386,2200,0
2017-11-22,25.386,25.386,25.386,25.386,-,0
2017-11-24,25.386,25.386,25.386,25.386,100,0
2017-11-27,25.386,25.386,25.386,25.386,-,0
2017-11-28,25.480,25.610,25.480,25.590,1800,0
2017-11-29,25.590,25.590,25.590,25.590,-,0
2017-11-30,25.590,25.590,25.590,25.590,100,0
2017-12-01,25.590,25.590,25.590,25.590,-,0
2017-12-04,25.959,25.959,25.959,25.959,400,0
2017-12-05,25.922,25.922,25.922,25.922,200,0
2017-12-06,25.922,25.922,25.922,25.922,1200000,0
2017-12-07,25.922,25.922,25.922,25.922,2700000,0
2017-12-08,25.922,25.922,25.922,25.922,1900000,0
2017-12-11,26.220,26.220,26.035,26.045,400,0
2017-12-12,26.045,26.045,26.045,26.045,-,0
2017-12-13,26.205,26.205,26.205,26.205,1150100,0
2017-12-14,26.205,26.205,26.205,26.205,2700000,0
2017-12-15,26.280,26.280,26.280,26.280,2000300,0
2017-12-18,26.400,26.410,26.400,26.410,200,0
