Date,Open,High,Low,Close,Volume,OpenInt
2017-07-20,24.4,24.4,24.4,24.4,100,0
2017-07-21,27.66,27.66,27.66,27.66,100,0
2017-07-25,25.1299,25.1299,25.12,25.12,801,0
2017-07-27,22.4,22.4,22.4,22.4,199,0
2017-07-31,21.43,21.43,21.43,21.43,168,0
2017-08-01,21.35,21.95,21.35,21.95,994,0
2017-08-02,22.11,22.11,21.64,21.64,1009,0
2017-08-03,22.22,22.22,22.22,22.22,162,0
2017-08-07,22.19,22.19,22,22,361,0
2017-08-08,21.52,21.52,21.52,21.52,137,0
2017-08-10,21.52,21.7874,21.52,21.7874,630,0
2017-08-11,23.01,23.2113,23,23,2382,0
2017-08-14,23.45,23.55,23.45,23.5201,3824,0
2017-08-15,24.51,24.51,24.06,24.12,2871,0
2017-08-16,24,24.8,23.68,24.8,1310,0
2017-08-17,24.63,24.77,24.58,24.58,2496,0
2017-08-21,22.73,24.11,22.73,24.11,398,0
2017-08-28,24.3734,24.3734,24.3734,24.3734,179,0
2017-08-29,26.286,26.286,26.286,26.286,169,0
2017-08-30,25.28,25.28,25.28,25.28,161,0
2017-08-31,23.96,23.96,23.96,23.96,130,0
2017-09-06,21.1818,21.2801,21.1818,21.2801,349,0
2017-09-07,21.32,21.32,21.32,21.32,278,0
2017-09-08,22.05,22.05,22.04,22.04,868,0
2017-09-11,23.85,23.85,22.43,22.43,2288,0
2017-09-12,22.4,22.4,22.4,22.4,174,0
2017-09-13,21.85,21.85,21.85,21.85,352,0
2017-09-15,20,20,20,20,1022,0
2017-09-21,19.85,19.85,19.85,19.85,143,0
2017-09-26,18.763,18.763,18.763,18.763,459,0
2017-09-27,18.08,18.08,18.08,18.08,180,0
2017-09-28,18.84,18.84,18.84,18.84,400,0
2017-10-04,20.19,20.19,20.12,20.12,227,0
2017-10-05,19.52,19.52,19.1879,19.1879,2658,0
2017-10-10,19.47,19.47,18.902,19.14,3190,0
2017-10-11,18.6603,18.6603,18.6603,18.6603,141,0
2017-10-12,19.295,19.42,19.295,19.42,3418,0
2017-10-13,18.5,18.6314,18.5,18.59,1905,0
2017-10-16,17.81,18.07,17.81,18.07,866,0
2017-10-17,18.26,18.26,18.0345,18.035,745,0
2017-10-18,18.16,18.16,18.15,18.16,804,0
2017-10-20,18.92,18.988,18.5446,18.5446,800,0
2017-10-23,18.1,18.1,18.1,18.1,197,0
2017-10-24,17.75,17.75,17.75,17.75,104,0
2017-10-25,17.76,17.9672,17.76,17.91,4338,0
2017-10-27,16.67,16.72,16.27,16.39,4336,0
2017-10-30,15.8401,16.18,15.8401,16.18,1293,0
2017-10-31,15.9328,15.9328,15.9328,15.9328,210,0
2017-11-01,15.64,16.08,15.64,16.08,1205,0
2017-11-03,14.76,14.8,14.76,14.8,294,0
2017-11-06,14.37,14.37,13.251,13.51,3724,0
2017-11-07,13.41,13.4599,13.4,13.42,2680,0
2017-11-08,13.69,13.69,13.55,13.55,801,0
2017-11-09,13.35,13.35,13.35,13.35,606,0
2017-11-10,13.81,13.81,13.67,13.67,612,0
2017-11-13,13.5930,13.9100,13.5930,13.9100,200,0
2017-11-14,14.5900,14.6750,14.5500,14.5500,1700,0
2017-11-15,14.8000,14.8000,14.8000,14.8000,300,0
2017-11-16,15.0490,15.0490,14.8000,14.8900,900,0
2017-11-17,14.0100,14.0100,13.8300,13.8300,1200,0
2017-11-20,14.1600,14.1600,14.1600,14.1600,200,0
2017-11-21,13.7000,13.8800,13.7000,13.8800,600,0
2017-11-22,13.2400,13.2400,13.0200,13.0900,1900,0
2017-11-24,12.4300,12.4300,12.4300,12.4300,200,0
2017-11-27,12.7500,12.9390,12.7500,12.8100,1700,0
2017-11-28,13.0400,13.0400,13.0400,13.0400,600,0
2017-11-29,12.9800,13.6600,12.7400,13.2550,17200,0
2017-11-30,13.3400,13.5000,13.2500,13.4200,2000,0
2017-12-01,12.5000,12.8100,12.3700,12.8100,1000,0
2017-12-04,13.0000,13.1700,13.0000,13.1700,500,0
2017-12-05,13.1140,13.1140,13.1140,13.1140,200,0
2017-12-06,13.6500,14.1860,13.6500,14.1860,5600,0
2017-12-07,13.8700,13.9800,13.6100,13.6600,6400,0
2017-12-08,13.1200,13.3000,13.1200,13.2600,2100,0
2017-12-11,13.0700,13.0700,12.8000,12.8000,5300,0
2017-12-12,12.8400,13.3600,12.8000,13.3000,5100,0
2017-12-13,13.2510,13.7100,13.2510,13.5600,3400,0
2017-12-14,13.8700,13.9100,13.3400,13.3400,7400,0
2017-12-15,13.1500,13.2600,13.1300,13.2300,4100,0
2017-12-18,13.1700,13.4000,12.9800,13.3800,17600,0
2017-12-19,13.3800,13.3800,13.3800,13.3800,-,0
2017-12-20,13.3800,13.3800,13.3800,13.3800,100,0
2017-12-21,12.5110,12.5800,12.5110,12.5800,800,0
2017-12-22,12.5800,12.5800,12.5800,12.5800,200,0
2017-12-26,12.3100,12.3100,11.5800,11.5800,1000,0
2017-12-27,11.7700,11.7700,11.7700,11.7700,200,0
2017-12-28,11.7700,11.7700,11.7700,11.7700,-,0
2017-12-29,11.2330,11.3170,10.9000,11.3170,500,0
2018-01-02,11.2500,11.2500,11.2500,11.2500,500,0
2018-01-03,11.2500,11.2500,11.2500,11.2500,-,0
2018-01-04,11.2500,11.2500,11.2500,11.2500,-,0
