Date,Open,High,Low,Close,Volume,OpenInt
2017-10-27,50.1364,50.16,50.1364,50.15,4231,0
2017-10-30,50.17,50.18,50.16,50.18,4765,0
2017-10-31,50.19,50.19,50.1483,50.1483,1427,0
2017-11-01,50.16,50.16,50.16,50.16,250000,0
2017-11-02,50.17,50.17,50.1625,50.17,3636,0
2017-11-03,50.19,50.19,50.17,50.17,4565,0
2017-11-06,50.22,50.23,50.21,50.23,3791,0
2017-11-07,50.16,50.16,50.14,50.16,4955,0
2017-11-08,50.18,50.18,50.16,50.16,6017,0
2017-11-09,50.1552,50.17,50.1552,50.16,3212,0
2017-11-10,50.1699,50.1699,50.1699,50.1699,304,0
2017-11-20,50.10,50.10,50.08,50.08,2000,0
2017-11-21,50.09,50.09,50.07,50.08,2300,0
2017-11-22,50.05,50.07,50.03,50.06,2500,0
2017-11-24,50.07,50.07,50.03,50.07,1200,0
2017-11-27,50.02,50.07,50.02,50.06,2900,0
2017-11-28,50.04,50.07,50.04,50.06,2300,0
2017-11-29,50.03,50.04,50.03,50.04,2000,0
2017-11-30,50.04,50.04,50.02,50.02,2200,0
2017-12-01,50.04,50.06,50.02,50.05,2600,0
2017-12-04,50.03,50.03,50.02,50.02,3600,0
2017-12-05,50.01,50.02,50.01,50.02,2400,0
2017-12-06,50.06,50.06,50.05,50.05,2200,0
2017-12-07,50.07,50.08,50.06,50.07,2300,0
2017-12-08,50.08,50.08,50.08,50.08,200,0
2017-12-11,50.07,50.07,50.06,50.07,2100,0
2017-12-12,50.00,50.00,49.99,49.99,2700,0
2017-12-13,50.01,50.05,50.01,50.05,3700,0
2017-12-14,50.03,50.05,50.01,50.03,3700,0
2017-12-15,50.02,50.02,49.99,50.02,4400,0
2017-12-18,49.93,49.94,49.90,49.92,4400,0
2017-12-19,49.90,49.90,49.85,49.88,2800,0
2017-12-20,50.02,50.02,50.00,50.01,2400,0
2017-12-21,50.02,50.03,50.02,50.02,2600,0
2017-12-22,50.01,50.01,50.00,50.01,3500,0
2017-12-26,49.98,50.03,49.98,50.03,2500,0
2017-12-27,50.05,50.07,50.05,50.06,2100,0
2017-12-28,50.07,50.07,50.05,50.06,2300,0
2017-12-29,50.09,50.09,50.08,50.08,2100,0
2018-01-02,50.08,50.08,50.04,50.06,3100,0
2018-01-03,50.06,50.07,50.06,50.06,2100,0
2018-01-04,50.05,50.06,50.00,50.05,4500,0
2018-01-05,49.95,49.95,49.92,49.93,2900,0
2018-01-08,49.95,49.95,49.94,49.95,8800,0
2018-01-09,49.91,49.95,49.91,49.92,103100,0
2018-01-10,49.92,49.94,49.91,49.94,3300,0
2018-01-11,49.94,49.96,49.93,49.95,3000,0
2018-01-12,49.93,49.95,49.93,49.94,7200,0
2018-01-16,49.95,49.95,49.93,49.93,4600,0
2018-01-17,49.88,49.91,49.87,49.91,9300,0
2018-01-18,49.88,49.89,49.88,49.89,103000,0
2018-01-19,49.89,54.88,49.87,49.87,3100,0
2018-01-22,49.84,49.88,49.84,49.88,2900,0
2018-01-23,49.91,49.94,49.91,49.94,2700,0
2018-01-24,49.90,49.90,49.87,49.88,2800,0
2018-01-25,49.87,49.91,49.85,49.91,2700,0
2018-01-26,49.85,49.86,49.82,49.86,4100,0
2018-01-29,49.83,49.86,49.83,49.85,5800,0
2018-01-30,49.86,49.86,49.83,49.83,4500,0
2018-01-31,49.80,49.83,49.80,49.81,2900,0
2018-02-01,49.84,49.84,49.81,49.81,5800,0
2018-02-02,49.78,49.80,49.73,49.78,5800,0
2018-02-05,49.78,49.85,49.76,49.85,2800,0
2018-02-06,49.81,49.83,49.80,49.80,3200,0
2018-02-07,49.81,49.81,49.70,49.70,4300,0
2018-02-08,49.77,49.77,49.72,49.77,700,0
2018-02-09,49.78,49.82,49.78,49.80,2200,0
2018-02-12,49.81,49.81,49.79,49.80,6500,0
2018-02-13,49.76,49.77,49.73,49.77,2500,0
2018-02-14,49.70,49.70,49.68,49.68,2300,0
2018-02-15,49.70,49.71,49.70,49.70,2900,0
2018-02-16,49.70,49.71,49.70,49.71,4400,0
2018-02-20,49.69,49.69,49.69,49.69,1600,0
2018-02-21,49.59,49.61,49.56,49.56,7800,0
2018-02-22,49.56,49.56,49.56,49.56,-,0
2018-02-23,49.63,49.64,49.63,49.63,5300,0
2018-02-26,49.68,49.68,49.65,49.66,6200,0
2018-02-27,49.65,49.65,49.54,49.58,5100,0
2018-02-28,49.58,49.58,49.58,49.58,-,0
2018-03-01,49.58,49.62,49.58,49.62,4200,0
2018-03-02,49.58,49.58,49.55,49.55,2400,0
2018-03-05,49.64,49.64,49.60,49.61,700,0
2018-03-06,49.55,49.59,49.55,49.58,4500,0
2018-03-07,49.57,49.61,49.57,49.60,3300,0
2018-03-08,49.60,49.60,49.60,49.60,-,0
2018-03-09,49.61,49.61,49.57,49.60,1900,0
2018-03-12,49.55,49.60,49.55,49.60,2400,0
2018-03-13,49.59,49.60,49.58,49.59,2200,0
2018-03-14,49.59,49.62,49.57,49.61,2700,0
2018-03-15,49.63,49.63,49.58,49.62,2700,0
2018-03-16,49.61,49.61,49.56,49.60,6400,0
2018-03-19,49.59,49.59,49.59,49.59,700,0
2018-03-20,49.56,49.56,49.55,49.55,3200,0
2018-03-21,49.58,49.58,49.58,49.58,2200,0
2018-03-22,49.63,49.63,49.60,49.60,3100,0
2018-03-23,49.52,49.52,49.52,49.52,600,0
2018-03-26,49.54,49.54,49.52,49.54,4400,0
2018-03-27,49.55,49.55,49.55,49.55,400,0
2018-03-28,49.53,49.55,49.53,49.55,4100,0
2018-03-29,49.59,49.60,49.59,49.60,2000,0
2018-04-02,49.57,49.61,49.53,49.59,5400,0
2018-04-03,49.56,49.57,49.53,49.56,3700,0
2018-04-04,49.58,49.58,49.57,49.57,3600,0
2018-04-05,49.57,49.57,49.56,49.57,3100,0
2018-04-06,49.58,49.59,49.58,49.59,500,0
2018-04-09,49.54,49.61,49.54,49.61,2115,0
