Date,Open,High,Low,Close,Volume,OpenInt
2017-10-27,50.18,50.33,50.18,50.31,3602,0
2017-10-30,50.23,50.23,49.54,49.66,3630,0
2017-10-31,50.08,50.08,50.08,50.08,140,0
2017-11-01,50.32,50.37,49.81,49.81,50562,0
2017-11-02,49.92,50.08,49.81,50.02,8214,0
2017-11-03,50.02,50.02,49.83,49.85,4633,0
2017-11-06,49.95,49.97,49.77,49.83,7622,0
2017-11-07,49.91,49.98,49.41,49.41,7521,0
2017-11-08,49.43,49.67,49.17,49.6,4331,0
2017-11-09,49.28,49.56,49.26,49.38,3237,0
2017-11-10,49.49,49.49,49.3299,49.3299,823,0
2017-11-16,49.67,49.94,49.67,49.80,8500,0
2017-11-17,49.72,50.08,49.72,49.95,3200,0
2017-11-20,50.13,50.33,50.03,50.33,4700,0
2017-11-21,50.62,50.93,50.62,50.93,5300,0
2017-11-22,51.11,51.11,50.83,50.83,4400,0
2017-11-24,50.99,50.99,50.79,50.79,1600,0
2017-11-27,50.90,50.90,50.60,50.60,53900,0
2017-11-28,50.90,51.27,50.90,51.27,116500,0
2017-11-29,51.47,51.50,51.13,51.18,17300,0
2017-11-30,51.36,51.36,51.16,51.28,2200,0
2017-12-01,51.38,51.38,49.94,51.00,3600,0
2017-12-04,51.63,51.63,50.71,50.73,3600,0
2017-12-05,50.68,50.80,50.42,50.43,2800,0
2017-12-06,50.28,50.31,50.22,50.23,2500,0
2017-12-07,50.49,50.72,50.47,50.55,2300,0
2017-12-08,50.73,50.73,50.50,50.50,500,0
2017-12-11,50.63,50.63,50.43,50.49,2800,0
2017-12-12,50.60,50.61,50.36,50.36,3600,0
2017-12-13,50.63,50.80,50.53,50.53,2900,0
2017-12-14,50.60,50.60,49.94,50.01,11000,0
2017-12-15,50.53,50.95,50.53,50.75,2800,0
2017-12-18,51.12,51.34,51.05,51.15,4800,0
2017-12-19,51.35,51.35,50.74,50.79,8500,0
2017-12-20,51.08,51.08,50.87,50.92,6100,0
2017-12-21,51.14,51.21,51.04,51.04,5000,0
2017-12-22,50.86,50.99,50.83,50.94,5900,0
2017-12-26,50.90,50.98,50.86,50.93,4000,0
2017-12-27,51.08,51.12,50.82,50.93,2700,0
2017-12-28,51.03,51.12,50.94,51.12,2700,0
2017-12-29,51.20,51.20,50.73,50.73,4800,0
2018-01-02,51.05,51.16,50.96,51.15,3700,0
2018-01-03,51.21,51.27,50.97,51.15,3800,0
2018-01-04,51.53,51.53,51.17,51.28,10300,0
2018-01-05,51.50,51.53,51.26,51.53,7200,0
2018-01-08,51.54,51.69,51.29,51.64,7200,0
2018-01-09,51.77,51.77,51.51,51.51,4500,0
2018-01-10,51.51,51.51,51.26,51.32,3900,0
2018-01-11,51.52,52.21,51.52,52.18,5400,0
2018-01-12,52.31,52.52,52.21,52.29,5500,0
2018-01-16,52.54,52.66,51.70,51.77,10900,0
2018-01-17,52.05,52.48,51.99,52.41,6900,0
2018-01-18,52.34,52.34,52.01,52.05,8100,0
2018-01-19,52.19,52.72,52.14,52.72,8200,0
2018-01-22,52.69,52.71,52.54,52.67,4300,0
2018-01-23,52.83,53.02,52.70,52.96,4400,0
2018-01-24,53.15,53.15,52.44,52.66,9000,0
2018-01-25,52.98,52.98,52.40,52.65,3700,0
2018-01-26,53.15,53.15,52.55,52.85,4700,0
2018-01-29,52.72,52.79,52.40,52.43,6400,0
2018-01-30,52.40,52.40,51.93,52.09,5200,0
2018-01-31,52.21,52.21,51.63,51.77,7800,0
2018-02-01,51.64,51.95,51.52,51.86,5400,0
2018-02-02,51.70,51.70,50.67,50.76,20500,0
2018-02-05,50.47,50.48,48.94,48.98,4800,0
2018-02-06,48.32,49.62,48.23,49.33,7000,0
2018-02-07,49.44,49.46,49.40,49.40,3000,0
2018-02-08,49.57,49.57,47.97,48.11,11100,0
2018-02-09,48.26,48.58,47.00,48.16,5300,0
2018-02-12,48.36,48.82,48.25,48.63,5200,0
2018-02-13,48.48,48.81,48.34,48.78,3500,0
2018-02-14,48.69,49.66,48.69,49.58,20100,0
2018-02-15,49.75,50.17,49.48,50.17,5200,0
2018-02-16,50.25,50.53,50.25,50.37,6400,0
2018-02-20,50.20,50.20,50.00,50.00,3400,0
2018-02-21,50.16,50.62,50.14,50.14,7200,0
2018-02-22,50.22,50.45,50.04,50.04,900,0
2018-02-23,50.22,50.52,50.01,50.52,5700,0
2018-02-26,50.61,50.81,50.41,50.77,4200,0
2018-02-27,50.91,50.94,50.12,50.12,5000,0
2018-02-28,51.61,51.61,49.31,49.34,1800,0
2018-03-01,49.52,49.53,48.80,49.09,5900,0
2018-03-02,48.73,49.64,48.73,49.51,5400,0
2018-03-05,49.64,50.12,49.49,50.12,3400,0
2018-03-06,50.35,50.63,49.95,50.62,5000,0
2018-03-07,50.27,51.14,50.27,51.06,3700,0
2018-03-08,50.97,51.02,50.91,51.02,1100,0
