Date,Open,High,Low,Close,Volume,OpenInt
2017-04-27,13.5,13.89,13.5,13.5,586652,0
2017-04-28,13.5,13.555,13.5,13.5,37531,0
2017-05-01,13.599,13.85,11.05,13.52,26761,0
2017-05-02,13.5201,13.53,13.5,13.5,11901,0
2017-05-03,13.5,13.5797,13.5,13.51,3882,0
2017-05-04,13.63,13.63,13.5,13.52,7428,0
2017-05-05,13.5,13.55,13.5,13.5001,6762,0
2017-05-08,13.5,13.6,13.5,13.5,4047,0
2017-05-09,13.5989,13.5989,13.5,13.52,1942,0
2017-05-10,13.51,13.73,13.5,13.52,8352,0
2017-05-11,13.52,13.52,13.5,13.52,2714,0
2017-05-12,13.5,13.73,13.5,13.5001,2404,0
2017-05-15,13.57,13.57,13.5,13.51,6334,0
2017-05-16,13.49,13.5162,13.49,13.508,2479,0
2017-05-17,13.33,13.445,13.33,13.445,600,0
2017-05-18,13.5,13.6,13.5,13.52,4128,0
2017-05-19,13.519,13.52,13.5,13.52,7507,0
2017-05-22,13.72,17.5,13.5299,15.6,38050,0
2017-05-23,16,16.2601,15.3,16.26,25693,0
2017-05-24,16.51,16.95,15.5501,15.75,29393,0
2017-05-25,15.99,16.59,14.85,15.63,13161,0
2017-05-26,15.13,15.49,14.59,14.895,2128,0
2017-05-30,14.76,15,13.85,14.15,13624,0
2017-05-31,14.12,14.25,13.62,13.93,7093,0
2017-06-01,13.81,13.81,13.61,13.8,2340,0
2017-06-02,13.6555,13.7118,13.5,13.69,4116,0
2017-06-05,13.5,13.8835,13.17,13.4,10834,0
2017-06-06,13.36,13.5699,13.2,13.2,5092,0
2017-06-07,13.19,13.63,12.97,13.23,7194,0
2017-06-08,13.05,13.11,12.7,12.85,3498,0
2017-06-09,12.81,12.918,12.6,12.69,1555,0
2017-06-12,12.6,12.6048,12.4,12.4445,4380,0
2017-06-13,12.4,12.4,12.28,12.34,1716,0
2017-06-14,12.3323,12.6899,12.3,12.6899,3051,0
2017-06-15,12.6858,12.6858,12.35,12.35,3374,0
2017-06-16,12.41,12.6533,12.2,12.64,4376,0
2017-06-19,12.5,12.5,12.01,12.01,1540,0
2017-06-20,12.64,12.64,11.7,11.94,15858,0
2017-06-21,11.81,12.28,11.7,11.73,8005,0
2017-06-22,11.92,11.92,11.45,11.5201,6381,0
2017-06-23,11.5,12.05,11.43,12.04,13644,0
2017-06-26,12.12,12.12,11.92,12.09,503,0
2017-06-27,12.23,12.25,12.0668,12.0697,4513,0
2017-06-28,11.86,11.86,11.0307,11.4,5224,0
2017-06-29,11.3,11.6,11.3,11.6,2939,0
2017-06-30,11.5575,11.655,11.5173,11.655,10360,0
2017-07-05,11.79,11.88,11.6623,11.88,1471,0
2017-07-06,11.7464,12.0899,11.7464,12.0899,400,0
2017-07-07,11.9,11.95,11.9,11.95,411,0
2017-07-10,11.8896,11.8896,11.8,11.8,525,0
2017-07-11,11.78,11.78,11.5001,11.54,844,0
2017-07-12,11.61,11.9,11.6,11.79,3410,0
2017-07-13,11.75,12,11.75,11.9999,4912,0
2017-07-14,11.73,11.73,11.7101,11.7101,1191,0
2017-07-17,11.6201,11.9999,11.6101,11.9825,5200,0
2017-07-18,12,12,12,12,101,0
2017-07-21,12.1,12.1999,12.08,12.08,700,0
2017-07-24,12.1,12.35,12.1,12.17,687,0
2017-07-25,12.22,12.23,12.15,12.15,1524,0
2017-07-26,12.05,12.05,12.03,12.0474,903,0
2017-07-27,12.178,12.178,11.95,11.95,1050,0
2017-07-28,11.8,12.49,11.8,12.49,200,0
2017-07-31,12.3781,12.3781,11.82,11.82,1340,0
2017-08-01,11.8,12.28,11.8,12.28,686,0
2017-08-02,12.1404,12.4,12.1404,12.31,2350,0
2017-08-03,11.97,11.97,11.95,11.95,225,0
2017-08-04,11.9913,11.9913,11.8,11.8,1250,0
2017-08-07,11.8,12,11.6799,11.97,5375,0
2017-08-08,12.2,12.25,12.11,12.11,5638,0
2017-08-09,12.15,12.15,12.11,12.11,400,0
2017-08-10,12.36,12.36,12.24,12.24,700,0
2017-08-15,12.29,12.29,12.2,12.2,480,0
2017-08-16,12.2835,12.2836,12.2702,12.2702,1301,0
2017-08-17,12.22,12.22,12.22,12.22,230,0
2017-08-18,12.46,12.46,12.3185,12.4028,1050,0
2017-08-21,12.48,12.65,12.48,12.65,1400,0
2017-08-22,12.5,12.5475,12.5,12.5475,700,0
2017-08-24,12.51,12.51,12.51,12.51,200,0
2017-08-25,12.5675,12.5675,12.1192,12.1192,500,0
2017-08-28,12.22,12.65,12.22,12.65,301,0
2017-08-29,12.6999,12.6999,12.6999,12.6999,200,0
2017-08-30,12.3,12.4,12.21,12.4,700,0
2017-08-31,12.11,12.11,12.11,12.11,100,0
2017-09-01,12.16,12.2284,12.16,12.2284,854,0
2017-09-05,11.528,12.1,11.528,12.1,13867,0
2017-09-06,11.9574,11.9574,11.9574,11.9574,402,0
2017-09-07,13.75,16.8,13.75,16.66,112726,0
2017-09-08,16.7,17.1999,15.8937,16.89,37587,0
2017-09-11,17,17.5,16.63,16.95,23007,0
2017-09-12,16.8,16.8,16.3,16.4,1918,0
2017-09-13,15.8,16,15.8,16,1179,0
2017-09-14,15.95,15.9854,15.87,15.9665,3799,0
2017-09-15,16.1301,16.19,15.81,15.858,5008,0
2017-09-18,15.8,15.8,15.12,15.184,4554,0
2017-09-19,15.5,15.5,14.96,15.2,5391,0
2017-09-20,15,15,14.94,14.94,260,0
2017-09-21,15.0054,15.03,15,15.03,868,0
2017-09-22,15.0376,15.375,15.0376,15.375,4371,0
2017-09-25,15.499,15.59,15.42,15.4201,2000,0
2017-09-26,15.45,15.45,15.035,15.04,1647,0
2017-09-27,15.6,15.8,15.23,15.24,4002,0
2017-09-28,15.35,15.35,15.3,15.3,800,0
2017-09-29,15.3,15.36,15.25,15.35,1424,0
2017-10-02,15.3,15.7,15.3,15.7,3357,0
2017-10-03,15.3999,15.5,15.3999,15.5,3000,0
2017-10-04,15.5,15.5001,15.5,15.5001,1427,0
2017-10-05,15.53,15.78,15.5,15.75,10912,0
2017-10-06,15.25,15.5244,15.25,15.2805,2462,0
2017-10-09,15.1,15.3,15.1,15.3,1300,0
2017-10-10,15.32,15.3201,15.01,15.01,3351,0
2017-10-11,15.01,15.2581,15.01,15.1601,4612,0
2017-10-12,15.11,15.5441,15.11,15.5441,3131,0
2017-10-13,15.473,15.988,15.473,15.71,1155,0
2017-10-16,15.7,16.4356,14.65,14.66,23153,0
2017-10-17,15.33,15.33,15.0252,15.0252,2030,0
2017-10-18,15.06,15.08,15.06,15.08,354,0
2017-10-19,15.3879,15.85,14.86,14.91,4278,0
2017-10-20,14.5,14.5,14.5,14.5,100,0
2017-10-23,14.49,14.49,14.35,14.49,2710,0
2017-10-24,14.0801,14.4206,14.0801,14.325,3100,0
2017-10-25,14.24,14.25,13.5,13.5,12969,0
2017-10-26,13.8836,13.97,13.6,13.87,6819,0
2017-10-27,13.98,13.98,13.4,13.475,2831,0
2017-10-30,13.7499,13.7499,13.7499,13.7499,130,0
2017-10-31,13.4,13.4,12.77,13.35,8812,0
2017-11-01,13.69,13.75,13.42,13.75,6890,0
2017-11-02,13.55,13.55,13.55,13.55,108,0
2017-11-06,14.13,14.13,13.9899,13.9899,394,0
2017-11-07,13.85,13.85,13.4,13.404,1700,0
2017-11-09,13.065,13.1145,12.9258,12.9258,2000,0
2017-11-10,12.76,12.8,12.41,12.4796,1078,0
2017-11-13,12.30,12.44,12.20,12.44,1900,0
2017-11-14,12.44,12.44,12.44,12.44,400,0
2017-11-15,12.39,12.39,11.90,11.90,4100,0
2017-11-16,11.98,11.98,11.50,11.50,1700,0
2017-11-17,11.61,12.19,11.60,11.60,1600,0
2017-11-20,11.80,11.80,11.40,11.49,6600,0
2017-11-21,11.30,11.30,10.44,10.80,8400,0
2017-11-22,11.16,11.17,10.85,11.17,1900,0
2017-11-24,11.18,11.20,11.18,11.19,400,0
2017-11-27,11.49,11.49,11.40,11.40,400,0
2017-11-28,11.40,11.40,11.40,11.40,-,0
2017-11-29,11.20,11.50,11.20,11.50,600,0
2017-11-30,11.16,11.49,11.16,11.20,2600,0
2017-12-01,11.31,12.50,11.31,11.61,12500,0
2017-12-04,11.45,11.45,11.31,11.31,2200,0
2017-12-05,11.38,11.80,11.38,11.80,7700,0
2017-12-06,11.65,11.80,11.58,11.58,700,0
2017-12-07,11.50,11.73,11.38,11.38,9800,0
2017-12-08,11.38,11.38,11.38,11.38,-,0
2017-12-11,11.58,11.60,11.30,11.60,1300,0
2017-12-12,11.62,11.62,11.51,11.51,700,0
2017-12-13,11.80,11.80,11.75,11.75,200,0
2017-12-14,12.14,12.50,11.48,11.92,6700,0
2017-12-15,11.84,12.44,11.43,11.88,19300,0
2017-12-18,12.03,12.35,11.78,11.94,7300,0
2017-12-19,11.75,11.90,11.44,11.70,8400,0
2017-12-20,11.50,11.83,11.42,11.59,9300,0
2017-12-21,11.57,11.69,10.74,11.55,16600,0
2017-12-22,11.80,12.50,11.41,12.10,10300,0
2017-12-26,12.45,12.50,11.40,11.71,8000,0
2017-12-27,11.30,11.30,11.30,11.30,100,0
2017-12-28,11.92,11.92,11.64,11.91,700,0
2017-12-29,11.61,11.92,11.61,11.87,2300,0
2018-01-02,11.05,12.67,11.05,12.34,11400,0
2018-01-03,12.45,12.45,11.73,12.35,25900,0
2018-01-04,12.35,12.35,11.62,12.21,10400,0
2018-01-05,12.25,12.50,12.12,12.50,6100,0
2018-01-08,12.49,12.50,12.49,12.50,600,0
2018-01-09,12.18,12.82,12.18,12.82,15000,0
2018-01-10,12.75,12.75,12.32,12.32,300,0
