Date,Open,High,Low,Close,Volume,OpenInt
2017-04-19,25.144,25.145,25.105,25.105,9781,0
2017-04-20,25.482,25.482,25.175,25.294,14597,0
2017-04-21,25.294,25.294,25.294,25.294,302,0
2017-04-24,25.459,25.459,25.453,25.453,1412,0
2017-04-25,25.6,25.661,25.571,25.621,42295,0
2017-04-26,26.037,26.037,25.621,25.681,40598,0
2017-04-27,25.671,25.671,25.661,25.661,4607,0
2017-04-28,25.531,25.531,25.482,25.492,5249,0
2017-05-01,25.443,25.443,25.423,25.423,1624,0
2017-05-02,25.393,25.413,25.393,25.413,439,0
2017-05-03,25.363,25.373,25.294,25.353,8487,0
2017-05-04,25.492,25.492,25.492,25.492,19237,0
2017-05-05,25.73,25.73,25.546,25.621,1296,0
2017-05-08,25.614,25.614,25.581,25.581,398,0
2017-05-09,25.479,25.492,25.463,25.463,2460,0
2017-05-10,25.443,25.443,25.443,25.443,517,0
2017-05-11,25.691,25.691,25.413,25.463,7322,0
2017-05-12,25.386,25.413,25.386,25.413,4512,0
2017-05-15,25.521,25.521,25.373,25.482,2247,0
2017-05-17,25.207,25.207,25.207,25.207,200,0
2017-05-18,25.199,25.327,25.199,25.327,905,0
2017-05-19,25.446,25.456,25.446,25.456,804,0
2017-05-22,25.549,25.561,25.549,25.561,2587,0
2017-05-23,25.574,25.614,25.554,25.554,510,0
2017-05-24,25.524,25.554,25.524,25.541,1310,0
2017-05-25,25.701,25.763,25.664,25.744,7227,0
2017-05-26,25.752,25.752,25.752,25.752,504,0
2017-05-30,25.747,25.747,25.747,25.747,116,0
2017-05-31,25.818,25.879,25.818,25.879,2043,0
2017-06-01,25.963,26.032,25.923,26.022,3793,0
2017-06-02,26.091,26.191,26.081,26.141,4486,0
2017-06-05,26.141,26.141,26.091,26.121,2944,0
2017-06-06,25.949,25.973,25.923,25.923,5382,0
2017-06-07,25.943,25.973,25.923,25.973,449,0
2017-06-08,25.933,25.933,25.903,25.903,800,0
2017-06-09,26.002,26.012,25.973,26.012,3261,0
2017-06-12,26.022,26.032,26.022,26.029,26762,0
2017-06-13,26.132,26.192,26.132,26.172,705,0
2017-06-14,26.39,26.39,26.227,26.251,972,0
2017-06-15,26.321,26.321,26.321,26.321,311,0
2017-06-16,26.042,26.172,26.013,26.172,2014,0
2017-06-19,26.28,26.29,26.28,26.29,922,0
2017-06-20,26.182,26.182,26.102,26.102,479,0
2017-06-21,26.082,26.082,25.973,25.973,1205,0
2017-06-23,25.903,25.923,25.893,25.893,507,0
2017-06-26,25.983,25.983,25.933,25.973,738,0
2017-06-27,25.909,25.909,25.79,25.813,7385,0
2017-06-28,25.983,26.042,25.983,26.042,403,0
2017-06-29,25.853,25.853,25.594,25.733,804,0
2017-06-30,25.903,25.913,25.879,25.913,2253,0
2017-07-03,25.949,25.949,25.949,25.949,503,0
2017-07-05,25.873,25.903,25.873,25.903,79172,0
2017-07-06,25.769,25.769,25.769,25.769,100,0
2017-07-07,25.823,25.873,25.823,25.873,13566,0
2017-07-10,25.753,25.843,25.743,25.783,6934,0
2017-07-14,25.803,25.853,25.803,25.853,200,0
2017-07-18,25.843,25.843,25.84,25.84,1426,0
2017-07-21,25.863,25.953,25.863,25.953,202,0
2017-07-25,26.023,26.062,26.023,26.062,200,0
2017-07-26,26.013,26.013,26.013,26.013,100,0
2017-07-31,26.115,26.115,26.115,26.115,804,0
2017-08-02,26.062,26.122,26.062,26.122,200,0
2017-08-04,26.052,26.052,26.052,26.052,1921,0
2017-08-08,26.112,26.152,26.013,26.013,804,0
2017-08-09,25.983,26.003,25.954,25.954,503,0
2017-08-15,26.014,26.014,26.014,26.014,672,0
2017-08-16,26.038,26.045,26.038,26.045,1505,0
2017-08-17,25.778,25.778,25.778,25.778,132,0
2017-08-24,25.514,25.515,25.514,25.514,737,0
2017-08-28,25.426,25.426,25.409,25.409,1174,0
2017-09-06,25.674,25.674,25.624,25.624,408,0
2017-09-13,25.804,25.804,25.754,25.754,300,0
2017-09-19,25.714,25.714,25.714,25.714,121,0
2017-09-20,25.894,25.894,25.894,25.894,100,0
2017-09-22,25.92,25.92,25.92,25.92,262,0
2017-09-28,26.134,26.193,26.131,26.193,2047,0
2017-10-04,26.423,26.423,26.423,26.423,1565,0
2017-10-09,26.463,26.463,26.463,26.463,1001,0
2017-10-11,26.453,26.453,26.453,26.453,622,0
2017-10-12,26.475,26.475,26.475,26.475,1202,0
2017-10-13,26.578,26.578,26.552,26.552,681,0
2017-10-17,26.5699,26.57,26.55,26.55,779,0
2017-10-23,26.86,26.86,26.86,26.86,128,0
2017-11-06,26.67,26.675,26.67,26.67,3351,0
2017-11-07,26.6766,26.6864,26.6766,26.6864,244,0
2017-11-09,26.51,26.51,26.51,26.51,207,0
2017-11-17,26.8200,26.8200,26.8200,26.8200,-,0
2017-11-20,26.8200,26.8200,26.8200,26.8200,-,0
2017-11-21,26.8200,26.8200,26.8200,26.8200,-,0
2017-11-22,26.8200,26.8200,26.8200,26.8200,-,0
2017-11-24,26.8200,26.8200,26.8200,26.8200,-,0
2017-11-27,26.8200,26.8200,26.8200,26.8200,-,0
2017-11-28,26.8200,26.8200,26.8200,26.8200,-,0
2017-11-29,27.6700,27.6700,27.6700,27.6700,200,0
2017-11-30,27.6700,27.6700,27.6700,27.6700,-,0
2017-12-01,27.6700,27.6700,27.6700,27.6700,-,0
2017-12-04,28.1710,28.1710,28.1710,28.1710,100,0
2017-12-05,28.1710,28.1710,28.1710,28.1710,-,0
2017-12-06,28.1710,28.1710,28.1710,28.1710,-,0
2017-12-07,28.1710,28.1710,28.1710,28.1710,-,0
2017-12-08,28.1100,28.1100,28.1100,28.1100,200,0
2017-12-11,28.1200,28.1200,28.1200,28.1200,1000,0
2017-12-12,28.1200,28.1200,28.1200,28.1200,-,0
2017-12-13,28.1200,28.1200,28.1200,28.1200,-,0
2017-12-14,28.0100,28.0100,28.0100,28.0100,400,0
2017-12-15,28.4500,28.4500,28.4500,28.4500,700,0
2017-12-18,28.4500,28.4500,28.4500,28.4500,-,0
2017-12-19,28.4500,28.4500,28.4500,28.4500,-,0
2017-12-20,28.4200,28.5200,28.4200,28.4650,7800,0
2017-12-21,28.4900,28.5100,28.4900,28.5100,1800,0
