Date,Open,High,Low,Close,Volume,OpenInt
2017-11-09,84.75,84.88,84.69,84.76,20566,0
2017-11-10,84.74,84.74,84.4,84.4,36317,0
2017-11-20,84.80,84.81,84.51,84.55,34700,0
2017-11-21,84.73,84.90,84.73,84.75,6200,0
2017-11-22,84.97,85.09,84.88,85.08,14500,0
2017-11-24,85.09,85.12,84.97,85.05,7100,0
2017-11-27,85.09,85.09,84.90,85.01,25100,0
2017-11-28,85.14,85.14,85.01,85.01,4600,0
2017-11-29,85.02,85.02,84.67,84.84,15500,0
2017-11-30,84.82,84.92,84.69,84.69,21000,0
2017-12-01,84.82,84.92,84.50,84.75,11600,0
2017-12-04,85.02,85.02,84.65,84.78,11400,0
2017-12-05,84.82,84.98,84.67,84.89,12400,0
2017-12-06,85.23,85.23,85.03,85.03,19600,0
2017-12-07,85.20,85.20,84.90,84.91,14000,0
2017-12-08,84.90,84.95,84.82,84.87,4200,0
2017-12-11,85.00,85.03,84.86,84.89,11500,0
2017-12-12,84.89,84.89,84.70,84.79,18400,0
2017-12-13,84.99,85.19,84.86,85.17,12200,0
2017-12-14,85.14,85.24,85.06,85.24,9200,0
2017-12-15,85.30,85.36,85.18,85.35,8000,0
2017-12-18,85.49,85.49,85.07,85.11,16200,0
2017-12-19,85.24,85.24,84.70,84.80,13400,0
2017-12-20,84.57,84.67,84.54,84.60,8200,0
2017-12-21,84.66,84.76,84.60,84.72,8100,0
2017-12-22,84.71,85.45,84.68,84.73,5700,0
2017-12-26,88.99,88.99,84.51,84.51,10900,0
2017-12-27,84.79,84.95,84.74,84.94,5800,0
2017-12-28,85.11,85.15,84.80,84.99,13900,0
2017-12-29,84.91,85.06,84.86,85.00,4800,0
2018-01-02,85.06,85.06,84.52,84.63,27500,0
2018-01-03,84.68,84.84,84.68,84.78,8400,0
2018-01-04,84.77,84.80,84.60,84.80,27400,0
2018-01-05,84.77,84.84,84.60,84.70,18000,0
2018-01-08,84.86,84.86,84.64,84.71,11900,0
2018-01-09,84.68,84.68,84.41,84.43,23400,0
2018-01-10,84.35,84.54,84.23,84.52,11700,0
2018-01-11,84.48,84.70,84.48,84.59,12300,0
2018-01-12,84.50,84.76,84.50,84.74,19800,0
2018-01-16,84.88,84.88,84.65,84.72,12900,0
2018-01-17,84.88,84.88,84.52,84.55,17600,0
2018-01-18,85.10,85.10,84.27,84.28,14400,0
2018-01-19,84.28,84.28,84.12,84.13,15100,0
2018-01-22,84.18,84.22,84.07,84.08,11900,0
2018-01-23,84.30,84.39,84.26,84.34,19700,0
2018-01-24,84.25,84.25,84.12,84.22,6400,0
2018-01-25,84.42,84.59,84.21,84.58,14800,0
2018-01-26,84.64,84.64,84.36,84.47,11900,0
2018-01-29,84.38,84.38,84.16,84.25,20700,0
2018-01-30,84.22,84.22,84.02,84.10,10100,0
2018-01-31,84.30,84.31,84.06,84.27,9600,0
2018-02-01,84.11,84.11,83.72,83.72,15200,0
2018-02-02,83.63,83.63,83.29,83.32,15600,0
2018-02-05,83.32,83.60,83.07,83.46,25300,0
2018-02-06,83.55,83.55,83.20,83.38,5100,0
2018-02-07,83.27,83.45,83.13,83.13,4200,0
2018-02-08,83.00,83.03,82.73,82.77,13400,0
2018-02-09,82.57,82.75,82.53,82.58,27600,0
2018-02-12,82.72,82.81,82.61,82.65,5600,0
2018-02-13,82.75,82.75,82.43,82.44,9100,0
2018-02-14,82.36,82.50,82.21,82.37,6000,0
2018-02-15,82.20,82.75,82.05,82.54,14900,0
2018-02-16,82.79,82.79,82.56,82.64,8400,0
2018-02-20,82.59,82.59,82.40,82.47,6700,0
2018-02-21,82.60,82.60,82.14,82.15,6700,0
2018-02-22,82.44,82.47,82.25,82.27,25300,0
2018-02-23,82.50,82.57,82.40,82.53,4300,0
2018-02-26,82.68,82.75,82.59,82.63,4100,0
2018-02-27,82.54,82.60,82.26,82.29,4100,0
2018-02-28,82.38,82.51,82.38,82.45,5300,0
2018-03-01,83.91,83.91,82.09,82.35,9800,0
2018-03-02,82.18,82.18,82.00,82.00,9100,0
2018-03-05,82.20,82.25,81.99,82.05,7900,0
2018-03-06,81.20,82.22,81.20,82.09,5600,0
2018-03-07,82.13,82.16,82.03,82.03,2900,0
2018-03-08,82.03,82.27,82.03,82.16,1600,0
2018-03-09,82.00,82.10,81.98,82.10,7000,0
2018-03-12,82.13,82.13,82.01,82.02,10800,0
2018-03-13,82.13,82.13,81.95,82.12,5800,0
2018-03-14,82.15,82.25,82.09,82.20,2900,0
2018-03-15,82.21,82.33,82.21,82.24,3100,0
2018-03-16,82.22,82.24,82.09,82.22,3300,0
2018-03-19,82.15,82.21,82.03,82.06,6800,0
2018-03-20,81.87,81.88,81.83,81.83,6500,0
2018-03-21,81.68,81.77,81.60,81.64,3600,0
2018-03-22,82.10,82.10,81.86,81.96,3000,0
2018-03-23,81.82,81.86,81.78,81.82,1900,0
2018-03-26,81.83,81.97,81.72,81.79,2700,0
2018-03-27,82.02,82.09,82.02,82.08,3600,0
2018-03-28,82.37,82.37,82.30,82.30,900,0
2018-03-29,82.32,82.64,82.32,82.59,1000,0
2018-04-02,82.34,82.39,82.22,82.37,2200,0
2018-04-03,82.22,82.33,82.08,82.20,4000,0
2018-04-04,82.16,82.34,82.16,82.25,4000,0
2018-04-05,82.14,82.18,82.13,82.15,2800,0
2018-04-06,82.43,82.61,82.34,82.61,15100,0
2018-04-09,82.40,82.51,82.25,82.43,11920,0
