Date,Open,High,Low,Close,Volume,OpenInt
2016-12-22,24.34,24.379,24.34,24.36,719,0
2016-12-23,24.299,24.33,24.282,24.33,442230,0
2016-12-27,24.41,24.41,24.321,24.389,139102,0
2016-12-28,24.392,24.392,24.11,24.12,366377,0
2016-12-29,24.217,24.217,24.158,24.177,6226,0
2016-12-30,24.255,24.255,23.983,24.022,7115,0
2017-01-03,24.742,24.742,24.205,24.285,6827,0
2017-01-04,24.489,24.578,24.441,24.538,14028,0
2017-01-05,24.305,24.305,23.857,23.983,22331,0
2017-01-06,23.876,23.934,23.876,23.904,11451,0
2017-01-09,23.751,23.751,23.632,23.632,7799,0
2017-01-10,23.787,23.857,23.709,23.709,2485,0
2017-01-11,23.729,23.767,23.705,23.749,3519,0
2017-01-12,23.707,23.722,23.632,23.72,6471,0
2017-01-13,23.804,23.804,23.661,23.695,10126,0
2017-01-17,23.778,23.778,23.632,23.681,2010,0
2017-01-18,23.642,23.642,23.554,23.64,7235,0
2017-01-19,23.642,23.642,23.447,23.473,3556,0
2017-01-20,23.642,23.661,23.524,23.574,3706,0
2017-01-23,23.466,23.484,23.437,23.437,2163,0
2017-01-24,23.69,23.763,23.69,23.73,16987,0
2017-01-25,23.914,23.914,23.885,23.885,2398,0
2017-01-26,23.827,23.842,23.72,23.72,3556,0
2017-01-27,23.768,23.768,23.594,23.622,4949,0
2017-01-30,23.459,23.476,23.399,23.476,2930,0
2017-01-31,23.408,23.584,23.408,23.574,12984,0
2017-02-01,23.437,23.457,23.379,23.42,4006,0
2017-02-02,23.262,23.427,23.262,23.427,4930,0
2017-02-03,23.534,23.656,23.515,23.622,6985,0
2017-02-06,23.584,23.584,23.505,23.554,5128,0
2017-02-07,23.515,23.524,23.408,23.448,6136,0
2017-02-08,23.417,23.594,23.417,23.574,15303,0
2017-02-09,23.72,23.749,23.692,23.72,8827,0
2017-02-10,23.787,23.827,23.72,23.827,5866,0
2017-02-13,23.832,23.884,23.823,23.858,13569,0
2017-02-14,23.867,23.914,23.837,23.904,8143,0
2017-02-15,23.881,23.944,23.867,23.914,11386,0
2017-02-16,23.909,23.914,23.837,23.876,4470,0
2017-02-17,23.837,23.884,23.827,23.884,5093,0
2017-02-21,24.139,24.205,24.139,24.171,9808,0
2017-02-22,24.305,24.305,24.121,24.177,5330,0
2017-02-23,24.28,24.338,24.251,24.251,13994,0
2017-02-24,24.331,24.362,24.295,24.362,19328,0
2017-02-27,24.362,24.382,24.285,24.372,7590,0
2017-02-28,24.258,24.258,24.167,24.167,1291,0
2017-03-01,24.362,24.412,24.324,24.353,17557,0
2017-03-02,24.305,24.402,24.305,24.314,12161,0
2017-03-03,24.187,24.217,24.187,24.215,2078,0
2017-03-06,24.197,24.197,24.08,24.158,3743,0
2017-03-07,24.021,24.031,24.002,24.002,11365,0
2017-03-08,24.09,24.095,24.051,24.054,8290,0
2017-03-09,24.027,24.027,23.904,23.944,6998,0
2017-03-10,24.031,24.076,24.031,24.051,2026,0
2017-03-13,24.06,24.08,24.036,24.08,7509,0
2017-03-14,24.016,24.031,24.002,24.031,18324,0
2017-03-15,24.139,24.251,24.113,24.248,3271,0
2017-03-16,24.24,24.252,24.238,24.247,5939,0
