Date,Open,High,Low,Close,Volume,OpenInt
2017-07-12,29.442,29.442,29.233,29.233,1004,0
2017-07-13,29.183,29.582,29.183,29.223,5221,0
2017-07-17,29.731,29.731,29.731,29.731,403,0
2017-07-26,29.676,29.676,29.676,29.676,100,0
2017-07-27,29.631,29.631,29.631,29.631,311,0
2017-08-09,29.411,29.411,29.285,29.285,271,0
2017-08-29,29.382,29.382,29.382,29.382,100,0
2017-09-12,30.227,30.227,30.227,30.227,196,0
2017-09-13,30.373,30.373,30.373,30.373,100,0
2017-09-14,29.96,29.97,29.96,29.97,402,0
2017-10-26,30.9,30.9,30.79,30.79,2400,0
2017-11-08,31.0707,31.0959,31.0707,31.0959,300,0
2017-10-25,30.09,30.09,30.09,30.09,-,0
2017-10-26,30.90,30.90,30.79,30.79,2400,0
2017-10-27,30.79,30.79,30.79,30.79,-,0
2017-10-30,30.79,30.79,30.79,30.79,-,0
2017-10-31,30.79,30.79,30.79,30.79,-,0
2017-11-01,30.79,30.79,30.79,30.79,-,0
2017-11-02,30.79,30.79,30.79,30.79,-,0
2017-11-03,30.79,30.79,30.79,30.79,-,0
2017-11-06,30.79,30.79,30.79,30.79,-,0
2017-11-07,30.79,30.79,30.79,30.79,-,0
2017-11-08,31.07,31.10,31.07,31.10,300,0
2017-11-09,31.10,31.10,31.10,31.10,-,0
2017-11-10,31.10,31.10,31.10,31.10,-,0
2017-11-13,31.10,31.10,31.10,31.10,-,0
2017-11-14,31.10,31.10,31.10,31.10,-,0
2017-11-15,31.10,31.10,31.10,31.10,-,0
2017-11-16,31.10,31.10,31.10,31.10,-,0
2017-11-17,31.10,31.10,31.10,31.10,-,0
2017-11-20,31.10,31.10,31.10,31.10,-,0
2017-11-21,31.10,31.10,31.10,31.10,-,0
2017-11-22,31.10,31.10,31.10,31.10,-,0
2017-11-24,31.10,31.10,31.10,31.10,-,0
2017-11-27,31.10,31.10,31.10,31.10,-,0
2017-11-28,31.10,31.10,31.10,31.10,-,0
2017-11-29,31.10,31.10,31.10,31.10,-,0
2017-11-30,31.50,31.50,31.50,31.50,200,0
2017-12-01,31.50,31.50,31.50,31.50,-,0
2017-12-04,32.93,32.93,32.93,32.93,200,0
2017-12-05,32.93,32.93,32.93,32.93,-,0
2017-12-06,31.52,31.52,31.52,31.52,300,0
2017-12-07,31.46,31.51,31.46,31.51,600,0
2017-12-08,31.51,31.51,31.51,31.51,-,0
2017-12-11,31.51,31.51,31.51,31.51,-,0
2017-12-12,31.70,31.70,31.70,31.70,200,0
2017-12-13,31.72,31.72,31.67,31.67,300,0
2017-12-14,31.75,31.75,31.75,31.75,100,0
2017-12-15,31.72,31.72,31.72,31.72,200,0
2017-12-18,31.72,31.72,31.72,31.72,-,0
2017-12-19,31.72,31.72,31.72,31.72,-,0
2017-12-20,31.72,31.72,31.72,31.72,-,0
2017-12-21,31.72,31.72,31.72,31.72,-,0
2017-12-22,31.72,31.72,31.72,31.72,-,0
2017-12-26,31.72,31.72,31.72,31.72,-,0
2017-12-27,31.72,31.72,31.72,31.72,-,0
2017-12-28,31.72,31.72,31.72,31.72,-,0
2017-12-29,31.72,31.72,31.72,31.72,-,0
2018-01-02,31.72,31.72,31.72,31.72,-,0
2018-01-03,31.72,31.72,31.72,31.72,-,0
2018-01-04,31.72,31.72,31.72,31.72,-,0
2018-01-05,32.49,32.49,32.49,32.49,100,0
