Date,Open,High,Low,Close,Volume,OpenInt
2017-09-28,10.2,10.45,10,10.15,254110,0
2017-09-29,10.1685,10.17,10.12,10.12,21189,0
2017-10-02,10.1299,10.15,10.128,10.15,29685,0
2017-10-03,10.15,12.5,10.15,11.5,95583,0
2017-10-04,11,11,10.7,10.7,13711,0
2017-10-05,10.7,11.45,10.7,10.95,22634,0
2017-10-06,11.3,11.3,10.95,10.95,25657,0
2017-10-09,11.06,11.06,10.8,10.8,4180,0
2017-10-10,10.85,11.15,10.7501,10.93,37743,0
2017-10-11,10.96,11.15,10.751,10.78,34959,0
2017-10-12,10.9,11.05,10.8,11.05,3311,0
2017-10-13,10.99,11.14,10.96,11,19088,0
2017-10-16,10.95,10.95,10.85,10.8792,8500,0
2017-10-17,11,11.05,10.949,11.05,28216,0
2017-10-18,11.1,11.15,10.95,10.95,9980,0
2017-10-19,11,11,10.9,10.9,3532,0
2017-10-20,10.99,11.1,10.9,11,12910,0
2017-10-23,11.06,11.08,10.93,10.93,8810,0
2017-10-24,10.99,11.0999,10.94,10.9995,12210,0
2017-10-25,11,11,10.75,10.85,13046,0
2017-10-26,10.8334,10.8334,10.8334,10.8334,400,0
2017-10-27,10.8124,10.8124,10.8124,10.8124,1060,0
2017-10-30,10.8989,10.8989,10.775,10.8492,7849,0
2017-10-31,10.85,10.85,10.78,10.83,17966,0
2017-11-01,11,11,10.7001,10.84,10612,0
2017-11-02,10.751,10.95,10.75,10.8,2602,0
2017-11-03,10.7,10.7,10.01,10.13,109808,0
2017-11-06,10.1,10.5,10.05,10.35,61503,0
2017-11-07,10.2,10.5,10.1101,10.15,38956,0
2017-11-08,10.2,10.35,10.16,10.2,26775,0
2017-11-09,10.3,10.3,10.21,10.2999,10000,0
2017-11-10,10.2782,10.29,10.251,10.28,14640,0
2017-11-17,10.05,10.06,10.05,10.06,6700,0
2017-11-20,10.06,10.08,10.00,10.00,16700,0
2017-11-21,10.00,10.05,9.99,10.05,36900,0
2017-11-22,10.04,10.04,9.99,9.99,16100,0
2017-11-24,10.03,10.03,10.03,10.03,300,0
2017-11-27,10.01,10.01,9.95,9.95,7800,0
2017-11-28,9.97,10.05,9.97,10.03,42200,0
2017-11-29,10.04,10.04,9.99,9.99,28100,0
2017-11-30,9.90,10.03,9.89,10.02,33400,0
2017-12-01,10.01,10.03,10.00,10.00,12200,0
2017-12-04,10.04,10.04,9.97,10.00,13100,0
2017-12-05,9.98,9.98,9.45,9.85,38300,0
2017-12-06,9.97,10.10,9.91,10.00,32600,0
2017-12-07,9.99,10.15,9.85,9.95,22200,0
2017-12-08,9.96,9.99,9.92,9.92,14200,0
2017-12-11,9.99,10.00,9.90,9.94,16800,0
2017-12-12,9.96,9.96,9.74,9.90,23700,0
2017-12-13,9.90,9.94,9.85,9.87,7100,0
2017-12-14,9.80,9.82,9.74,9.78,15000,0
2017-12-15,9.83,9.91,9.82,9.91,7100,0
2017-12-18,9.85,9.90,9.85,9.89,6300,0
2017-12-19,9.92,9.95,9.89,9.89,3700,0
2017-12-20,9.97,9.98,9.69,9.75,5400,0
2017-12-21,9.85,9.87,9.55,9.56,31000,0
2017-12-22,9.59,9.59,9.46,9.49,26900,0
2017-12-26,9.48,9.53,9.41,9.42,45100,0
2017-12-27,9.45,9.45,9.32,9.36,82000,0
2017-12-28,9.36,9.39,9.27,9.39,92300,0
2017-12-29,9.38,9.45,9.35,9.40,43500,0
2018-01-02,9.37,9.45,9.33,9.45,24400,0
2018-01-03,9.48,9.61,9.48,9.56,20800,0
2018-01-04,9.66,9.70,9.50,9.67,19400,0
2018-01-05,9.68,9.75,9.67,9.68,10200,0
2018-01-08,9.77,9.87,9.72,9.81,63800,0
2018-01-09,9.80,9.87,9.66,9.82,131100,0
2018-01-10,9.81,9.83,9.79,9.81,19200,0
2018-01-11,9.80,9.81,9.73,9.81,7000,0
2018-01-12,9.78,9.82,9.74,9.81,9800,0
2018-01-16,9.79,10.00,9.78,9.85,27500,0
2018-01-17,9.83,9.83,9.64,9.68,14600,0
2018-01-18,9.71,9.79,9.64,9.70,6300,0
2018-01-19,9.70,9.74,9.64,9.68,7200,0
2018-01-22,9.70,9.70,9.66,9.69,1000,0
2018-01-23,9.70,9.98,9.70,9.94,47200,0
2018-01-24,9.92,10.14,9.85,10.05,26200,0
2018-01-25,10.00,10.04,9.98,10.02,7200,0
2018-01-26,9.95,9.95,9.83,9.91,25900,0
2018-01-29,9.92,9.95,9.81,9.82,18800,0
2018-01-30,9.80,9.90,9.67,9.73,17300,0
2018-01-31,9.73,9.73,9.67,9.70,7100,0
2018-02-01,9.68,9.70,9.68,9.69,12100,0
2018-02-02,9.73,9.73,9.69,9.69,6400,0
2018-02-05,9.75,9.75,9.45,9.50,13600,0
2018-02-06,9.54,9.70,9.53,9.70,7100,0
2018-02-07,9.73,9.83,9.70,9.71,17600,0
2018-02-08,9.71,9.77,9.67,9.70,18400,0
2018-02-09,9.68,9.68,9.64,9.64,12700,0
2018-02-12,9.68,9.71,9.68,9.69,21300,0
2018-02-13,9.68,9.69,9.61,9.66,15300,0
2018-02-14,9.61,9.69,9.61,9.69,15800,0
2018-02-15,9.69,9.71,9.67,9.67,5800,0
2018-02-16,9.71,9.71,9.66,9.66,1800,0
2018-02-20,9.67,9.67,9.66,9.66,4300,0
2018-02-21,9.69,9.69,9.66,9.66,6700,0
2018-02-22,9.65,9.65,9.61,9.61,11300,0
2018-02-23,9.70,9.89,9.69,9.87,51600,0
2018-02-26,9.85,9.85,9.75,9.77,9100,0
2018-02-27,9.80,9.80,9.73,9.74,25200,0
2018-02-28,9.77,9.81,9.73,9.73,11600,0
2018-03-01,9.75,9.75,9.74,9.75,8400,0
2018-03-02,9.73,9.73,9.67,9.68,8600,0
2018-03-05,9.68,9.79,9.68,9.79,4900,0
2018-03-06,9.80,9.83,9.70,9.70,28400,0
2018-03-07,9.73,9.73,9.67,9.67,19300,0
2018-03-08,9.68,9.81,9.68,9.73,18200,0
2018-03-09,9.98,9.98,9.73,9.73,7300,0
2018-03-12,9.74,9.77,9.71,9.71,15100,0
2018-03-13,9.73,9.77,9.70,9.70,10900,0
2018-03-14,9.65,9.68,9.65,9.68,9800,0
2018-03-15,9.67,9.67,9.57,9.57,11100,0
2018-03-16,9.62,9.65,9.58,9.65,16700,0
2018-03-19,9.63,9.65,9.63,9.65,1000,0
2018-03-20,9.67,9.67,9.50,9.53,25500,0
2018-03-21,9.56,9.56,9.50,9.50,27900,0
2018-03-22,9.42,9.46,9.42,9.46,2700,0
2018-03-23,9.42,9.44,9.42,9.44,12000,0
2018-03-26,9.46,9.50,9.46,9.46,20100,0
2018-03-27,9.46,9.46,9.45,9.45,1900,0
2018-03-28,9.47,9.50,9.41,9.42,32700,0
2018-03-29,9.43,9.45,9.42,9.45,21600,0
2018-04-02,9.43,9.43,9.31,9.32,75300,0
2018-04-03,9.30,9.37,9.27,9.33,53100,0
2018-04-04,9.39,9.39,9.25,9.31,70500,0
2018-04-05,9.41,9.41,9.35,9.35,47400,0
2018-04-06,9.38,9.39,9.30,9.34,32200,0
2018-04-09,9.35,9.36,9.32,9.33,45871,0
