Date,Open,High,Low,Close,Volume,OpenInt
2017-06-21,6.3988,6.49,6.3988,6.3988,10410,0
2017-06-22,6.7,6.9609,5.6851,6.07,12365,0
2017-06-23,6.2216,6.5,6.1689,6.45,13401,0
2017-06-26,6,6.84,6,6.5811,22497,0
2017-06-27,6.8,7,6.18,6.5014,55202,0
2017-06-28,6.97,6.97,6.2,6.43,5539,0
2017-06-29,6.78,6.78,6.1114,6.56,9551,0
2017-06-30,6.56,6.7,6.5,6.5,10322,0
2017-07-03,6.2426,6.2426,6.2426,6.2426,725,0
2017-07-05,6.25,6.3,6.25,6.3,889,0
2017-07-06,6.3017,6.4825,6,6,5574,0
2017-07-07,5.85,5.85,5.5,5.579,10290,0
2017-07-10,5.23,5.3,4.7047,4.7874,9416,0
2017-07-11,4.75,4.8653,4.5644,4.5644,11961,0
2017-07-12,4.8,4.8,4.5,4.5,4700,0
2017-07-13,4.41,4.528,4.3413,4.45,5801,0
2017-07-14,4.64,4.679,4.28,4.31,3438,0
2017-07-17,4.44,4.63,4.37,4.63,8159,0
2017-07-18,4.75,5,4.4,4.65,13004,0
2017-07-19,4.6989,4.82,4.6,4.82,8604,0
2017-07-20,4.85,5.0452,4.76,5.0452,17463,0
2017-07-21,5.0374,5.415,5.0246,5.28,15200,0
2017-07-24,5.2,5.389,5.03,5.28,6990,0
2017-07-25,5.33,5.33,5.03,5.2,1896,0
2017-07-26,5.0159,5.166,4.85,4.8673,10268,0
2017-07-27,4.9,4.9399,4.76,4.76,1575,0
2017-07-28,4.75,4.7683,4.6,4.6268,8782,0
2017-07-31,4.69,4.7697,4.69,4.69,2352,0
2017-08-01,4.7591,4.77,4.7591,4.76,1796,0
2017-08-02,4.72,5.4825,4.6547,5.01,24108,0
2017-08-03,5.01,5.3,4.75,4.9,27571,0
2017-08-04,4.73,5,4.7,4.7,6894,0
2017-08-07,4.734,4.734,4.73,4.73,450,0
2017-08-08,4.6622,4.8899,4.6622,4.76,1527,0
2017-08-09,4.7,4.7,4.5,4.53,12032,0
2017-08-10,4.6218,4.85,4.6218,4.75,3751,0
2017-08-11,4.7962,4.8,4.7,4.77,1301,0
2017-08-14,4.82,4.82,4.5001,4.65,8108,0
2017-08-15,4.68,4.68,4.6,4.6,3137,0
2017-08-16,4.5,4.6,4.5,4.6,1800,0
2017-08-17,4.55,4.6,4.45,4.6,6571,0
2017-08-18,4.6,4.73,4.55,4.73,2343,0
2017-08-21,4.62,4.89,4.62,4.89,6648,0
2017-08-22,4.7355,4.97,4.71,4.97,8001,0
2017-08-23,4.97,4.97,4.69,4.8,1641,0
2017-08-24,4.7,5.34,4.567,5.25,35856,0
2017-08-25,4.86,5.5,4.7616,5.5,32304,0
2017-08-28,5.07,5.5,4.91,5.36,23105,0
2017-08-29,5.36,5.8,4.9,5.38,78326,0
2017-08-30,5.38,5.5,4.882,5.49,10497,0
2017-08-31,5.2,5.5,5.05,5.15,3293,0
2017-09-01,5.2,5.5,5.2,5.5,5147,0
2017-09-05,5.31,5.5,5.245,5.5,34103,0
2017-09-06,5.45,5.5,5.26,5.49,29396,0
2017-09-07,5.4914,5.8,5.14,5.73,31160,0
2017-09-08,5.68,5.95,5.68,5.9,22397,0
2017-09-11,5.9,5.9,5.58,5.9,22376,0
2017-09-12,5.87,6.25,5.87,6.25,32961,0
2017-09-13,6.24,6.7,6.2,6.31,56009,0
2017-09-14,6.5,6.74,6,6,47032,0
2017-09-15,6.05,6.14,4.85,4.85,51473,0
