Date,Open,High,Low,Close,Volume,OpenInt
2017-05-26,25.222,25.222,25.212,25.212,1887,0
2017-05-31,25.271,25.289,25.252,25.289,553,0
2017-06-02,25.55,25.55,25.54,25.54,1192,0
2017-06-05,25.54,25.54,25.52,25.52,1162,0
2017-06-07,25.44,25.44,25.44,25.44,352,0
2017-06-14,25.49,25.49,25.49,25.49,352,0
2017-06-22,25.45,25.45,25.45,25.45,981,0
2017-06-29,25.299,25.299,25.299,25.299,777,0
2017-07-07,25.25,25.319,25.25,25.319,304,0
2017-07-10,25.379,25.379,25.345,25.345,1689,0
2017-07-11,25.369,25.369,25.369,25.369,445,0
2017-07-14,25.529,25.579,25.529,25.579,285,0
2017-07-17,25.588,25.588,25.579,25.579,702,0
2017-07-24,25.599,25.599,25.599,25.599,100,0
2017-07-28,25.599,25.599,25.598,25.598,384,0
2017-08-04,25.758,25.758,25.758,25.758,100,0
2017-08-29,25.591,25.591,25.591,25.591,201,0
2017-09-06,25.768,25.768,25.768,25.768,204,0
2017-10-04,26.425,26.425,26.3778,26.3778,565,0
2017-10-06,26.58,26.58,26.58,26.58,385,0
2017-10-11,26.545,26.545,26.545,26.545,200,0
2017-10-13,26.72,26.72,26.692,26.692,375,0
2017-11-07,26.7329,26.7329,26.7329,26.7329,340,0
2017-11-14,26.73,26.73,26.73,26.73,-,0
2017-11-15,26.73,26.73,26.73,26.73,-,0
2017-11-16,26.73,26.73,26.73,26.73,-,0
2017-11-17,26.73,26.73,26.73,26.73,-,0
2017-11-20,26.73,26.73,26.73,26.73,-,0
2017-11-21,26.86,26.86,26.86,26.86,900,0
2017-11-22,26.86,26.86,26.86,26.86,-,0
2017-11-24,26.86,26.86,26.86,26.86,-,0
2017-11-27,26.86,26.86,26.86,26.86,-,0
2017-11-28,26.86,26.86,26.86,26.86,-,0
2017-11-29,26.86,26.86,26.86,26.86,-,0
2017-11-30,26.86,26.86,26.86,26.86,-,0
2017-12-01,26.86,26.86,26.86,26.86,-,0
2017-12-04,26.86,26.86,26.86,26.86,-,0
2017-12-05,26.86,26.86,26.86,26.86,-,0
2017-12-06,27.39,27.39,27.35,27.35,1000,0
2017-12-07,27.35,27.35,27.35,27.35,-,0
2017-12-08,27.35,27.35,27.35,27.35,-,0
2017-12-11,27.35,27.35,27.35,27.35,-,0
2017-12-12,27.67,27.67,27.67,27.67,500,0
2017-12-13,27.67,27.67,27.67,27.67,-,0
2017-12-14,27.67,27.67,27.67,27.67,-,0
2017-12-15,27.68,27.68,27.68,27.68,200,0
2017-12-18,27.92,27.92,27.88,27.88,1000,0
2017-12-19,27.88,27.88,27.88,27.88,-,0
2017-12-20,27.88,27.88,27.88,27.88,100,0
2017-12-21,27.89,27.89,27.89,27.89,900,0
2017-12-22,27.81,27.81,27.81,27.81,300,0
2017-12-26,27.81,27.81,27.81,27.81,-,0
2017-12-27,27.66,27.66,27.66,27.66,200,0
2017-12-28,27.66,27.66,27.66,27.66,-,0
2017-12-29,27.66,27.66,27.66,27.66,-,0
2018-01-02,27.72,27.72,27.72,27.72,100,0
2018-01-03,27.77,27.83,27.77,27.83,1500,0
2018-01-04,27.83,27.83,27.83,27.83,-,0
2018-01-05,27.83,27.83,27.83,27.83,-,0
2018-01-08,27.83,27.83,27.83,27.83,-,0
2018-01-09,28.26,28.26,28.26,28.26,400,0
2018-01-10,28.26,28.26,28.26,28.26,-,0
2018-01-11,28.26,28.26,28.26,28.26,-,0
2018-01-12,28.42,28.42,28.42,28.42,600,0
2018-01-16,28.72,28.72,28.72,28.72,100,0
2018-01-17,28.71,28.71,28.69,28.69,1000,0
2018-01-18,28.69,28.69,28.69,28.69,-,0
2018-01-19,28.69,28.69,28.69,28.69,-,0
2018-01-22,28.69,28.69,28.69,28.69,-,0
2018-01-23,28.92,28.95,28.92,28.95,500,0
2018-01-24,28.95,28.95,28.95,28.95,-,0
2018-01-25,29.07,29.07,29.07,29.07,500,0
2018-01-26,29.07,29.07,29.07,29.07,-,0
2018-01-29,29.07,29.07,29.07,29.07,-,0
2018-01-30,29.07,29.07,29.07,29.07,-,0
2018-01-31,28.69,28.69,28.69,28.69,500,0
2018-02-01,28.69,28.69,28.69,28.69,-,0
2018-02-02,28.69,28.69,28.69,28.69,-,0
2018-02-05,28.69,28.69,28.69,28.69,-,0
2018-02-06,26.56,27.20,26.56,27.20,1200,0
2018-02-07,27.20,27.20,27.20,27.20,-,0
2018-02-08,27.20,27.20,27.20,27.20,-,0
2018-02-09,27.20,27.20,27.20,27.20,-,0
2018-02-12,26.90,26.90,26.90,26.90,200,0
2018-02-13,26.90,26.90,26.90,26.90,-,0
2018-02-14,26.90,26.90,26.90,26.90,-,0
2018-02-15,26.90,26.90,26.90,26.90,-,0
2018-02-16,27.73,27.73,27.73,27.73,200,0
2018-02-20,27.53,27.53,27.50,27.50,800,0
2018-02-21,27.58,27.58,27.56,27.56,1300,0
2018-02-22,27.56,27.56,27.56,27.56,-,0
2018-02-23,27.56,27.56,27.56,27.56,-,0
2018-02-26,27.56,27.56,27.56,27.56,-,0
2018-02-27,27.92,27.92,27.92,27.92,600,0
2018-02-28,27.92,27.92,27.92,27.92,-,0
2018-03-01,27.92,27.92,27.92,27.92,-,0
2018-03-02,27.92,27.92,27.92,27.92,-,0
2018-03-05,27.92,27.92,27.92,27.92,-,0
2018-03-06,27.38,27.38,27.38,27.38,100,0
2018-03-07,27.38,27.38,27.38,27.38,-,0
2018-03-08,27.38,27.38,27.38,27.38,-,0
2018-03-09,27.38,27.38,27.38,27.38,-,0
2018-03-12,27.92,27.92,27.92,27.92,100,0
2018-03-13,27.92,27.92,27.92,27.92,-,0
2018-03-14,27.92,27.92,27.92,27.92,-,0
2018-03-15,27.92,27.92,27.92,27.92,-,0
2018-03-16,27.92,27.92,27.92,27.92,-,0
2018-03-19,27.92,27.92,27.92,27.92,-,0
2018-03-20,27.92,27.92,27.92,27.92,-,0
2018-03-21,27.60,27.61,27.60,27.61,300,0
2018-03-22,27.10,27.10,27.10,27.10,100,0
2018-03-23,27.10,27.10,27.10,27.10,-,0
2018-03-26,26.55,26.81,26.55,26.81,3700,0
2018-03-27,26.76,26.76,26.75,26.75,400,0
2018-03-28,26.75,26.75,26.75,26.75,-,0
2018-03-29,26.75,26.75,26.75,26.75,-,0
2018-04-02,26.50,26.50,26.35,26.35,1200,0
2018-04-03,26.35,26.35,26.35,26.35,-,0
2018-04-04,26.50,26.58,26.50,26.53,1500,0
2018-04-05,26.99,26.99,26.99,26.99,200,0
2018-04-06,26.99,26.99,26.99,26.99,-,0
